x_stoich,U_V
0.00500,4.674435
0.01000,4.670356
0.01500,4.666271
0.02000,4.662181
0.02500,4.658083
0.03000,4.653977
0.03500,4.649862
0.04000,4.645736
0.04500,4.641598
0.05000,4.637446
0.05500,4.633277
0.06000,4.629090
0.06500,4.624881
0.07000,4.620647
0.07500,4.616385
0.08000,4.612091
0.08500,4.607759
0.09000,4.603385
0.09500,4.598962
0.10000,4.594483
0.10500,4.589940
0.11000,4.585324
0.11500,4.580625
0.12000,4.575831
0.12500,4.570928
0.13000,4.565903
0.13500,4.560739
0.14000,4.555416
0.14500,4.549914
0.15000,4.544209
0.15500,4.538276
0.16000,4.532085
0.16500,4.525606
0.17000,4.518805
0.17500,4.511643
0.18000,4.504082
0.18500,4.496080
0.19000,4.487592
0.19500,4.478575
0.20000,4.468983
0.20500,4.458774
0.21000,4.447908
0.21500,4.436354
0.22000,4.424089
0.22500,4.411103
0.23000,4.397406
0.23500,4.383029
0.24000,4.368033
0.24500,4.352512
0.25000,4.336596
0.25500,4.320455
0.26000,4.304300
0.26500,4.288377
0.27000,4.272958
0.27500,4.258329
0.28000,4.244772
0.28500,4.232539
0.29000,4.221831
0.29500,4.212773
0.30000,4.205394
0.30500,4.199622
0.31000,4.195280
0.31500,4.192106
0.32000,4.189771
0.32500,4.187918
0.33000,4.186190
0.33500,4.184265
0.34000,4.181877
0.34500,4.178834
0.35000,4.175021
0.35500,4.170392
0.36000,4.164969
0.36500,4.158817
0.37000,4.152037
0.37500,4.144746
0.38000,4.137070
0.38500,4.129128
0.39000,4.121031
0.39500,4.112877
0.40000,4.104747
0.40500,4.096705
0.41000,4.088800
0.41500,4.081068
0.42000,4.073530
0.42500,4.066199
0.43000,4.059077
0.43500,4.052160
0.44000,4.045439
0.44500,4.038898
0.45000,4.032519
0.45500,4.026281
0.46000,4.020159
0.46500,4.014128
0.47000,4.008160
0.47500,4.002225
0.48000,3.996294
0.48500,3.990335
0.49000,3.984314
0.49500,3.978200
0.50000,3.971959
0.50500,3.965560
0.51000,3.958977
0.51500,3.952185
0.52000,3.945167
0.52500,3.937916
0.53000,3.930435
0.53500,3.922738
0.54000,3.914854
0.54500,3.906824
0.55000,3.898700
0.55500,3.890542
0.56000,3.882415
0.56500,3.874382
0.57000,3.866503
0.57500,3.858828
0.58000,3.851397
0.58500,3.844236
0.59000,3.837361
0.59500,3.830776
0.60000,3.824474
0.60500,3.818443
0.61000,3.812664
0.61500,3.807117
0.62000,3.801779
0.62500,3.796626
0.63000,3.791636
0.63500,3.786789
0.64000,3.782066
0.64500,3.777448
0.65000,3.772920
0.65500,3.768470
0.66000,3.764085
0.66500,3.759755
0.67000,3.755471
0.67500,3.751227
0.68000,3.747015
0.68500,3.742831
0.69000,3.738670
0.69500,3.734528
0.70000,3.730403
0.70500,3.726290
0.71000,3.722189
0.71500,3.718098
0.72000,3.714014
0.72500,3.709936
0.73000,3.705865
0.73500,3.701797
0.74000,3.697733
0.74500,3.693673
0.75000,3.689615
0.75500,3.685559
0.76000,3.681505
0.76500,3.677452
0.77000,3.673401
0.77500,3.669351
0.78000,3.665302
0.78500,3.661253
0.79000,3.657205
0.79500,3.653158
0.80000,3.649110
0.80500,3.645064
0.81000,3.641017
0.81500,3.636971
0.82000,3.632925
0.82500,3.628879
0.83000,3.624834
0.83500,3.620788
0.84000,3.616742
0.84500,3.612697
0.85000,3.608652
0.85500,3.604606
0.86000,3.600561
0.86500,3.596516
0.87000,3.592471
0.87500,3.588426
0.88000,3.584381
0.88500,3.580335
0.89000,3.576290
0.89500,3.572245
0.90000,3.568200
0.90500,3.564155
0.91000,3.560110
0.91500,3.556065
0.92000,3.552020
0.92500,3.547975
0.93000,3.543930
0.93500,3.539885
0.94000,3.535840
0.94500,3.531795
0.95000,3.527750
0.95500,3.523705
0.96000,3.519660
0.96500,3.515615
0.97000,3.511570
0.97500,3.507525
0.98000,3.503480
0.98500,3.499435
0.99000,3.495390
0.99500,3.491345
