case,time_s,V_V,delta_Eeq_V,delta_etaMid_V,delta_phiL_V,identity_residual_V
Caps300R320H0125,0.002,2.232716843842165,2.1674719583645461,0.062680360527307855,0.0025645249503108,2.45E-16
Caps300R320H0125,0.044625000000000005,2.2417356470996888,2.1766463666245431,0.06251606004518928,0.0025732204299564,2E-17
Caps300R320H0125,0.08,2.245547525185136,2.1805283331289654,0.062439634310248463,0.0025795577459223,-1.63E-16
Caps300R320H0125,0.084875,2.2459996931698316,2.1809889258108992,0.062430353749890477,0.0025804136090421,-1.77E-16
Caps300R320H0125,0.1,2.2473257968181146,2.1823398487585679,0.062402897515436041,0.0025830505441106,5.9E-17
Caps300R320H0125,0.100375,2.2473573579685633,2.1823720025044742,0.062402239858444064,0.0025831156056448,2.36E-16
Caps300R320H0125,0.14,2.250415618618368,2.1854880343832917,0.062337660814588245,0.0025899234204877,3.55E-16
Caps300R320H0125,0.22,2.255482999380483,2.1906522133677371,0.062227390509322687,0.0026033955034235,-2.87E-16
Caps300R320H0125,0.34,2.261587616134836,2.196874097267220,0.062090298740762105,0.0026232201268537,1.95E-16
Caps300R320H0125,1,2.284059345744816,2.2197671933338192,0.061563173102154423,0.0027289793088423,7.7E-17
Caps300R320H0125,1.35,2.2928563980397296,2.2287200501960521,0.061352429370825415,0.0027839184728522,-1.15E-16
Caps300R320H0125,1.7,2.3005995217649353,2.2365947275186424,0.061166432983170258,0.0028383612631226,4.2E-17
Caps300R320H0125C16,0.002,2.232716843842164,2.167471958364546,0.062680360527308521,0.0025645249503092,2.79E-16
Caps300R320H0125C16,0.044625000000000005,2.2417356470996936,2.1766463666245436,0.062516060045190167,0.0025732204299600,-1.67E-16
Caps300R320H0125C16,0.08,2.245547525185136,2.1805283331289662,0.062439634310247349,0.0025795577459225,-4.9E-17
Caps300R320H0125C16,0.084875,2.245999693169834,2.1809889258109006,0.062430353749888923,0.0025804136090442,2.77E-16
Caps300R320H0125C16,0.1,2.247325796818113,2.1823398487585679,0.062402897515434708,0.0025830505441105,-1.08E-16
Caps300R320H0125C16,0.100375,2.2473573579685615,2.1823720025044744,0.062402239858446729,0.0025831156056404,-2.9E-17
Caps300R320H0125C16,0.14,2.2504156186183697,2.1854880343832926,0.062337660814587803,0.0025899234204891,1.97E-16
Caps300R320H0125C16,0.22,2.255482999380483,2.1906522133677373,0.062227390509322687,0.0026033955034230,1.3E-17
Caps300R320H0125C16,0.34,2.26158761613484,2.1968740972672192,0.062090298740762994,0.0026232201268577,1.06E-16
Caps300R320H0125C16,1,2.2840593457448137,2.2197671933338202,0.061563173102156865,0.0027289793088370,-3.65E-16
Caps300R320H0125C16,1.35,2.2928563980397256,2.2287200501960531,0.061352429370824527,0.0027839184728479,7.3E-17
Caps300R320H0125C16,1.7,2.3005995217649353,2.2365947275186431,0.06116643298316915,0.0028383612631229,1.5E-16
Caps300R320LateCapA5s,0.002,2.2327168438421645,2.167471958364546,0.062680360527311626,0.0025645249503068,7.4E-17
Caps300R320LateCapA5s,0.044625000000000005,2.2417356470996905,2.1766463666245434,0.062516060045188837,0.0025732204299582,6.3E-17
Caps300R320LateCapA5s,0.08,2.245547525185135,2.180528333128966,0.062439634310245797,0.0025795577459234,-1.97E-16
Caps300R320LateCapA5s,0.084875,2.245999693169834,2.1809889258108997,0.062430353749890255,0.0025804136090438,2.45E-16
Caps300R320LateCapA5s,0.1,2.247325796818115,2.1823398487585679,0.062402897515434708,0.0025830505441125,-1.08E-16
Caps300R320LateCapA5s,0.100375,2.247357357968561,2.1823720025044742,0.062402239858447173,0.0025831156056395,1.27E-16
Caps300R320LateCapA5s,0.14,2.2504150412173076,2.1854874478322327,0.062337670100831133,0.0025899232842439,-1.33E-16
Caps300R320LateCapA5s,0.22,2.2554809828431486,2.1906501641767120,0.062227423637206017,0.0026033950292303,2.83E-16
Caps300R320LateCapA5s,0.34,2.261586016602967,2.1968724710354702,0.062090325818534798,0.0026232197489618,2.02E-16
Caps300R320LateCapA5s,1,2.284058908192442,2.219766747708390,0.061563181293216473,0.0027289791908355,2.7E-17
Caps300R320LateCapA5s,1.35,2.292854397942795,2.2287180123945017,0.061352467666469404,0.0027839178818236,2.96E-16
Caps300R320LateCapA5s,1.7,2.300597177534794,2.2365923381452134,0.061166478887790586,0.0028383605017898,2.14E-16
