time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V
0.0,2.2306115890131673,2.230611589013167,-3E-16,0E-16,1.333E-15,-1.4E-15,-2.33E-16
0.00001002,2.230628982801418,2.230628982801419,1E-15,0E-16,4.48E-16,9E-16,-3.48E-16
0.00002002,2.2306462526326234,2.230646252632622,-1.4E-15,0E-16,-6.68E-16,-8E-16,6.8E-17
0.00004002,2.2306805079487275,2.230680507948725,-2.5E-15,0E-16,-6.64E-16,-2.3E-15,4.64E-16
0.00007001,2.2307310069469373,2.2307310069469355,-1.8E-15,0E-16,-1.557E-15,-6E-16,3.57E-16
0.00010,2.2307804849961026,2.230780484996105,2.4E-15,0E-16,8.88E-16,1.6E-15,-8.8E-17
0.00015000000000000001,2.230860781275788,2.230860781275788,0E-15,0E-16,-1.552E-15,1.3E-15,2.52E-16
0.00020,2.230938440905455,2.2309384409054527,-2.3E-15,0E-15,-2.24E-16,-2.0E-15,-7.6E-17
0.0002999999999999999,2.2310865393612382,2.2310865393612374,-8E-16,0E-16,1.111E-15,-1.9E-15,-1.1E-17
0.0003999999999999998,2.231225642001545,2.231225642001546,1E-15,0E-16,-1.329E-15,2.2E-15,1.29E-16
0.00050,2.2313565894866882,2.2313565894866887,5E-16,0E-16,2.887E-15,-2.3E-15,-8.7E-17
0.00060,2.231480150320023,2.231480150320024,1E-15,5E-16,-8.90E-16,1.7E-15,-3.10E-16
0.0006999999999999999,2.2315970142116965,2.231597014211695,-1.5E-15,2E-16,-2.20E-16,-1.3E-15,-1.80E-16
0.0007999999999999998,2.2317077976097326,2.231707797609734,1.4E-15,2E-16,-1.328E-15,2.4E-15,1.28E-16
0.0008999999999999998,2.231813051506829,2.231813051506827,-2E-15,2E-16,2.22E-16,-1.7E-15,-7.22E-16
0.001,2.231913268896119,2.2319132688961187,-3E-16,3E-16,-1.111E-15,6E-16,-8.9E-17
0.0011250000000000001,2.232032192056082,2.2320321920560824,4E-16,0E-16,2.24E-16,2E-16,-2.4E-17
0.0012500000000000002,2.2321446976302592,2.2321446976302592,0E-16,-2E-16,-2.18E-16,0E-16,4.18E-16
0.0013750000000000004,2.2322514401813396,2.23225144018134,4E-16,0E-16,-1.114E-15,1.6E-15,-8.6E-17
0.0015000000000000005,2.232353002112298,2.2323530021122986,6E-16,2E-16,-6.65E-16,1.1E-15,-3.5E-17
0.0016250000000000006,2.2324498973164597,2.232449897316459,-7E-16,-2E-16,-2.18E-16,-5E-16,2.18E-16
0.0017500000000000007,2.2325425782367936,2.232542578236793,-6E-16,0E-16,-2.000E-15,1.0E-15,4.00E-16
0.0018750000000000004,2.2326314433086534,2.2326314433086543,9E-16,0E-16,4.44E-16,6E-16,-1.44E-16
0.002,2.232716843842165,2.232716843842164,-1E-15,-1E-16,6.66E-16,-1.6E-15,3.4E-17
0.002125,2.2327990901138173,2.2327990901138173,0E-16,0E-16,-2.001E-15,2.2E-15,-1.99E-16
0.0022500000000000003,2.23287845667234,2.2328784566723385,-1.5E-15,-2E-16,-4E-18,-7E-16,-5.96E-16
0.0023750000000000004,2.232955186933585,2.232955186933588,3E-15,0E-16,2.20E-16,2.8E-15,-2.0E-17
0.0025000000000000005,2.233029497152917,2.2330294971529163,-7E-16,-2E-16,8.91E-16,-1.4E-15,9E-18
0.0026250000000000006,2.2331015798590927,2.233101579859092,-7E-16,0E-16,-1.776E-15,8E-16,2.76E-16
0.0027500000000000007,2.2331716068244085,2.2331716068244085,0E-16,-5E-16,2.20E-16,-2E-16,4.80E-16
0.002875000000000001,2.2332397316359276,2.233239731635928,4E-16,0E-16,8.90E-16,-4E-16,-9.0E-17
0.003000000000000001,2.2333060919235947,2.2333060919235956,9E-16,-3E-16,1.776E-15,-7E-16,1.24E-16
0.003125000000000001,2.2333708112931054,2.233370811293106,6E-16,-3E-16,1.776E-15,-1.1E-15,2.24E-16
0.003250000000000001,2.2334340010045124,2.2334340010045106,-1.8E-15,-3E-16,3.110E-15,-4.4E-15,-2.10E-16
0.0033750000000000013,2.2334957614317035,2.233495761431701,-2.5E-15,-3E-16,2E-18,-2.4E-15,1.98E-16
0.0035000000000000014,2.2335561833329103,2.233556183332911,7E-16,0E-16,1.330E-15,-5E-16,-1.30E-16
0.0036250000000000015,2.233615348958027,2.2336153489580286,1.6E-15,0E-16,2.19E-16,1.6E-15,-2.19E-16
0.0037500000000000016,2.2336733330149787,2.233673333014981,2.3E-15,0E-16,6.67E-16,1.4E-15,2.33E-16
0.0038750000000000017,2.2337302035141438,2.2337302035141446,8E-16,0E-16,4.43E-16,1E-16,2.57E-16
0.004000000000000002,2.2337860225072474,2.2337860225072474,0E-16,0E-16,-1.776E-15,1.8E-15,-2.4E-17
0.004125000000000002,2.2338408467347874,2.2338408467347852,-2.2E-15,0E-16,4.46E-16,-2.8E-15,1.54E-16
0.004250000000000002,2.2338947281941253,2.2338947281941235,-1.8E-15,0E-16,1.776E-15,-4.0E-15,4.24E-16
0.004375000000000002,2.2339477146386786,2.233947714638679,4E-16,0E-16,0E-18,6E-16,-2.00E-16
0.004500000000000002,2.2339998500172666,2.2339998500172693,2.7E-15,0E-16,1.552E-15,1.4E-15,-2.52E-16
0.004625000000000002,2.234051174861309,2.2340511748613103,1.3E-15,0E-16,-1.775E-15,3.3E-15,-2.25E-16
0.0047500000000000025,2.234101726626628,2.2341017266266294,1.4E-15,0E-16,6.70E-16,7E-16,3.0E-17
0.004875000000000001,2.23415153999568,2.234151539995679,-1E-15,0E-15,-1.328E-15,5E-16,-1.72E-16
0.005,2.234200647145173,2.2342006471451765,3.5E-15,0E-16,3.558E-15,3E-16,-3.58E-16
0.005125,2.2342490779834825,2.2342490779834816,-9E-16,0E-16,1.330E-15,-2.3E-15,7.0E-17
0.00525,2.2342968603615403,2.2342968603615385,-1.8E-15,0E-16,1.776E-15,-3.6E-15,2.4E-17
0.0053750000000000004,2.234344020260574,2.234344020260576,2E-15,0E-16,1.553E-15,5E-16,-5.3E-17
0.0055000000000000005,2.234390581959452,2.234390581959452,0E-15,0E-16,1.335E-15,-8E-16,-5.35E-16
0.005625000000000001,2.234436568184113,2.234436568184111,-2E-15,0E-16,-1.558E-15,-7E-16,2.58E-16
0.005750000000000001,2.2344820002412473,2.2344820002412455,-1.8E-15,0E-16,-1.332E-15,-7E-16,2.32E-16
0.005875000000000001,2.234526898138098,2.2345268981381,2E-15,0E-16,4.40E-16,1.6E-15,-4.0E-17
0.006000000000000001,2.2345712806899782,2.2345712806899813,3.1E-15,0E-16,6.67E-16,2.6E-15,-1.67E-16
0.006125000000000001,2.2346151656169586,2.234615165616961,2.4E-15,-3E-16,2.443E-15,-2E-16,4.57E-16
0.006250000000000001,2.234658569630971,2.234658569630969,-2E-15,0E-16,0E-17,-1.8E-15,-2.0E-16
0.006375000000000001,2.234701508514367,2.2347015085143664,-6E-16,-2E-16,-8.82E-16,5E-16,-1.8E-17
0.0065000000000000014,2.234743997190978,2.2347439971909764,-1.6E-15,-2E-16,-1.333E-15,-1E-16,3.3E-17
0.0066250000000000015,2.2347860497904066,2.234786049790405,-1.6E-15,3E-16,-1.110E-15,-7E-16,-9.0E-17
0.006750000000000002,2.2348276797063553,2.234827679706359,3.7E-15,6E-16,2.220E-15,5E-16,3.80E-16
0.006875000000000002,2.234868899649625,2.2348688996496238,-1.2E-15,-2E-16,1.109E-15,-2.2E-15,9.1E-17
0.007000000000000002,2.2349097216963094,2.234909721696309,-4E-16,5E-16,-1.112E-15,2E-16,1.2E-17
0.007125000000000002,2.2349501573317725,2.234950157331774,1.5E-15,6E-16,-8.88E-16,1.6E-15,1.88E-16
0.007250000000000002,2.2349902174907577,2.234990217490756,-1.7E-15,2E-16,-2.002E-15,1E-16,2E-18
0.007375000000000002,2.2350299125940727,2.2350299125940714,-1.3E-15,3E-16,2.002E-15,-3.3E-15,-3.02E-16
0.007500000000000002,2.2350692525822087,2.235069252582211,2.3E-15,0E-16,2.216E-15,1E-16,-1.6E-17
0.0076250000000000024,2.2351082469461567,2.235108246946153,-3.7E-15,3E-16,-2.24E-16,-3.5E-15,-2.76E-16
0.0077500000000000025,2.235146904755708,2.235146904755709,1E-15,0E-16,-2.2E-16,8E-16,4.2E-16
0.007875000000000002,2.235185234685532,2.2351852346855297,-2.3E-15,3E-16,-2.221E-15,3E-16,-6.79E-16
0.008000000000000002,2.235223245039158,2.2352232450391565,-1.5E-15,0E-16,6.65E-16,-1.8E-15,-3.65E-16
0.008125000000000002,2.2352609437711233,2.235260943771123,-3E-16,3E-16,-2.221E-15,1.2E-15,4.21E-16
0.008250000000000002,2.235298338507441,2.2352983385074414,4E-16,3E-16,2.22E-16,-2E-16,7.8E-17
0.008375000000000002,2.2353354365645277,2.235335436564527,-7E-16,6E-16,-4.50E-16,-1.2E-15,3.50E-16
0.008500000000000002,2.2353722449667326,2.2353722449667326,0E-16,-2E-16,8.87E-16,-7E-16,1.3E-17
0.008625000000000002,2.235408770462623,2.235408770462621,-2E-15,2E-16,1.107E-15,-3.6E-15,2.93E-16
0.008750000000000003,2.2354450195400624,2.2354450195400655,3.1E-15,2E-16,1.777E-15,6E-16,5.23E-16
0.008875000000000003,2.235480998440306,2.235480998440307,1E-15,3E-16,1.997E-15,-1.6E-15,3.03E-16
0.009000000000000003,2.235516713171033,2.2355167131710343,1.3E-15,0E-16,4.44E-16,9E-16,-4.4E-17
0.009125000000000003,2.2355521695185705,2.235552169518569,-1.5E-15,2E-16,-1.553E-15,-1E-16,-4.7E-17
0.009250000000000003,2.2355873730592526,2.2355873730592544,1.8E-15,8E-16,-2.002E-15,2.9E-15,1.02E-16
0.009375000000000003,2.2356223291700674,2.2356223291700696,2.2E-15,2E-16,6.62E-16,9E-16,4.38E-16
0.009500000000000003,2.235657043038573,2.2356570430385743,1.3E-15,0E-16,-8.89E-16,2.1E-15,8.9E-17
0.009625000000000003,2.235691519672216,2.2356915196722125,-3.5E-15,5E-16,4.40E-16,-4.4E-15,-4.0E-17
0.009750000000000003,2.235725763907037,2.235725763907035,-2E-15,0E-16,-4.44E-16,-1.6E-15,4.4E-17
0.009875000000000002,2.235759780415867,2.235759780415866,-1E-15,3E-16,6.68E-16,-1.7E-15,-2.68E-16
0.01,2.2357935737159824,2.2357935737159824,0E-16,6E-16,-2.440E-15,1.5E-15,3.40E-16
0.010125,2.235827148176336,2.2358271481763343,-1.7E-15,0E-16,-1.333E-15,-4E-16,3.3E-17
0.01025,2.235860508024333,2.2358605080243334,4E-16,0E-16,2.221E-15,-1.8E-15,-2.1E-17
0.010375,2.2358936573522223,2.235893657352221,-1.3E-15,2E-16,2.25E-16,-1.8E-15,7.5E-17
0.0105,2.235926600123113,2.235926600123114,1E-15,0E-16,-6.63E-16,1.6E-15,6.3E-17
0.010625,2.2359593401766533,2.2359593401766547,1.4E-15,6E-16,-2.448E-15,3.2E-15,4.8E-17
0.010750000000000001,2.2359918812343813,2.2359918812343826,1.3E-15,-5E-16,8.84E-16,9E-16,1.6E-17
0.010875000000000001,2.236024226904786,2.2360242269047887,2.7E-15,3E-16,6.68E-16,1.8E-15,-6.8E-17
0.011000000000000001,2.236056380688086,2.2360563806880864,4E-16,2E-16,8.88E-16,-4E-16,-2.88E-16
0.011125000000000001,2.2360883459807517,2.2360883459807535,1.8E-15,0E-16,-6.64E-16,2.2E-15,2.64E-16
0.011250000000000001,2.236120126079787,2.236120126079786,-1E-15,1E-16,-1.114E-15,-4E-16,4.14E-16
0.011375000000000001,2.236151724186781,2.2361517241867817,7E-16,3E-16,-2.20E-16,5E-16,1.20E-16
0.011500000000000002,2.2361831434117527,2.2361831434117554,2.7E-15,0E-16,3.110E-15,-4E-16,-1.0E-17
0.011625000000000002,2.2362143867767963,2.2362143867767927,-3.6E-15,3E-16,-8.87E-16,-3.2E-15,1.87E-16
0.011750000000000002,2.2362454572195265,2.2362454572195274,9E-16,6E-16,-1.330E-15,1.8E-15,-1.70E-16
0.011875000000000002,2.2362763575963895,2.236276357596389,-5E-16,2E-16,-1.774E-15,1.4E-15,-3.26E-16
0.012000000000000002,2.2363070906857576,2.236307090685757,-6E-16,-7E-16,-1.332E-15,1.4E-15,3.2E-17
0.012125000000000002,2.2363376591909137,2.236337659190912,-1.7E-15,0E-16,-6.64E-16,-1.1E-15,6.4E-17
0.012250000000000002,2.2363680657428686,2.2363680657428677,-9E-16,2E-16,-6.65E-16,-3E-16,-1.35E-16
0.012375000000000002,2.2363983129030465,2.2363983129030442,-2.3E-15,3E-16,-2.666E-15,4E-16,-3.34E-16
0.012500000000000002,2.23642840316585,2.23642840316585,0E-14,2E-16,-6.67E-16,0E-16,4.67E-16
0.012625000000000003,2.2364583389611004,2.2364583389610995,-9E-16,0E-16,-2.24E-16,-9E-16,2.24E-16
