time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.08,N,0,0.0,0.0,0.011962243656135558,0.011962243656135567,9E-18,0.011722720366320551,0.011722720366320551,0E-18,1.3979081459445732,1.3979081459445728,-4E-16,-0.05425297278819197,-0.0542529727881913,6.7E-16,-1.3436551731563813,-1.3436551731563815,-2E-16
0.08,N,1,2.1666666666666665E-7,2.1666666666666665E-7,0.011962243337843287,0.01196224333784329,3E-18,0.011722720363530111,0.011722720363530111,0E-18,1.3979081659006478,1.3979081659006476,-2E-16,-0.054252895747448626,-0.05425289574744796,6.66E-16,-1.3436551453327568,-1.3436551453327572,-4E-16
0.08,N,2,4.333333333333333E-7,4.333333333333333E-7,0.01196224301955102,0.01196224301955102,0E-17,0.011722720360739678,0.011722720360739678,0E-18,1.3979081858567217,1.3979081858567217,0E-16,-0.054252874869795464,-0.05425287486979502,4.44E-16,-1.343655061862346,-1.3436550618623464,-4E-16
0.08,N,3,6.5E-7,6.5E-7,0.011962243219409058,0.01196224321940906,2E-18,0.011722720362488451,0.011722720362488451,0E-18,1.3979081733261574,1.3979081733261571,-3E-16,-0.054252877668034216,-0.05425287766803377,4.46E-16,-1.3436549227457093,-1.3436549227457095,-2E-16
0.08,N,4,8.666666666666666E-7,8.666666666666666E-7,0.01196224342034592,0.011962243420345922,2E-18,0.01172272036424668,0.01172272036424668,0E-17,1.397908160727953,1.397908160727953,0E-15,-0.05425293656069696,-0.05425293656069652,4.4E-16,-1.3436547279833133,-1.3436547279833138,-5E-16
0.08,N,5,0.0000010833333333333333,0.0000010833333333333333,0.011962244138346503,0.011962244138346505,2E-18,0.011722720370534614,0.011722720370534618,4E-18,1.3979081157112365,1.3979081157112365,0E-16,-0.05425301919660419,-0.05425301919660375,4.4E-16,-1.3436544775754655,-1.343654477575466,-5E-16
0.08,N,6,0.0000013,0.0000013,0.011962244858504702,0.011962244858504702,0E-18,0.011722720376841446,0.011722720376841446,0E-18,1.3979080705592428,1.3979080705592428,0E-16,-0.05425315785877394,-0.05425315785877394,0E-17,-1.3436541715223844,-1.3436541715223844,0E-16
0.08,N,7,0.0000015166666666666664,0.0000015166666666666664,0.011962246094650084,0.011962246094650086,2E-18,0.011722720387668572,0.011722720387668572,0E-18,1.3979079930562321,1.397907993056232,-1E-16,-0.05425332033139796,-0.054253320331397514,4.46E-16,-1.3436538098241402,-1.3436538098241404,-2E-16
0.08,N,8,0.0000017333333333333332,0.0000017333333333333332,0.011962247334031907,0.011962247334031909,2E-18,0.011722720398524046,0.011722720398524046,0E-18,1.3979079153503056,1.3979079153503053,-3E-16,-0.05425353876258754,-0.05425353876258732,2.2E-16,-1.3436533924807246,-1.3436533924807246,0E-16
0.08,N,9,0.00000195,0.00000195,0.011962249088331737,0.011962249088331735,-2E-18,0.01172272041389046,0.01172272041389046,0E-17,1.3979078053603964,1.3979078053603966,2E-16,-0.05425378107142009,-0.05425378107142009,0E-17,-1.3436529194919964,-1.3436529194919966,-2E-16
0.08,N,10,0.0000021666666666666665,0.0000021666666666666665,0.0119622508469469,0.011962250846946893,-7E-18,0.011722720429294682,0.011722720429294682,0E-18,1.3979076950999276,1.3979076950999278,2E-16,-0.05425407927153025,-0.05425407927153025,0E-17,-1.3436523908577471,-1.3436523908577473,-2E-16
0.08,N,11,0.000002383333333333333,0.000002383333333333333,0.01196225311941759,0.011962253119417584,-6E-18,0.011722720449200547,0.011722720449200547,0E-18,1.397907552622091,1.3979075526220914,4E-16,-0.05425440141643367,-0.054254401416433895,-2.25E-16,-1.3436518065776568,-1.343651806577657,-2E-16
