time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.22,N,0,0.0,0.0,0.012123187845164541,0.01212315526732649,-3.2577838051E-8,0.011726295411224807,0.011726295412957156,1.732349E-12,1.3878173755918932,1.387819418135239,0.0000020425433458,-0.0540535777915907,-0.054053608953611665,-3.1162020965E-8,-1.3337637978003025,-1.3337658091816273,-0.0000020113813248
0.22,N,1,2.1666666666666665E-7,2.1666666666666665E-7,0.012123187388485989,0.01212315481069588,-3.2577790109E-8,0.011726295404473008,0.011726295406205584,1.732576E-12,1.3878174042244176,1.3878194467647573,0.0000020425403397,-0.0540535094673249,-0.05405354062632428,-3.115899938E-8,-1.333763769937059,-1.3337657813183992,-0.0000020113813402
0.22,N,2,4.333333333333333E-7,4.333333333333333E-7,0.012123186931807438,0.01212315435406527,-3.2577742168E-8,0.01172629539772121,0.011726295399454016,1.732806E-12,1.3878174328569417,1.387819475394276,0.0000020425373343,-0.0540534973862592,-0.05405352854220702,-3.115594782E-8,-1.3337636863477376,-1.3337656977291237,-0.0000020113813861
0.22,N,3,6.5E-7,6.5E-7,0.012123187220372722,0.012123154642600371,-3.2577772351E-8,0.011726295401976719,0.011726295403709381,1.732662E-12,1.3878174147646698,1.3878194573038964,0.0000020425392266,-0.05405349482310329,-0.054053525980865436,-3.1157762146E-8,-1.3337635470328326,-1.333765558414296,-0.0000020113814634
0.22,N,4,8.666666666666666E-7,8.666666666666666E-7,0.012123187510489653,0.012123154932686956,-3.2577802697E-8,0.011726295406255142,0.011726295407987669,1.732527E-12,1.387817396575114,1.3878194391162433,0.0000020425411293,-0.05405354840490295,-0.05405357956445922,-3.115955627E-8,-1.3337633519928105,-1.3337653633743813,-0.0000020113815708
0.22,N,5,0.0000010833333333333333,0.0000010833333333333333,0.012123188544285641,0.01212315596637463,-3.2577911011E-8,0.011726295421517766,0.011726295423249803,1.732037E-12,1.3878173317588696,1.38781937430679,0.0000020425479204,-0.054053611601919904,-0.0540536427681273,-3.1166207396E-8,-1.3337631012280053,-1.3337651126097148,-0.0000020113817095
0.22,N,6,0.0000013,0.0000013,0.01212318958118487,0.012123157003165217,-3.2578019653E-8,0.011726295436826227,0.011726295438557759,1.731532E-12,1.38781726674806,1.387819309302792,0.000002042554732,-0.054053730845973424,-0.054053762018821505,-3.1172848081E-8,-1.3337627947387223,-1.333764806120601,-0.0000020113818787
0.22,N,7,0.0000015166666666666664,0.0000015166666666666664,0.012123191360209045,0.012123158782002949,-3.2578206096E-8,0.011726295463095962,0.011726295464826642,1.730680E-12,1.3878171552080005,1.387819197774422,0.0000020425664215,-0.05405385980220756,-0.05405389098654356,-3.118433600E-8,-1.333762432525134,-1.3337644439072125,-0.0000020113820785
0.22,N,8,0.0000017333333333333332,0.0000017333333333333332,0.012123193143888066,0.012123160565495035,-3.2578393031E-8,0.011726295489434463,0.011726295491164274,1.729811E-12,1.3878170433760948,1.3878190859542365,0.0000020425781417,-0.05405404470788211,-0.054054075903706034,-3.1195823924E-8,-1.333762014587386,-1.3337640259696948,-0.0000020113823088
0.22,N,9,0.00000195,0.00000195,0.012123195668146155,0.012123163089488555,-3.2578657600E-8,0.011726295526711453,0.011726295528440041,1.728588E-12,1.3878168851118615,1.387818927706591,0.0000020425947295,-0.05405423942250387,-0.054054270634652735,-3.1212148865E-8,-1.3337615409254928,-1.333763552308062,-0.0000020113825692
0.22,N,10,0.0000021666666666666665,0.0000021666666666666665,0.012123198198610753,0.012123165619687933,-3.2578922820E-8,0.011726295564080119,0.011726295565807485,1.727366E-12,1.3878167264584966,1.3878187690698547,0.0000020426113581,-0.054054489989284527,-0.054054521217768325,-3.1228483798E-8,-1.333761011539441,-1.333763022922301,-0.000002011382860
0.22,N,11,0.000002383333333333333,0.000002383333333333333,0.012123201468116702,0.012123168888851177,-3.2579265525E-8,0.011726295612364622,0.011726295614090394,1.725772E-12,1.387816521469215,1.3878185641020595,0.0000020426328445,-0.054054750461578926,-0.05405478171122535,-3.1249646424E-8,-1.333760426429094,-1.3337624378122748,-0.0000020113831808
0.22,N,12,0.0000026,0.0000026,0.012123204745380933,0.01212317216577189,-3.2579609043E-8,0.011726295660763709,0.011726295662487892,1.724183E-12,1.38781631599351,1.387818358647892,0.000002042654382,-0.05405506668905091,-0.05405509795988084,-3.127082993E-8,-1.3337597855942847,-1.3337617969778164,-0.0000020113835317
0.22,N,13,0.0000028166666666666667,0.0000028166666666666667,0.012123208760156533,0.012123176180126658,-3.2580029875E-8,0.011726295720056108,0.01172629572177834,1.722232E-12,1.3878160642778135,1.3878181069585809,0.0000020426807674,-0.05405539291841399,-0.05405542421524534,-3.129683135E-8,-1.3337590890347355,-1.3337611004186476,-0.0000020113839121
0.22,N,14,0.000003033333333333333,0.000003033333333333333,0.012123212784242344,0.012123180203790657,-3.2580451687E-8,0.011726295779486017,0.0117262957812063,1.720283E-12,1.3878158119783919,1.3878178546856057,0.0000020427072138,-0.05405577480625445,-0.05405580612911698,-3.132286253E-8,-1.3337583367501311,-1.3337603481344544,-0.0000020113843233
0.22,N,15,0.0000032499999999999994,0.0000032499999999999994,0.012123217544316698,0.012123184963366044,-3.2580950654E-8,0.011726295849786806,0.011726295851504772,1.717966E-12,1.3878155135344565,1.3878175562729542,0.0000020427384977,-0.05405616679219705,-0.05405619814589868,-3.135370163E-8,-1.333757528740063,-1.3337595401248268,-0.0000020113847638
0.22,N,16,0.0000034666666666666664,0.0000034666666666666664,0.012123222315253396,0.012123189733802633,-3.2581450763E-8,0.011726295920248044,0.011726295921963698,1.715654E-12,1.387815214409481,1.3878172571793341,0.0000020427698531,-0.05405661434017439,-0.0540566457247571,-3.138458271E-8,-1.333756665004077,-1.333758676389311,-0.000002011385234
0.22,N,17,0.000003683333333333333,0.000003683333333333333,0.012123227820662627,0.012123195238634749,-3.2582027878E-8,0.011726296001557833,0.011726296003270818,1.712985E-12,1.3878148692350414,1.3878169120410784,0.0000020428060370,-0.05405707208230082,-0.054057103502562764,-3.1420261944E-8,-1.333755745541641,-1.3337577569273749,-0.0000020113857339
0.22,N,18,0.0000039,0.0000039,0.012123233338486564,0.012123200755880265,-3.2582606299E-8,0.011726296083051008,0.011726296084761308,1.710300E-12,1.387814523282233,1.3878165661245354,0.0000020428423024,-0.0540575852902625,-0.0540576167462552,-3.14559927E-8,-1.3337547703521702,-1.3337567817384337,-0.0000020113862635
0.22,N,19,0.0000041166666666666665,0.0000041166666666666665,0.012123239589273542,0.012123207006011976,-3.2583261566E-8,0.011726296175370519,0.011726296177077785,1.707266E-12,1.3878141313746015,1.3878161742579873,0.0000020428833858,-0.05405810878825745,-0.054058140284769074,-3.1496511624E-8,-1.3337537394350185,-1.3337557508218412,-0.0000020113868227
0.22,N,20,0.000004333333333333333,0.000004333333333333333,0.012123245854027876,0.012123213270109576,-3.2583918300E-8,0.011726296267896346,0.011726296269600565,1.704219E-12,1.3878137385912543,1.3878157815158154,0.0000020429245611,-0.05405868765610755,-0.0540587191931996,-3.153709205E-8,-1.333752652789479,-1.333754664176891,-0.000002011387412
0.22,N,21,0.00000455,0.00000455,0.012123252850241973,0.012123220265590245,-3.2584651728E-8,0.0117262963712264,0.011726296372927224,1.700824E-12,1.3878132999473354,1.3878153429178808,0.0000020429705454,-0.0540592769097179,-0.05405930849217011,-3.158245221E-8,-1.3337515104147974,-1.3337535218028278,-0.0000020113880304
0.22,N,22,0.000004766666666666666,0.000004766666666666666,0.012123259861976383,0.012123227276589604,-3.2585386779E-8,0.011726296474785711,0.011726296476483123,1.697412E-12,1.3878128603303346,1.3878149033469656,0.0000020430166310,-0.054059921437409564,-0.05405995306529321,-3.1627883646E-8,-1.3337503123101508,-1.3337523236988293,-0.0000020113886785
0.22,N,23,0.000004983333333333334,0.000004983333333333334,0.012123267603673318,0.012123235017474946,-3.2586198372E-8,0.011726296589127235,0.011726296590820879,1.693644E-12,1.3878123749466347,1.3878144180141503,0.0000020430675156,-0.05406057644642792,-0.0540606081245123,-3.167808438E-8,-1.3337490584746847,-1.3337510698640407,-0.0000020113893560
0.22,N,24,0.0000052,0.0000052,0.01212327536244388,0.012123242775432128,-3.2587011752E-8,0.01172629670372094,0.011726296705410817,1.689877E-12,1.3878118884924644,1.3878139316109768,0.0000020431185124,-0.05406128663394649,-0.054061318362313315,-3.1728366825E-8,-1.3337477489074632,-1.3337497602975268,-0.0000020113900636
0.22,N,25,0.000005416666666666667,0.000005416666666666667,0.012123283849685597,0.012123251261784072,-3.2587901525E-8,0.01172629682907495,0.011726296830760702,1.685752E-12,1.3878113563651002,1.387813399539399,0.0000020431742988,-0.05406200739819922,-0.05406203918160846,-3.178340924E-8,-1.3337463836075376,-1.3337483949983384,-0.0000020113908008
