native_index,rounded_log_time_s,rounded_log_step_s,native_line
0,0,-,0           0           - out   10    9   16                  0  1.9e-10  5.3e-10
1,1.002e-05,1e-05,1   1.002e-05       1e-05 out   12   10   18     1     0      0  1.1e-10  1.8e-14
2,2.002e-05,1e-05,2   2.002e-05       1e-05 out   14   11   20     1     0      0  6.1e-11  4.9e-16
3,4.002e-05,2e-05,3   4.002e-05       2e-05 out   16   12   22     2     0      0  8.6e-11  5.3e-16
4,7.001e-05,2.999e-05,4   7.001e-05   2.999e-05 out   18   13   24     2     0      0  4.7e-11  7.7e-16
5,0.0001,2.999e-05,5      0.0001   2.999e-05 out   20   14   26     2     0      0  6.7e-12  1.7e-15
6,0.00015,5e-05,6     0.00015       5e-05 out   22   15   28     2     0      0    1e-10    6e-16
7,0.0002,5e-05,7      0.0002       5e-05 out   24   16   30     2     0      0  5.4e-11    1e-15
8,0.0003,0.0001,8      0.0003      0.0001 out   26   17   32     2     0      0  2.4e-11  8.2e-15
9,0.0004,0.0001,9      0.0004      0.0001 out   28   18   34     2     0      0  4.7e-11  5.7e-15
10,0.0005,0.0001,10      0.0005      0.0001 out   30   19   36     2     0      0  1.7e-11  1.1e-14
11,0.0006,0.0001,11      0.0006      0.0001 out   32   20   38     2     0      0  6.7e-11  8.4e-15
12,0.0007,0.0001,12      0.0007      0.0001 out   34   21   40     2     0      0  9.7e-11  6.6e-15
13,0.0008,0.0001,13      0.0008      0.0001 out   36   22   42     2     0      0  1.5e-11  5.1e-15
14,0.0009,0.0001,14      0.0009      0.0001 out   38   23   44     2     0      0  4.3e-11  3.8e-15
15,0.001,0.0001,15       0.001      0.0001 out   40   24   46     2     0      0  1.1e-10  3.3e-15
16,0.001125,0.000125,16    0.001125    0.000125 out   42   25   48     2     0      0  5.3e-11  6.2e-15
17,0.00125,0.000125,17     0.00125    0.000125 out   44   26   50     2     0      0  1.1e-10  5.8e-15
18,0.001375,0.000125,18    0.001375    0.000125 out   46   27   52     2     0      0  2.8e-11  5.7e-15
19,0.0015,0.000125,19      0.0015    0.000125 out   48   28   54     2     0      0  2.3e-11  5.3e-15
20,0.001625,0.000125,20    0.001625    0.000125 out   50   29   56     2     0      0  5.2e-11  4.6e-15
21,0.00175,0.000125,21     0.00175    0.000125 out   52   30   58     2     0      0  6.1e-11  2.7e-15
22,0.001875,0.000125,22    0.001875    0.000125 out   54   31   60     2     0      0  7.6e-11  2.8e-15
23,0.002,0.000125,23       0.002    0.000125 out   56   32   62     2     0      0  1.1e-10    1e-15
24,0.002125,0.000125,24    0.002125    0.000125 out   58   33   64     2     0      0    3e-11  1.3e-15
25,0.00225,0.000125,25     0.00225    0.000125 out   60   34   66     2     0      0  6.4e-11  9.1e-16
26,0.002375,0.000125,26    0.002375    0.000125 out   62   35   68     2     0      0  4.2e-11  7.8e-16
27,0.0025,0.000125,27      0.0025    0.000125 out   64   36   70     2     0      0  1.2e-11  8.2e-16
28,0.002625,0.000125,28    0.002625    0.000125 out   66   37   72     2     0      0  8.3e-11  5.7e-16
29,0.00275,0.000125,29     0.00275    0.000125 out   68   38   74     2     0      0  3.7e-11  6.6e-16
30,0.002875,0.000125,30    0.002875    0.000125 out   70   39   76     2     0      0  1.5e-12  5.4e-16
31,0.003,0.000125,31       0.003    0.000125 out   72   40   78     2     0      0  4.2e-11  7.9e-16
32,0.003125,0.000125,32    0.003125    0.000125 out   74   41   80     2     0      0    3e-11    6e-16
33,0.00325,0.000125,33     0.00325    0.000125 out   76   42   82     2     0      0  1.3e-10  3.7e-16
34,0.003375,0.000125,34    0.003375    0.000125 out   78   43   84     2     0      0  7.6e-11  7.3e-16
35,0.0035,0.000125,35      0.0035    0.000125 out   80   44   86     2     0      0  1.1e-10    1e-15
