window,nominal_h_s,count,raw_min_h_s_exact,raw_max_h_s_exact,max_abs_rounding_s_exact
0p1_to_1,0.000125000000,1,0.000125,0.000125,0E-12
0p1_to_1,0.000250000000,1,0.000250,0.000250,0E-12
0p1_to_1,0.000500000000,1,0.000500,0.000500,0E-12
0p1_to_1,0.001000000000,1,0.00100000000000001,0.00100000000000001,1E-17
0p1_to_1,0.002000000000,1,0.00200000000000000,0.00200000000000000,0E-17
0p1_to_1,0.003062500000,2,0.00306249999999999,0.0030625,1E-17
0p1_to_1,0.005000000000,4,0.00499999999999999,0.00500000000000001,1E-17
0p1_to_1,0.010000000000,87,0.01,0.01,0E-12
1_to_5,0.020000000000,1,0.02,0.02,0E-12
1_to_5,0.030000000000,1,0.03,0.03,0E-12
1_to_5,0.050000000000,79,0.05,0.05,0E-12
