start_time_s_exact,end_time_s_exact,actual_step_s_exact,interval_required_cap_s_exact,region,within_cap_with_1e-12s_roundoff,at_cap_with_1e-12s_roundoff,step_to_cap_ratio,step_index,time_log_s,step_log_s,raw_native_log_line
0.1,0.100125,0.000125,0.1,after_0.1,True,False,0.00125,808,0.10013,0.000125,808     0.10013    0.000125 out 1626  817 1632     2     0      0  1.5e-11  4.4e-16
0.100125,0.100375,0.000250,0.1,after_0.1,True,False,0.0025,809,0.10038,0.00025,809     0.10038     0.00025 out 1628  818 1634     2     0      0  1.5e-11  3.2e-16
0.100375,0.100875,0.000500,0.1,after_0.1,True,False,0.005,810,0.10088,0.0005,810     0.10088      0.0005 out 1630  819 1636     2     0      0  4.2e-12  2.4e-16
0.100875,0.10187500000000001,0.00100000000000001,0.1,after_0.1,True,False,0.0100000000000001,811,0.10188,0.001,811     0.10188       0.001 out 1632  820 1638     2     0      0  2.4e-11  2.5e-16
0.10187500000000001,0.10387500000000001,0.00200000000000000,0.1,after_0.1,True,False,0.02,812,0.10388,0.002,812     0.10388       0.002 out 1634  821 1640     2     0      0  4.1e-11  1.9e-16
0.10387500000000001,0.1069375,0.00306249999999999,0.1,after_0.1,True,False,0.0306249999999999,813,0.10694,0.0030625,813     0.10694   0.0030625 out 1636  822 1642     2     0      0  1.7e-11    2e-16
0.1069375,0.11,0.0030625,0.1,after_0.1,True,False,0.030625,814,0.11,0.0030625,814        0.11   0.0030625 out 1638  823 1644     2     0      0  3.7e-11  2.4e-16
0.11,0.11499999999999999,0.00499999999999999,0.1,after_0.1,True,False,0.0499999999999999,815,0.115,0.005,815       0.115       0.005 out 1640  824 1646     2     0      0  2.1e-10  4.3e-16
0.11499999999999999,0.12,0.00500000000000001,0.1,after_0.1,True,False,0.0500000000000001,816,0.12,0.005,816        0.12       0.005 out 1642  825 1648     2     0      0  1.1e-10  4.1e-16
0.12,0.13,0.01,0.1,after_0.1,True,False,0.1,817,0.13,0.01,817        0.13        0.01 out 1644  826 1650     2     0      0  5.9e-11  1.1e-14
0.13,0.135,0.005,0.1,after_0.1,True,False,0.05,818,0.135,0.005,818       0.135       0.005 out 1646  827 1652     2     0      0  2.1e-11  3.3e-16
0.135,0.14,0.005,0.1,after_0.1,True,False,0.05,819,0.14,0.005,819        0.14       0.005 out 1648  828 1654     2     0      0  1.1e-10  6.3e-16
0.14,0.15,0.01,0.1,after_0.1,True,False,0.1,820,0.15,0.01,820        0.15        0.01 out 1650  829 1656     2     0      0  2.4e-11  4.6e-15
0.15,0.16,0.01,0.1,after_0.1,True,False,0.1,821,0.16,0.01,821        0.16        0.01 out 1652  830 1658     2     0      0  3.7e-12  2.6e-15
0.16,0.17,0.01,0.1,after_0.1,True,False,0.1,822,0.17,0.01,822        0.17        0.01 out 1654  831 1660     2     0      0  4.9e-12  5.7e-15
0.17,0.18,0.01,0.1,after_0.1,True,False,0.1,823,0.18,0.01,823        0.18        0.01 out 1656  832 1662     2     0      0  6.2e-11  5.2e-15
0.18,0.19,0.01,0.1,after_0.1,True,False,0.1,824,0.19,0.01,824        0.19        0.01 out 1658  833 1664     2     0      0  4.4e-11  2.9e-15
0.19,0.2,0.01,0.1,after_0.1,True,False,0.1,825,0.2,0.01,825         0.2        0.01 out 1660  834 1666     2     0      0  1.6e-10  2.9e-15
0.2,0.21,0.01,0.1,after_0.1,True,False,0.1,826,0.21,0.01,826        0.21        0.01 out 1662  835 1668     2     0      0  1.4e-10  2.5e-15
0.21,0.22,0.01,0.1,after_0.1,True,False,0.1,827,0.22,0.01,827        0.22        0.01 out 1664  836 1670     2     0      0  3.9e-11  1.3e-15
0.22,0.23,0.01,0.1,after_0.1,True,False,0.1,828,0.23,0.01,828        0.23        0.01 out 1666  837 1672     2     0      0  2.1e-10  1.3e-15
0.23,0.24,0.01,0.1,after_0.1,True,False,0.1,829,0.24,0.01,829        0.24        0.01 out 1668  838 1674     2     0      0  1.1e-10    1e-15
0.24,0.25,0.01,0.1,after_0.1,True,False,0.1,830,0.25,0.01,830        0.25        0.01 out 1670  839 1676     2     0      0  5.3e-12    7e-16
