start_time_s_exact,end_time_s_exact,actual_step_s_exact,interval_required_cap_s_exact,region,within_cap_with_1e-12s_roundoff,at_cap_with_1e-12s_roundoff,step_to_cap_ratio,step_index,time_log_s,step_log_s,raw_native_log_line
1.0,1.02,0.02,0.1,after_0.1,True,False,0.2,906,1.02,0.02,906        1.02        0.02 out 1822  915 1828     2     0      0  1.9e-11  2.2e-16
1.02,1.05,0.03,0.1,after_0.1,True,False,0.3,907,1.05,0.03,907        1.05        0.03 out 1824  916 1830     2     0      0  4.5e-11  2.2e-16
1.05,1.1,0.05,0.1,after_0.1,True,False,0.5,908,1.1,0.05,908         1.1        0.05 out 1826  917 1832     2     0      0  1.2e-10  2.3e-15
1.1,1.15,0.05,0.1,after_0.1,True,False,0.5,909,1.15,0.05,909        1.15        0.05 out 1828  918 1834     2     0      0  5.5e-11  2.4e-15
1.15,1.2,0.05,0.1,after_0.1,True,False,0.5,910,1.2,0.05,910         1.2        0.05 out 1830  919 1836     2     0      0  1.4e-10  3.9e-15
1.2,1.25,0.05,0.1,after_0.1,True,False,0.5,911,1.25,0.05,911        1.25        0.05 out 1832  920 1838     2     0      0  1.8e-10  2.9e-15
1.25,1.3,0.05,0.1,after_0.1,True,False,0.5,912,1.3,0.05,912         1.3        0.05 out 1834  921 1840     2     0      0  1.8e-10  2.5e-15
1.3,1.35,0.05,0.1,after_0.1,True,False,0.5,913,1.35,0.05,913        1.35        0.05 out 1836  922 1842     2     0      0  2.2e-10  2.4e-15
1.35,1.4,0.05,0.1,after_0.1,True,False,0.5,914,1.4,0.05,914         1.4        0.05 out 1838  923 1844     2     0      0  4.6e-11  2.1e-15
1.4,1.45,0.05,0.1,after_0.1,True,False,0.5,915,1.45,0.05,915        1.45        0.05 out 1840  924 1846     2     0      0  2.4e-10  1.3e-15
1.45,1.5,0.05,0.1,after_0.1,True,False,0.5,916,1.5,0.05,916         1.5        0.05 out 1842  925 1848     2     0      0  9.9e-11  1.2e-15
1.5,1.55,0.05,0.1,after_0.1,True,False,0.5,917,1.55,0.05,917        1.55        0.05 out 1844  926 1850     2     0      0  6.7e-11  1.3e-15
1.55,1.6,0.05,0.1,after_0.1,True,False,0.5,918,1.6,0.05,918         1.6        0.05 out 1846  927 1852     2     0      0  6.5e-11  9.4e-16
1.6,1.65,0.05,0.1,after_0.1,True,False,0.5,919,1.65,0.05,919        1.65        0.05 out 1848  928 1854     2     0      0  1.2e-10  6.7e-16
1.65,1.7,0.05,0.1,after_0.1,True,False,0.5,920,1.7,0.05,920         1.7        0.05 out 1850  929 1856     2     0      0  1.3e-10  6.7e-16
1.7,1.75,0.05,0.1,after_0.1,True,False,0.5,921,1.75,0.05,921        1.75        0.05 out 1852  930 1858     2     0      0  1.6e-10  4.9e-16
1.75,1.8,0.05,0.1,after_0.1,True,False,0.5,922,1.8,0.05,922         1.8        0.05 out 1854  931 1860     2     0      0  1.2e-10  5.1e-16
1.8,1.85,0.05,0.1,after_0.1,True,False,0.5,923,1.85,0.05,923        1.85        0.05 out 1856  932 1862     2     0      0    2e-10  4.7e-16
1.85,1.9,0.05,0.1,after_0.1,True,False,0.5,924,1.9,0.05,924         1.9        0.05 out 1858  933 1864     2     0      0  1.6e-10  4.1e-16
1.9,1.95,0.05,0.1,after_0.1,True,False,0.5,925,1.95,0.05,925        1.95        0.05 out 1860  934 1866     2     0      0  1.9e-10  3.6e-16
1.95,2.0,0.05,0.1,after_0.1,True,False,0.5,926,2,0.05,926           2        0.05 out 1862  935 1868     2     0      0  6.8e-12  3.6e-16
2.0,2.05,0.05,0.1,after_0.1,True,False,0.5,927,2.05,0.05,927        2.05        0.05 out 1864  936 1870     2     0      0  1.1e-10  3.7e-16
2.05,2.1,0.05,0.1,after_0.1,True,False,0.5,928,2.1,0.05,928         2.1        0.05 out 1866  937 1872     2     0      0  1.2e-10  2.8e-16
2.1,2.15,0.05,0.1,after_0.1,True,False,0.5,929,2.15,0.05,929        2.15        0.05 out 1868  938 1874     2     0      0    1e-10  2.6e-16
2.15,2.2,0.05,0.1,after_0.1,True,False,0.5,930,2.2,0.05,930         2.2        0.05 out 1870  939 1876     2     0      0    5e-11  2.4e-16
2.2,2.25,0.05,0.1,after_0.1,True,False,0.5,931,2.25,0.05,931        2.25        0.05 out 1872  940 1878     2     0      0  1.9e-11  2.8e-16
2.25,2.3,0.05,0.1,after_0.1,True,False,0.5,932,2.3,0.05,932         2.3        0.05 out 1874  941 1880     2     0      0  2.1e-11  2.6e-16
2.3,2.35,0.05,0.1,after_0.1,True,False,0.5,933,2.35,0.05,933        2.35        0.05 out 1876  942 1882     2     0      0  1.2e-10  2.6e-16
2.35,2.4,0.05,0.1,after_0.1,True,False,0.5,934,2.4,0.05,934         2.4        0.05 out 1878  943 1884     2     0      0  1.2e-11  2.3e-16
2.4,2.45,0.05,0.1,after_0.1,True,False,0.5,935,2.45,0.05,935        2.45        0.05 out 1880  944 1886     2     0      0  4.9e-11  2.5e-16
2.45,2.5,0.05,0.1,after_0.1,True,False,0.5,936,2.5,0.05,936         2.5        0.05 out 1882  945 1888     2     0      0  2.1e-11  2.4e-16
2.5,2.55,0.05,0.1,after_0.1,True,False,0.5,937,2.55,0.05,937        2.55        0.05 out 1884  946 1890     2     0      0  4.5e-11  2.3e-16
2.55,2.6,0.05,0.1,after_0.1,True,False,0.5,938,2.6,0.05,938         2.6        0.05 out 1886  947 1892     2     0      0  6.1e-11  2.3e-16
2.6,2.65,0.05,0.1,after_0.1,True,False,0.5,939,2.65,0.05,939        2.65        0.05 out 1888  948 1894     2     0      0  2.1e-11  2.3e-16
2.65,2.7,0.05,0.1,after_0.1,True,False,0.5,940,2.7,0.05,940         2.7        0.05 out 1890  949 1896     2     0      0  1.1e-10  2.5e-16
2.7,2.75,0.05,0.1,after_0.1,True,False,0.5,941,2.75,0.05,941        2.75        0.05 out 1892  950 1898     2     0      0  9.3e-12  2.3e-16
2.75,2.8,0.05,0.1,after_0.1,True,False,0.5,942,2.8,0.05,942         2.8        0.05 out 1894  951 1900     2     0      0  2.7e-11  2.3e-16
2.8,2.85,0.05,0.1,after_0.1,True,False,0.5,943,2.85,0.05,943        2.85        0.05 out 1896  952 1902     2     0      0  6.3e-11  2.3e-16
2.85,2.9,0.05,0.1,after_0.1,True,False,0.5,944,2.9,0.05,944         2.9        0.05 out 1898  953 1904     2     0      0  1.5e-11  2.4e-16
2.9,2.95,0.05,0.1,after_0.1,True,False,0.5,945,2.95,0.05,945        2.95        0.05 out 1900  954 1906     2     0      0  4.4e-11  2.2e-16
2.95,3.0,0.05,0.1,after_0.1,True,False,0.5,946,3,0.05,946           3        0.05 out 1902  955 1908     2     0      0  1.4e-11  2.4e-16
3.0,3.05,0.05,0.1,after_0.1,True,False,0.5,947,3.05,0.05,947        3.05        0.05 out 1904  956 1910     2     0      0  1.5e-11  2.3e-16
3.05,3.1,0.05,0.1,after_0.1,True,False,0.5,948,3.1,0.05,948         3.1        0.05 out 1906  957 1912     2     0      0    3e-12  2.2e-16
3.1,3.15,0.05,0.1,after_0.1,True,False,0.5,949,3.15,0.05,949        3.15        0.05 out 1908  958 1914     2     0      0  8.6e-12  2.2e-16
