step_index,time_s,stepsize_s,raw_native_log_line
0,0.0,,0           0           - out   10    9   16                  0  1.5e-10  5.3e-10
1,1.002e-05,1e-05,1   1.002e-05       1e-05 out   12   10   18     1     0      0    1e-11  1.9e-14
2,2.002e-05,1e-05,2   2.002e-05       1e-05 out   14   11   20     1     0      0  2.9e-11  1.1e-15
3,4.002e-05,2e-05,3   4.002e-05       2e-05 out   16   12   22     2     0      0  4.9e-11  6.6e-16
4,7.001e-05,2.999e-05,4   7.001e-05   2.999e-05 out   18   13   24     2     0      0  3.7e-11  1.7e-15
5,0.0001,2.999e-05,5      0.0001   2.999e-05 out   20   14   26     2     0      0  5.1e-11  9.6e-16
6,0.00015,5e-05,6     0.00015       5e-05 out   22   15   28     2     0      0  1.1e-10  1.2e-15
7,0.0002,5e-05,7      0.0002       5e-05 out   24   16   30     2     0      0  9.5e-11  4.4e-16
8,0.0003,0.0001,8      0.0003      0.0001 out   26   17   32     2     0      0  1.8e-10  5.4e-16
9,0.0005,0.0002,9      0.0005      0.0002 out   28   18   34     2     0      0  3.8e-11  1.1e-15
10,0.00075,0.00025,10     0.00075     0.00025 out   30   19   36     2     0      0  1.4e-12  7.9e-16
11,0.001,0.00025,11       0.001     0.00025 out   32   20   38     2     0      0  1.4e-10  4.2e-16
12,0.0015,0.0005,12      0.0015      0.0005 out   34   21   40     2     0      0    8e-12  7.6e-16
13,0.002,0.0005,13       0.002      0.0005 out   36   22   42     2     0      0  8.5e-11  1.3e-15
14,0.003,0.001,14       0.003       0.001 out   38   23   44     2     0      0  3.9e-11  1.5e-14
15,0.004,0.001,15       0.004       0.001 out   40   24   46     2     0      0    9e-11  9.3e-15
16,0.005,0.001,16       0.005       0.001 out   42   25   48     2     0      0  2.9e-11  1.8e-14
17,0.006,0.001,17       0.006       0.001 out   44   26   50     2     0      0  1.1e-10  1.4e-14
18,0.007,0.001,18       0.007       0.001 out   46   27   52     2     0      0  1.8e-11  1.1e-14
19,0.008,0.001,19       0.008       0.001 out   48   28   54     2     0      0    7e-11    1e-14
20,0.009,0.001,20       0.009       0.001 out   50   29   56     2     0      0    2e-11    8e-15
21,0.01,0.001,21        0.01       0.001 out   52   30   58     2     0      0  7.5e-11  5.5e-15
22,0.011,0.001,22       0.011       0.001 out   54   31   60     2     0      0  7.3e-11  6.4e-15
23,0.012,0.001,23       0.012       0.001 out   56   32   62     2     0      0  6.1e-11  5.9e-15
24,0.013,0.001,24       0.013       0.001 out   58   33   64     2     0      0  4.3e-11  3.9e-15
25,0.015,0.002,25       0.015       0.002 out   60   34   66     2     0      0  7.3e-12  8.7e-14
26,0.0168,0.0018,26      0.0168      0.0018 out   62   35   68     2     0      0  3.2e-11  4.4e-14
27,0.0184,0.0016,27      0.0184      0.0016 out   64   36   70     2     0      0  4.9e-11  5.1e-14
28,0.02,0.0016,28        0.02      0.0016 out   66   37   72     2     0      0  1.2e-10  3.7e-14
29,0.0216,0.0016,29      0.0216      0.0016 out   68   38   74     2     0      0  2.1e-10  2.5e-14
30,0.0232,0.0016,30      0.0232      0.0016 out   70   39   76     2     0      0  1.5e-10  2.3e-14
31,0.0248,0.0016,31      0.0248      0.0016 out   72   40   78     2     0      0  2.3e-10  1.4e-14
32,0.0264,0.0016,32      0.0264      0.0016 out   74   41   80     2     0      0  1.7e-10  1.2e-14
33,0.028,0.0016,33       0.028      0.0016 out   76   42   82     2     0      0  2.3e-11  1.2e-14
34,0.029,0.001,34       0.029       0.001 out   78   43   84     2     0      0  9.2e-11    1e-15
35,0.03,0.001,35        0.03       0.001 out   80   44   86     2     0      0  8.9e-11    1e-15
36,0.032,0.002,36       0.032       0.002 out   82   45   88     2     0      0  1.8e-10  1.1e-14
37,0.034,0.002,37       0.034       0.002 out   84   46   90     2     0      0  1.3e-10  5.9e-15
38,0.036,0.002,38       0.036       0.002 out   86   47   92     2     0      0  2.1e-10  1.2e-14
39,0.038,0.002,39       0.038       0.002 out   88   48   94     2     0      0  6.2e-11  1.1e-14
40,0.04,0.002,40        0.04       0.002 out   90   49   96     2     0      0    1e-10  1.1e-14
41,0.042,0.002,41       0.042       0.002 out   92   50   98     2     0      0  1.1e-10  7.3e-15
42,0.044,0.002,42       0.044       0.002 out   94   51  100     2     0      0  1.5e-10  5.7e-15
43,0.046,0.002,43       0.046       0.002 out   96   52  102     2     0      0  1.4e-10    5e-15
44,0.048,0.002,44       0.048       0.002 out   98   53  104     2     0      0  2.5e-11  4.1e-15
45,0.05,0.002,45        0.05       0.002 out  100   54  106     2     0      0  9.1e-11  3.2e-15
46,0.054,0.004,46       0.054       0.004 out  102   55  108     2     0      0  6.6e-11  3.2e-14
