time_s,V_V,delta_Eeq_V,delta_etaMid_V,delta_phiL_V,Li_total_mol_m2,identity_residual_V,Eeq_surface_residual_N_V,reaction_input_surface_residual_N_x,Eeq_surface_residual_P_V,reaction_input_surface_residual_P_x
0.0,2.2306115583380577,2.1653333309361334,0.062714519786739365,0.0025637076151848,1.236902963915189608,1.35E-16,0E-16,0E-12,0E-15,0E-10
0.00001002,2.230613740082232,2.1653355486345397,0.062714481710306245,0.0025637097373856,1.236902963915190259,4.55E-16,0E-16,0E-12,0E-15,0E-10
0.00002002,2.2306159216362094,2.165337766083578,0.062714443693142608,0.0025637118594885,1.23690296391519118,2.92E-16,0E-15,0E-13,0E-15,0E-10
0.00004002,2.23062028417901,2.1653422003999796,0.062714367675546167,0.0025637161034843,1.236902963915192194,-6.7E-17,0E-16,0E-13,0E-16,0E-10
0.00007001,2.2306268240504648,2.1653488478449002,0.062714253738852085,0.0025637224667125,1.236902963915190329,1.5E-17,0E-16,0E-13,0E-16,0E-10
0.00010,2.230633361789696,2.165355493095895,0.062714139864576965,0.0025637288292239,1.23690296391519114,1.35E-16,0E-15,0E-13,0E-15,0E-11
0.00015000000000000001,2.2306442568356144,2.1653665672487952,0.062713950151313872,0.0025637394355054,1.236902963915190474,-7.2E-17,0E-15,0E-13,0E-16,0E-10
0.00020,2.230655145854292,2.1653776352009519,0.062713760613195335,0.0025637500401447,1.236902963915190791,6.5E-17,0E-16,0E-12,0E-16,0E-11
0.0002999999999999999,2.2306769058064995,2.1653997525023857,0.062713382058826819,0.0025637712452871,1.23690296391519072,-1.19E-16,0E-16,0E-13,0E-14,0E-11
0.00050,2.2307203535733477,2.1654439129212679,0.062712627010472534,0.0025638136416071,1.236902963915190713,1.66E-16,0E-16,0E-13,0E-16,0E-10
0.00075,2.2307745285023386,2.165498974885741,0.062711687002526158,0.0025638666140716,1.236902963915190321,-1.58E-16,0E-15,0E-12,0E-15,0E-11
0.001,2.2308285543296176,2.1655538836258533,0.062710751140309107,0.0025639195634555,1.236902963915191936,-3.07E-16,0E-15,0E-13,0E-16,0E-10
0.0014999999999999996,2.230936162667387,2.1656632458767013,0.062708891393483678,0.002564025397202,1.236902963915190939,2.2E-17,0E-16,0E-12,0E-16,0E-11
0.002,2.231043183909241,2.165772005591862,0.062707047173834685,0.0025641311435442,1.236902963915190334,1.15E-16,0E-15,0E-12,0E-15,0E-11
0.003,2.231255495235811,2.1659877507108800,0.062703402165152245,0.0025643423597790,1.23690296391519074,-2.45E-16,0E-16,0E-13,0E-16,0E-10
0.005,2.231673373865251,2.1664123411393394,0.062696269161111708,0.0025647635648001,1.236902963915190806,-2.08E-16,0E-16,0E-12,0E-16,0E-10
0.0075,2.232183475326417,2.1669305729666662,0.062687614831465455,0.0025652875282853,1.236902963915192441,4.5E-17,0E-16,0E-13,0E-16,0E-10
0.01,2.232680476245254,2.1674354526200373,0.062679215214309637,0.0025658084109073,1.236902963915190492,-2.37E-16,0E-16,0E-12,0E-16,0E-10
0.014999999999999996,2.233637986834704,2.1684081191839881,0.06266302750506458,0.0025668401456513,1.236902963915191297,2E-17,0E-16,0E-13,0E-15,0E-10
0.017499999999999998,2.234098917415775,2.1688763455937802,0.062655220869069384,0.0025673509529253,1.236902963915188735,1.16E-16,0E-16,0E-13,0E-15,0E-10
0.02,2.2345487033877167,2.1693332688088613,0.062647576243176405,0.0025678583356786,1.236902963915192206,3.95E-16,0E-15,0E-12,0E-16,0E-9
0.025,2.235417265751372,2.1702156958561073,0.062632706774763179,0.0025688631205012,1.236902963915189658,3.21E-16,0E-14,0E-13,0E-16,0E-10
