time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V
0,2.2306115583380577,2.2306115627203473,4.3822896E-9,4.4576707E-9,-7.6312068E-11,9.310E-13,-3.2E-17
0.0001,2.230633361789696,2.230655184336503,0.000021822546807,0.000022196607794,-3.78722089239E-7,4.6611026E-9,-3.61E-16
0.0002,2.230655145854292,2.2306986227873833,0.0000434769330913,0.0000442197839487,-7.52174869500E-7,9.3240122E-9,-1.00E-16
0.0005,2.2307203535733477,2.2308277867491295,0.0001074331757818,0.0001092524237546,-0.000001842545227505,2.32972550E-8,-2.95E-16
0.001,2.2308285543296176,2.2310393118499836,0.0002107575203660,0.0002142805215511,-0.000003569419634975,4.64184496E-8,2.75E-16
0.002,2.231043183909241,2.231448980660534,0.000405796751293,0.000412449477166,-0.000006744085675470,9.13598024E-8,7.0E-17
0.005,2.231673373865251,2.2325818729217577,0.0009084990565067,0.0009229875066408,-0.000014698499369860,2.100492355E-7,2.60E-16
0.01,2.232680476245254,2.234204043161706,0.001523566916452,0.0015478192317762,-0.000024602026608368,3.497112837E-7,4.68E-16
0.02,2.2345487033877167,2.2367492151613475,0.0022005117736308,0.0022369066630779,-0.000036868545032705,4.736555860E-7,-3.95E-16
0.03,2.2362459536606023,2.2387030401464423,0.0024570864858400,0.0024996398021014,-0.000043041619743447,4.883034817E-7,3.47E-16
0.04,2.2377974090102875,2.2403027198739136,0.0025053108636261,0.0025506300937527,-0.000045776895549964,4.576654234E-7,-3.6E-17
0.05,2.23922310118777,2.241674719360354,0.002451618172584,0.0024977627189328,-0.000046555258789384,4.107124403E-7,2.84E-16
0.06,2.2405399637419445,2.242891793160499,0.0023518294185545,0.0023977063414820,-0.000046237754343756,3.608314161E-7,1.56E-16
0.07,2.241762463364192,2.243995195249095,0.002232731884903,0.0022777102715743,-0.000045291678157255,3.132914859E-7,5.5E-17
0.08,2.242902858175702,2.2450127495794527,0.0021098914037507,0.0021536395661542,-0.000044018682243020,2.705198393E-7,2.20E-16
