"time_s","ce_mol_m3"
"0.0","1200.000000030611"
"1.002E-5","1200.0000153335727"
"2.002E-5","1200.0000306343718"
"4.002E-5","1200.0000612317206"
"7.001E-5","1200.0001071014665"
"1.0E-4","1200.0001529605129"
"1.5000000000000001E-4","1200.0002294001085"
"2.0E-4","1200.0003058212571"
"2.999999999999999E-4","1200.0004586222713"
"5.0E-4","1200.0007640922906"
"7.5E-4","1200.0011457257358"
"0.001","1200.0015271690684"
"0.0014999999999999996","1200.002289602651"
"0.002","1200.003051495691"
"0.003","1200.0045739878426"
"0.005","1200.0076147512939"
"0.0075","1200.0114091394976"
"0.01","1200.0151974265777"
"0.014999999999999996","1200.0227596353348"
"0.017499999999999998","1200.026533928515"
"0.02","1200.0303043395315"
"0.025","1200.0378349812372"
"0.0275","1200.0415953503775"
"0.03","1200.0453526868207"
"0.03499999999999999","1200.0528590045526"
"0.04","1200.0603547069773"
"0.04499999999999999","1200.0678404868836"
"0.05","1200.0753169408322"
"0.05499999999999999","1200.0827845794493"
"0.06","1200.090243842648"
"0.06499999999999999","1200.097695113382"
"0.07","1200.1051387286484"
"0.075","1200.112574987974"
"0.08","1200.120004159925"
"0.08499999999999999","1200.1274264871442"
"0.09","1200.1348421903087"
"0.09499999999999999","1200.1422514712772"
"0.1","1200.1496545156374"
"0.105","1200.1570514947903"
"0.11","1200.164442567676"
"0.11499999999999999","1200.1718278822166"
"0.12","1200.179207576538"
"0.12499999999999999","1200.1865817800049"
"0.13","1200.1939506141107"
"0.135","1200.2013141932473"
"0.14","1200.2086726253683"
"0.15","1200.2233745740893"
"0.155","1200.230718168842"
"0.16","1200.2380569823342"
"0.17","1200.2527207293147"
"0.18","1200.2673663648527"
"0.19","1200.2819944361568"
"0.2","1200.2966054613878"
"0.21","1200.3111999240334"
"0.22","1200.3257782739047"
"0.23","1200.3403409299544"
"0.24","1200.3548882833452"
"0.25","1200.3694207002975"
"0.26","1200.3839385246083"
"0.27","1200.398442079847"
"0.28","1200.412931671268"
"0.29","1200.4274075874805"
"0.3","1200.4418701019117"
"0.31","1200.4563194740956"
"0.32","1200.4707559508122"
"0.33","1200.4851797671006"
"0.34","1200.499591147162"
"0.35","1200.513990305167"
"0.36","1200.5283774459838"
"0.37","1200.5427527658296"
"0.38","1200.5571164528649"
"0.39","1200.5714686877272"
"0.4","1200.5858096440213"
"0.41","1200.6001394887612"
"0.42","1200.6144583827763"
"0.43","1200.628766481085"
"0.44","1200.6430639332334"
"0.45","1200.6573508836104"
"0.46","1200.671627471736"
"0.47","1200.6858938325288"
"0.48","1200.700150096553"
"0.49","1200.7143963902456"
"0.5","1200.7286328361301"
"0.51","1200.7428595530125"
"0.52","1200.7570766561662"
"0.53","1200.7712842575017"
"0.54","1200.7854824657272"
"0.55","1200.7996713864975"
"0.56","1200.8138511225538"
"0.57","1200.828021773855"
"0.58","1200.8421834376998"
"0.59","1200.8563362088423"
"0.6","1200.8704801796014"
"0.61","1200.8846154399614"
"0.62","1200.898742077669"
"0.63","1200.9128601783248"
"0.64","1200.9269698254673"
"0.65","1200.941071100655"
"0.66","1200.9551640835437"
"0.67","1200.9692488519565"
"0.68","1200.9833254819555"
"0.69","1200.997394047905"
"0.7","1201.0114546225334"
"0.71","1201.025507276993"
"0.72","1201.0395520809147"
"0.73","1201.0535891024622"
"0.74","1201.0676184083804"
"0.75","1201.081640064047"
"0.76","1201.0956541335147"
"0.77","1201.1096606795572"
"0.78","1201.123659763711"
"0.79","1201.137651446313"
"0.8","1201.1516357865419"
"0.81","1201.165612842451"
"0.82","1201.1795826710072"
"0.83","1201.19354532812"
"0.84","1201.207500868677"
"0.85","1201.221449346572"
"0.86","1201.2353908147359"
"0.87","1201.249325325164"
"0.88","1201.2632529289433"
"0.89","1201.2771736762786"
"0.9","1201.2910876165165"
"0.91","1201.3049947981706"
"0.92","1201.3188952689443"
"0.93","1201.3327890757512"
"0.94","1201.3466762647386"
"0.95","1201.3605568813068"
"0.96","1201.3744309701294"
"0.97","1201.388298575172"
"0.98","1201.4021597397098"
"0.99","1201.416014506347"
"1.0","1201.4298629170319"
"1.02","1201.4575408885567"
"1.05","1201.499011329205"
"1.0750000000000002","1201.5335279034489"
"1.1","1201.5680068159422"
"1.15","1201.6368546026274"
"1.2","1201.7055584331863"
"1.25","1201.7741221512024"
"1.3","1201.84254947852"
"1.35","1201.910843954477"
"1.4","1201.9790089282073"
"1.45","1202.0470475674542"
"1.5","1202.1149628716528"
"1.55","1202.182757685274"
"1.6","1202.2504347102458"
"1.65","1202.3179965171812"
"1.7","1202.3854455554451"
"1.75","1202.452784162167"
"1.8","1202.5200145703227"
"1.85","1202.5871389159947"
"1.9","1202.6541592449166"
"1.95","1202.7210775183794"
"2.0","1202.787895618575"
"2.05","1202.854615353447"
"2.1","1202.9212384610914"
"2.15","1202.987766613769"
"2.2","1203.0542014215607"
"2.25","1203.120544435707"
"2.3","1203.186797151664"
"2.35","1203.2529610119045"
"2.4","1203.319037408491"
"2.45","1203.3850276854391"
"2.5","1203.4509331408976"
"2.55","1203.5167550291603"
"2.6","1203.582494562524"
"2.65","1203.6481529130135"
"2.7","1203.7137312139803"
"2.75","1203.7792305615915"
"2.8","1203.8446520162179"
"2.85","1203.9099966037286"
"2.9","1203.9752653167086"
"2.95","1204.040459115597"
"3.0","1204.1055789297604"
"3.05","1204.1706256585048"
"3.1","1204.2356001720336"
"3.15","1204.3005033123532"
"3.2","1204.3653358941363"
"3.25","1204.4300987055408"
"3.3","1204.494792508995"
"3.35","1204.5594180419448"
"3.4","1204.6239760175722"
"3.45","1204.6884671254859"
"3.5","1204.7528920323825"
"3.55","1204.8172513826885"
"3.6","1204.8815457991757"
"3.65","1204.9457758835588"
