"time_s","ce_mol_m3"
"0.0","1199.9999999743045"
"1.002E-5","1199.999987154444"
"2.002E-5","1199.9999743943129"
"4.002E-5","1199.9999490696064"
"7.001E-5","1199.999911804088"
"1.0E-4","1199.9998754602493"
"1.5000000000000001E-4","1199.9998155260846"
"2.0E-4","1199.9997560076113"
"2.999999999999999E-4","1199.9996405347024"
"5.0E-4","1199.9994223687593"
"7.5E-4","1199.9991421948266"
"0.001","1199.9988563289824"
"0.0014999999999999996","1199.998285037435"
"0.002","1199.9977136331322"
"0.003","1199.9965716180766"
"0.005","1199.994289112439"
"0.0075","1199.9914379603438"
"0.01","1199.9885886550219"
"0.014999999999999996","1199.9828964990706"
"0.017499999999999998","1199.9800517820129"
"0.02","1199.977208514653"
"0.025","1199.9715265760033"
"0.0275","1199.9686869652407"
"0.03","1199.9658485052475"
"0.03499999999999999","1199.9601751190144"
"0.04","1199.9545056733311"
"0.04499999999999999","1199.9488397193916"
"0.05","1199.943176811929"
"0.05499999999999999","1199.9375168784538"
"0.06","1199.931859829023"
"0.06499999999999999","1199.9262051788203"
"0.07","1199.9205531472753"
"0.075","1199.9149032982941"
"0.08","1199.9092556099902"
"0.08499999999999999","1199.903609900131"
"0.09","1199.8979661788248"
"0.09499999999999999","1199.892324196354"
"0.1","1199.886683982339"
"0.105","1199.8810453661006"
"0.11","1199.875408406765"
"0.11499999999999999","1199.8697727835092"
"0.12","1199.8641387823404"
"0.12499999999999999","1199.8585059942523"
"0.13","1199.8528746167203"
"0.135","1199.8472444945362"
"0.14","1199.8416154858778"
"0.15","1199.830361396983"
"0.155","1199.8247358904603"
"0.16","1199.8191114162182"
"0.17","1199.8078657109102"
"0.18","1199.7966236707944"
"0.19","1199.7853854470943"
"0.2","1199.7741504453568"
"0.21","1199.7629185574651"
"0.22","1199.751689879401"
"0.23","1199.7404640105233"
"0.24","1199.7292408888231"
"0.25","1199.718020472907"
"0.26","1199.7068024374373"
"0.27","1199.6955869714664"
"0.28","1199.6843737777297"
"0.29","1199.6731628683458"
"0.3","1199.6619540924235"
"0.31","1199.6507473462361"
"0.32","1199.6395427827047"
"0.33","1199.6283399350905"
"0.34","1199.6171391588339"
"0.35","1199.605940041239"
"0.36","1199.5947428534316"
"0.37","1199.5835471852934"
"0.38","1199.5723533684047"
"0.39","1199.561160980983"
"0.4","1199.5499702532309"
"0.41","1199.5387811168"
"0.42","1199.5275933027956"
"0.43","1199.5164069808513"
"0.44","1199.5052220332689"
"0.45","1199.4940385967554"
"0.46","1199.4828563166614"
"0.47","1199.471675411247"
"0.48","1199.4604956757285"
"0.49","1199.4493172481093"
"0.5","1199.4381400286347"
"0.51","1199.4269639222905"
"0.52","1199.4157890741706"
"0.53","1199.4046152350008"
"0.54","1199.393442550083"
"0.55","1199.3822709311482"
"0.56","1199.3711002946623"
"0.57","1199.3599307889335"
"0.58","1199.3487621803945"
"0.59","1199.337594616148"
"0.6","1199.3264280174212"
"0.61","1199.3152623100477"
"0.62","1199.3040976412012"
"0.63","1199.2929337926798"
"0.64","1199.2817707583438"
"0.65","1199.2706086796543"
"0.66","1199.2594473737092"
"0.67","1199.2482869881885"
"0.68","1199.237127454911"
"0.69","1199.225968628931"
"0.7","1199.214810588618"
"0.71","1199.2036533661892"
"0.72","1199.1924969003517"
"0.73","1199.1813412151846"
"0.74","1199.170186181625"
"0.75","1199.1590318790904"
"0.76","1199.1478784387912"
"0.77","1199.1367254915363"
"0.78","1199.1255732550005"
"0.79","1199.11442187311"
"0.8","1199.1032709415051"
"0.81","1199.0921206892767"
"0.82","1199.0809712438063"
"0.83","1199.069822225132"
"0.84","1199.0586738887318"
"0.85","1199.0475262281336"
"0.86","1199.036379077556"
"0.87","1199.0252325996132"
"0.88","1199.0140866025044"
"0.89","1199.0029412696986"
"0.9","1198.9917964263848"
"0.91","1198.980652160348"
"0.92","1198.9695085184137"
"0.93","1198.9583652429403"
"0.94","1198.9472226649405"
"0.95","1198.9360804943"
"0.96","1198.924938939659"
"0.97","1198.9137977121927"
"0.98","1198.9026572370922"
"0.99","1198.8915170060013"
"1.0","1198.880377423604"
"1.02","1198.8580996669655"
"1.05","1198.824686483989"
"1.0750000000000002","1198.7968453093445"
"1.1","1198.769006659424"
"1.15","1198.7133379531242"
"1.2","1198.6576789875812"
"1.25","1198.602028965164"
"1.3","1198.5463874518182"
"1.35","1198.4907536112003"
"1.4","1198.4351273434497"
"1.45","1198.379507939037"
"1.5","1198.323895202796"
"1.55","1198.2682887084734"
"1.6","1198.2126881062256"
"1.65","1198.1570930894288"
"1.7","1198.1015033890244"
"1.75","1198.0459187192619"
"1.8","1197.9903388287328"
"1.85","1197.934763394091"
"1.9","1197.8791922086823"
"1.95","1197.823625228914"
"2.0","1197.7680619368"
"2.05","1197.7125024670154"
"2.1","1197.6569464175982"
"2.15","1197.6013936768618"
"2.2","1197.5458441581611"
"2.25","1197.490297642769"
"2.3","1197.4347538833877"
"2.35","1197.3792128646444"
"2.4","1197.3236744393798"
"2.45","1197.2681384719883"
"2.5","1197.2126048373982"
"2.55","1197.1570734201312"
"2.6","1197.10154411343"
"2.65","1197.0460168184586"
