"time_s","ce_mol_m3"
"0.0","1200.000000030611"
"1.002E-5","1200.000015334674"
"2.002E-5","1200.0000306373925"
"4.002E-5","1200.0000612398605"
"7.001E-5","1200.0001071196236"
"1.0E-4","1200.0001529897866"
"1.5000000000000001E-4","1200.0002294468889"
"2.0E-4","1200.0003058831487"
"2.999999999999999E-4","1200.0004587061194"
"5.0E-4","1200.0007641982772"
"7.5E-4","1200.001145836202"
"0.001","1200.0015272727867"
"0.0014999999999999996","1200.002289689778"
"0.002","1200.003051566724"
"0.003","1200.0045740385274"
"0.005","1200.0076147830373"
"0.0075","1200.011409164373"
"0.01","1200.0151974493706"
"0.014999999999999996","1200.0227596541722"
"0.017499999999999998","1200.0265339461896"
"0.02","1200.0303043562844"
"0.025","1200.0378349963646"
"0.0275","1200.0415953648314"
"0.03","1200.045352700681"
"0.03499999999999999","1200.0528590173947"
"0.04","1200.0603547189892"
"0.04499999999999999","1200.0678404982068"
"0.05","1200.075316951573"
"0.05499999999999999","1200.0827845896893"
"0.06","1200.0902438524513"
"0.06499999999999999","1200.0976951228001"
"0.07","1200.1051387377236"
"0.075","1200.112574996741"
"0.08","1200.1200041684126"
"0.08499999999999999","1200.1274264953781"
"0.09","1200.13484219831"
"0.09499999999999999","1200.1422514790647"
"0.1","1200.1496545232274"
"0.105","1200.157051502197"
"0.11","1200.1644425749118"
"0.11499999999999999","1200.1718278892934"
"0.12","1200.1792075834653"
"0.12499999999999999","1200.186581786792"
"0.13","1200.1939506207661"
"0.135","1200.2013141997782"
"0.14","1200.2086726317814"
"0.15","1200.2233745802844"
"0.155","1200.2307181749363"
"0.16","1200.2380569883326"
"0.17","1200.2527207351334"
"0.18","1200.2673663705073"
"0.19","1200.281994441661"
"0.2","1200.2966054667525"
"0.21","1200.3111999292692"
"0.22","1200.3257782790204"
"0.23","1200.3403409349578"
"0.24","1200.3548882882435"
"0.25","1200.3694207050976"
"0.26","1200.3839385293156"
"0.27","1200.3984420844665"
"0.28","1200.4129316758049"
"0.29","1200.4274075919393"
"0.3","1200.4418701062962"
"0.31","1200.4563194784096"
"0.32","1200.4707559550588"
"0.33","1200.4851797712831"
"0.34","1200.4995911512829"
"0.35","1200.5139903092295"
"0.36","1200.5283774499899"
"0.37","1200.542752769782"
"0.38","1200.5571164567655"
"0.39","1200.5714686915785"
"0.4","1200.5858096478248"
"0.41","1200.6001394925186"
"0.42","1200.6144583864896"
"0.43","1200.6287664847555"
"0.44","1200.6430639368625"
"0.45","1200.6573508871995"
"0.46","1200.6716274752866"
"0.47","1200.6858938360426"
"0.48","1200.7001501000307"
"0.49","1200.714396393688"
"0.5","1200.7286328395385"
"0.51","1200.742859556388"
"0.52","1200.7570766595097"
"0.53","1200.7712842608144"
"0.54","1200.7854824690096"
"0.55","1200.7996713897505"
"0.56","1200.8138511257785"
"0.57","1200.828021777052"
"0.58","1200.8421834408698"
"0.59","1200.856336211986"
"0.6","1200.8704801827193"
"0.61","1200.8846154430541"
"0.62","1200.8987420807375"
"0.63","1200.9128601813693"
"0.64","1200.9269698284886"
"0.65","1200.941071103654"
"0.66","1200.9551640865202"
"0.67","1200.9692488549113"
"0.68","1200.9833254848893"
"0.69","1200.9973940508182"
"0.7","1201.0114546254265"
"0.71","1201.0255072798661"
"0.72","1201.0395520837685"
"0.73","1201.0535891052969"
"0.74","1201.0676184111967"
"0.75","1201.081640066845"
"0.76","1201.095654136295"
"0.77","1201.1096606823203"
"0.78","1201.1236597664567"
"0.79","1201.1376514490419"
"0.8","1201.1516357892542"
"0.81","1201.1656128451473"
"0.82","1201.1795826736875"
"0.83","1201.193545330785"
"0.84","1201.2075008713264"
"0.85","1201.2214493492065"
"0.86","1201.2353908173557"
"0.87","1201.2493253277694"
"0.88","1201.2632529315345"
"0.89","1201.2771736788554"
"0.9","1201.29108761908"
"0.91","1201.3049948007206"
"0.92","1201.3188952714809"
"0.93","1201.3327890782748"
"0.94","1201.3466762672492"
"0.95","1201.3605568838047"
"0.96","1201.374430972615"
"0.97","1201.3882985776454"
"0.98","1201.4021597421713"
"0.99","1201.4160145087963"
