"time_s","phis_V","phil_V","Eeq_V","eta_V","etamid_V","x_surface","x_particle_average","cs_surface_mol_m3","reaction_input_mol_m3","csmax_mol_m3","direct_Eeq_surface_V","Isx_A_m2"
"0.0","0.0","-1.3585419598423325","1.4130534435266686","-0.054511483684336115","-0.054511483684336115","0.011720681560105346","0.011720681490508414","369.2835139142391","369.2835139142391","31507.0","1.4130534435266686","-2.5035995218192584"
"1.002E-5","0.0","-1.3585397943114803","1.4130512460502653","-0.05451145173878502","-0.05451145173878502","0.011720716609070418","0.01172068174471516","369.2846182019817","369.2846182019817","31507.0","1.4130512460502653","-2.50359952181956"
"2.002E-5","0.0","-1.3585376289587143","1.413049048806196","-0.054511419847481646","-0.054511419847481646","0.011720751654329849","0.011720681998922082","369.28572237297055","369.28572237297055","31507.0","1.413049048806196","-2.5035995218198663"
"4.002E-5","0.0","-1.3585332987901308","1.4130446548600548","-0.054511356069923966","-0.054511356069923966","0.011720821736204036","0.011720682507336327","369.28793044258055","369.28793044258055","31507.0","1.4130446548600548","-2.503599521820476"
"7.001E-5","0.0","-1.3585268073760695","1.4130380678269236","-0.05451126045085419","-0.05451126045085419","0.011720926797033722","0.011720683269704756","369.29124059414147","369.29124059414147","31507.0","1.4130380678269236","-2.5035995218214064"
"1.0E-4","0.0","-1.3585203179882825","1.413031482838677","-0.05451116485039442","-0.05451116485039442","0.011721031825248229","0.011720684032074708","369.29454971809594","369.29454971809594","31507.0","1.413031482838677","-2.503599521822329"
"1.5000000000000001E-4","0.0","-1.3585095033165924","1.413020508821817","-0.0545110055052247","-0.0545110055052247","0.0117212068569041","0.011720685303118426","369.30006444047746","369.30006444047746","31507.0","1.413020508821817","-2.5035995218238485"
"2.0E-4","0.0","-1.3584986943751622","1.4130095405878638","-0.054510846212701525","-0.054510846212701525","0.011721381796324681","0.01172068657416647","369.3055762568017","369.3055762568017","31507.0","1.4130095405878638","-2.503599521825392"
"2.999999999999999E-4","0.0","-1.3584770936943729","1.4129876214802843","-0.05451052778591148","-0.05451052778591148","0.01172173139827481","0.011720689116275537","369.31659116544444","369.31659116544444","31507.0","1.4129876214802843","-2.503599521828452"
"5.0E-4","0.0","-1.358433960997874","1.4129438525629434","-0.05450989156506947","-0.05450989156506947","0.011722429496899582","0.011720694200545459","369.33858615881513","369.33858615881513","31507.0","1.4129438525629434","-2.503599521834562"
