time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V
0.0,2.230611589013167,2.2306115890131903,2.33E-14,1.40E-14,1.2874E-14,-3.6E-15,2.6E-17
0.00001002,2.230628982801419,2.23062898280184,4.21E-13,7.0856E-12,-6.612271E-12,-5.17E-14,-6.29E-16
0.00002002,2.230646252632622,2.2306462526334148,7.928E-13,1.40632E-11,-1.3119949E-11,-1.508E-13,3.49E-16
0.00004002,2.230680507948725,2.230680507950208,1.483E-12,2.78143E-11,-2.5899285E-11,-4.319E-13,-1.15E-16
0.00007001,2.2307310069469355,2.2307310069493393,2.4038E-12,4.78409E-11,-4.4426014E-11,-1.0108E-12,-2.86E-16
0.00010,2.230780484996105,2.2307804849993085,3.2035E-12,6.72071E-11,-6.2331697E-11,-1.6719E-12,-3E-18
0.00015000000000000001,2.230860781275788,2.2308607812801564,4.3684E-12,9.82146E-11,-9.1127775E-11,-2.7187E-12,2.75E-16
0.00020,2.2309384409054527,2.230938440910805,5.3523E-12,1.277808E-10,-1.18806298E-10,-3.6222E-12,-2E-18
0.0002999999999999999,2.2310865393612374,2.2310865393681594,6.9220E-12,1.834074E-10,-1.71548999E-10,-4.9365E-12,9.9E-17
0.0003999999999999998,2.231225642001546,2.2312256420096106,8.0646E-12,2.349015E-10,-2.21119347E-10,-5.7176E-12,4.7E-17
0.00050,2.2313565894866887,2.2313565894955936,8.9049E-12,2.828965E-10,-2.67883052E-10,-6.1089E-12,3.52E-16
0.00060,2.231480150320024,2.231480150329542,9.518E-12,3.278588E-10,-3.12087022E-10,-6.2538E-12,2.2E-17
0.0006999999999999999,2.231597014211695,2.231597014221662,9.967E-12,3.701428E-10,-3.53932218E-10,-6.2443E-12,7.18E-16
0.0007999999999999998,2.231707797609734,2.2317077976200164,1.02824E-11,4.100354E-10,-3.93602932E-10,-6.1497E-12,-3.68E-16
0.0008999999999999998,2.231813051506827,2.2318130515173324,1.05054E-11,4.477729E-10,-4.31273242E-10,-5.9946E-12,3.42E-16
