time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,native_query_coordinate_first_m,native_query_coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.1,N,0,0.0,0.0,0,0,0.011991042353924824,0.011991042424668325,7.0743501E-11,0.011723230713871234,0.011723230714566251,6.95017E-13,1.3961025445892157,1.396102540153787,-4.4354287E-9,-0.054218425112093405,-0.054218420677685675,4.434407730E-9,-1.3418841194771223,-1.3418841194761013,1.0210E-12
0.1,N,1,2.1666666666666665E-7,2.1666666666666665E-7,2.1666666666666665E-7,2.1666666666666665E-7,0.011991042007567012,0.011991041936984938,-7.0582074E-11,0.011723230710465812,0.011723230709772414,-6.93398E-13,1.396102566304924,1.3961025707302315,4.4253075E-9,-0.05421834983935203,-0.05421835426567623,-4.42632420E-9,-1.3418840916452124,-1.3418840916441956,1.0168E-12
0.1,N,2,4.333333333333333E-7,4.333333333333333E-7,4.333333333333333E-7,4.333333333333333E-7,0.011991041661209201,0.011991041731658093,7.0448892E-11,0.011723230707060387,0.011723230707752516,6.92129E-13,1.396102588020633,1.3961025836036758,-4.4169572E-9,-0.05421833074644855,-0.05421832633051271,4.41593584E-9,-1.3418840081499355,-1.341884008148914,1.0215E-12
0.1,N,3,6.5E-7,6.5E-7,6.5E-7,6.5E-7,0.011991041878970049,0.01199104180868372,-7.0286329E-11,0.01172323070919702,0.011723230708506527,-6.90493E-13,1.39610257436761,1.396102578774375,4.406765E-9,-0.05421833246409835,-0.054218336871879824,-4.407781474E-9,-1.3418838689918435,-1.341883868990827,1.0165E-12
0.1,N,4,8.666666666666666E-7,8.666666666666666E-7,8.666666666666666E-7,8.666666666666666E-7,0.01199104209790543,0.011991042168059346,7.0153916E-11,0.011723230711345197,0.011723230712034434,6.89237E-13,1.396102560640947,1.396102556242484,-4.398463E-9,-0.05421839028692044,-0.05421838588947869,4.39744175E-9,-1.3418836741714093,-1.3418836741703881,1.0212E-12
0.1,N,5,0.0000010833333333333333,0.0000010833333333333333,0.0000010833333333333333,0.0000010833333333333333,0.011991042879775957,0.011991042809783532,-6.9992425E-11,0.011723230719023809,0.011723230718336206,-6.87603E-13,1.3961025116197554,1.3961025160080933,4.3883379E-9,-0.05421846899370597,-0.054218473383060406,-4.389354436E-9,-1.341883423688954,-1.3418834236879376,1.0164E-12
0.1,N,6,0.0000013,0.0000013,0.0000013,0.0000013,0.011991043663995511,0.011991043733856026,6.9860515E-11,0.011723230726725497,0.01172323072741186,6.86363E-13,1.3961024624512859,1.3961024580712185,-4.3800674E-9,-0.05421860373145937,-0.05421859935241313,4.37904624E-9,-1.341883117544725,-1.3418831175437038,1.0212E-12
0.1,N,7,0.0000015166666666666664,0.0000015166666666666664,0.0000015166666666666664,0.0000015166666666666664,0.011991045009977101,0.011991044940277648,-6.9699453E-11,0.011723230739946125,0.011723230739261395,-6.84730E-13,1.3961023780618387,1.396102382431808,4.3699693E-9,-0.054218759426382324,-0.0542187637973679,-4.370985576E-9,-1.341882755738822,-1.3418827557378057,1.0163E-12
0.1,N,8,0.0000017333333333333332,0.0000017333333333333332,0.0000017333333333333332,0.0000017333333333333332,0.011991046359482243,0.011991046429050235,6.9567992E-11,0.011723230753201362,0.011723230753884848,6.83486E-13,1.3961022934514744,1.3961022890897474,-4.3617270E-9,-0.05421897107850615,-0.05421896671779902,4.36070713E-9,-1.341882338271277,-1.3418823382702572,1.0198E-12
0.1,N,9,0.00000195,0.00000195,0.00000195,0.00000195,0.01199104826958399,0.011991048200176546,-6.9407444E-11,0.011723230771964114,0.011723230771282242,-6.81872E-13,1.3961021736932018,1.3961021780448628,4.3516610E-9,-0.05421920376094258,-0.05421920811362013,-4.35267755E-9,-1.3418818651419895,-1.341881865140973,1.0165E-12
