time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V
1,2.2840593457448137,2.284059345745263,4.493E-13,1.00991296E-8,-1.0098527792E-8,-1.531E-13,5.92E-16
1.05,2.285398521772329,2.285398521772771,4.42E-13,1.02263770E-8,-1.0225782662E-8,-1.525E-13,1.62E-16
1.1,2.2867073659793298,2.286707365979765,4.352E-13,1.03480269E-8,-1.0347442902E-8,-1.483E-13,-4.98E-16
1.15,2.287987645292767,2.2879876452931978,4.308E-13,1.04644909E-8,-1.0463910182E-8,-1.500E-13,8.2E-17
1.2,2.2892411191195,2.2892411191199242,4.242E-13,1.05761755E-8,-1.0575605503E-8,-1.459E-13,1.03E-16
1.25,2.2904694272554442,2.2904694272558643,4.201E-13,1.06834491E-8,-1.0682888353E-8,-1.410E-13,3.53E-16
1.3,2.291674066893842,2.2916740668942586,4.166E-13,1.07866468E-8,-1.0786090246E-8,-1.400E-13,4.6E-17
1.35,2.2928563980397256,2.29285639804014,4.144E-13,1.08860697E-8,-1.0885519600E-8,-1.358E-13,1.00E-16
1.4,2.2940176566330783,2.294017656633487,4.087E-13,1.09819853E-8,-1.0981443085E-8,-1.336E-13,8.5E-17
1.45,2.2951589685667586,2.2951589685671667,4.081E-13,1.10746322E-8,-1.1074095639E-8,-1.288E-13,3.39E-16
1.5,2.2962813625548884,2.2962813625552907,4.023E-13,1.11642323E-8,-1.1163699301E-8,-1.312E-13,5.01E-16
1.55,2.2973857814051715,2.297385781405577,4.055E-13,1.12509785E-8,-1.1250446577E-8,-1.259E-13,-5.23E-16
1.6,2.298473091752201,2.2984730917526033,4.023E-13,1.13350511E-8,-1.1334523543E-8,-1.252E-13,-5.7E-17
1.65,2.2995440924412676,2.2995440924416672,3.996E-13,1.14166116E-8,-1.1416090744E-8,-1.208E-13,-4.56E-16
1.7,2.3005995217649353,2.3005995217653314,3.961E-13,1.14958074E-8,-1.1495286942E-8,-1.237E-13,-6.58E-16
1.75,2.301640063732675,2.301640063733067,3.92E-13,1.15727751E-8,-1.1572259600E-8,-1.230E-13,-5.00E-16
1.8,2.3026663535255856,2.302666353525975,3.894E-13,1.16476392E-8,-1.1647131483E-8,-1.183E-13,-1.7E-17
1.85,2.303678982262176,2.3036789822625625,3.865E-13,1.17205131E-8,-1.1720006967E-8,-1.195E-13,-1.33E-16
1.9,2.3046785011791115,2.3046785011795,3.885E-13,1.17915020E-8,-1.1790996179E-8,-1.171E-13,-2.21E-16
1.95,2.305665425312872,2.305665425313259,3.87E-13,1.18607048E-8,-1.1860207039E-8,-1.104E-13,-3.61E-16
2,2.3066402367536725,2.3066402367540557,3.832E-13,1.19282112E-8,-1.1927711931E-8,-1.163E-13,2.31E-16
2.05,2.3076033875311923,2.3076033875315773,3.850E-13,1.19941033E-8,-1.1993608329E-8,-1.102E-13,2.29E-16
2.1,2.3085553021820537,2.3085553021824348,3.811E-13,1.20584598E-8,-1.2057965514E-8,-1.138E-13,6.14E-16
2.15,2.3094963800410504,2.3094963800414297,3.793E-13,1.21213535E-8,-1.2120863200E-8,-1.108E-13,-2.00E-16
2.2,2.310426997291884,2.3104269972922626,3.786E-13,1.21828499E-8,-1.2182360007E-8,-1.109E-13,-3.93E-16
2.25,2.3113475088075512,2.3113475088079256,3.744E-13,1.22430139E-8,-1.2242528544E-8,-1.110E-13,4.4E-17
2.3,2.3122582498063142,2.3122582498066886,3.744E-13,1.23019039E-8,-1.2301421437E-8,-1.081E-13,3.7E-17
2.35,2.3131595373454554,2.313159537345831,3.756E-13,1.23595734E-8,-1.2359093082E-8,-1.046E-13,-1.18E-16
2.4,2.314051671671794,2.314051671672167,3.73E-13,1.24160746E-8,-1.2415595885E-8,-1.054E-13,-3.15E-16
2.45,2.3149349374455297,2.3149349374459023,3.726E-13,1.24714572E-8,-1.2470980913E-8,-1.039E-13,2.13E-16
2.5,2.3158096048516374,2.315809604852006,3.686E-13,1.25257653E-8,-1.2525292581E-8,-1.043E-13,1.81E-16
2.55,2.31667593061121,2.3166759306115776,3.676E-13,1.25790433E-8,-1.2578573294E-8,-1.025E-13,9.4E-17
2.6,2.317534158903595,2.317534158903964,3.69E-13,1.26313300E-8,-1.2630863243E-8,-9.82E-14,4.43E-16
2.65,2.318384522208769,2.3183845222091355,3.665E-13,1.26826641E-8,-1.2682199733E-8,-9.81E-14,2.33E-16
2.7,2.319227242078194,2.319227242078561,3.67E-13,1.27330816E-8,-1.2732619847E-8,-9.47E-14,-5.3E-17
2.75,2.3200625298415427,2.320062529841904,3.613E-13,1.27826167E-8,-1.2782157774E-8,-9.69E-14,-7.26E-16
2.8,2.320890587255604,2.3208905872559633,3.593E-13,1.28313021E-8,-1.2830846388E-8,-9.62E-14,-2.12E-16
2.85,2.3217116071011388,2.3217116071014985,3.597E-13,1.28791674E-8,-1.2878711427E-8,-9.62E-14,-7.3E-17
2.9,2.3225257737326643,2.322525773733025,3.607E-13,1.29262409E-8,-1.2925789773E-8,-9.09E-14,4.73E-16
2.95,2.323333263585636,2.3233332635859925,3.565E-13,1.29725520E-8,-1.2972102500E-8,-9.26E-14,-4.00E-16
3,2.3241342456450047,2.3241342456453635,3.588E-13,1.30181249E-8,-1.3017674719E-8,-9.10E-14,-3.81E-16
3.05,2.324928881878706,2.3249288818790648,3.588E-13,1.30629847E-8,-1.3062538832E-8,-8.72E-14,1.32E-16
3.1,2.325717327639189,2.3257173276395458,3.568E-13,1.31071553E-8,-1.3106711718E-8,-8.75E-14,7.18E-16
3.15,2.3264997320358973,2.3264997320362526,3.553E-13,1.31506613E-8,-1.3150222468E-8,-8.38E-14,2.68E-16
3.2,2.3272762382811476,2.327276238281502,3.544E-13,1.31935193E-8,-1.3193077964E-8,-8.68E-14,-1.36E-16
3.25,2.328046984011775,2.3280469840121283,3.533E-13,1.32357534E-8,-1.3235316839E-8,-8.30E-14,-2.61E-16
3.3,2.32881210158852,2.3288121015888725,3.525E-13,1.32773823E-8,-1.3276950431E-8,-7.90E-14,-3.69E-16
3.35,2.329571718375074,2.3295717183754263,3.523E-13,1.33184239E-8,-1.3317991381E-8,-8.02E-14,-1.9E-17
3.4,2.330325956998393,2.3303259569987462,3.532E-13,1.33588967E-8,-1.3358463891E-8,-8.01E-14,4.91E-16
3.45,2.331074935591847,2.3310749355921963,3.493E-13,1.33988171E-8,-1.3398387512E-8,-8.04E-14,1.12E-16
3.5,2.3318187680225173,2.331818768022868,3.507E-13,1.34382015E-8,-1.3437774005E-8,-7.71E-14,3.05E-16
3.55,2.332557564103937,2.332557564104284,3.47E-13,1.34770657E-8,-1.3476642469E-8,-7.61E-14,-1.31E-16
3.6,2.333291429795364,2.3332914297957124,3.484E-13,1.35154252E-8,-1.3515003562E-8,-7.34E-14,1.62E-16
3.65,2.334020467388636,2.334020467388979,3.43E-13,1.35532924E-8,-1.3552877263E-8,-7.25E-14,3.63E-16
3.7,2.3347447756835127,2.3347447756838604,3.477E-13,1.35906810E-8,-1.3590266467E-8,-6.71E-14,2.67E-16
3.75,2.335464450152422,2.3354644501527657,3.437E-13,1.36276084E-8,-1.3627193819E-8,-7.04E-14,-4.81E-16
3.8,2.336179583095277,2.3361795830956193,3.423E-13,1.36640816E-8,-1.3663668425E-8,-7.06E-14,-2.75E-16
3.85,2.336890263785211,2.3368902637855515,3.405E-13,1.37001169E-8,-1.3699706258E-8,-6.95E-14,-6.42E-16
