time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.04,N,0,0.0,0.0,0.011836542026941661,0.011877217954800892,0.000040675927859231,0.011721699461384237,0.011721699965976906,5.04592669E-10,1.4057893020198942,1.4032390300940418,-0.0025502719258524,-0.05439882811185992,-0.05435334687585125,0.00004548123600867,-1.3513904739080342,-1.3488856832181906,0.0025047906898436
0.04,N,1,2.1666666666666665E-7,2.1666666666666665E-7,0.01183654184718645,0.011877217725359877,0.000040675878173427,0.011721699459796167,0.011721699964455204,5.04659037E-10,1.4057893132900656,1.40323904447938,-0.0025502688106856,-0.054398742342042006,-0.05435326423712228,0.000045478104919726,-1.351390446127173,-1.3488856554215534,0.0025047907056196
0.04,N,2,4.333333333333333E-7,4.333333333333333E-7,0.011836541667431241,0.011877217495918862,0.000040675828487621,0.011721699458208104,0.011721699962933508,5.04725404E-10,1.4057893245602364,1.4032390588647186,-0.0025502656955178,-0.05439871264892471,-0.05435323770696221,0.00004547494196250,-1.3513903627850987,-1.3488855720321284,0.0025047907529703
0.04,N,3,6.5E-7,6.5E-7,0.011836541779356353,0.011877217639236026,0.000040675859879673,0.011721699459196605,0.011721699963882979,5.04686374E-10,1.4057893175428313,1.4032390498791156,-0.0025502676637157,-0.05439872074432128,-0.05435324391385232,0.00004547683046896,-1.3513902238824227,-1.3488854330504922,0.0025047908319305
0.04,N,4,8.666666666666666E-7,8.666666666666666E-7,0.01183654189188876,0.011877217783329296,0.000040675891440536,0.01172169946019046,0.011721699964837596,5.04647136E-10,1.4057893104873502,1.4032390408448525,-0.0025502696424977,-0.05439878487729044,-0.0543533061796484,0.00004547869764204,-1.3513900294195862,-1.3488852384770704,0.0025047909425158
0.04,N,5,0.0000010833333333333333,0.0000010833333333333333,0.011836542295491427,0.01187721829940076,0.000040676003909333,0.011721699463755496,0.011721699968258217,5.04502721E-10,1.405789285182542,1.4032390084885518,-0.0025502766939902,-0.054398886836324545,-0.054353401230732956,0.000045485605591589,-1.3513897793968463,-1.348884988312104,0.0025047910847423
0.04,N,6,0.0000013,0.0000013,0.011836542700308681,0.011877218817024422,0.000040676116715741,0.011721699467331257,0.011721699971689127,5.04357870E-10,1.4057892598015826,1.4032389760349318,-0.0025502837666508,-0.05439904479448887,-0.05435355229171335,0.00004549250277552,-1.3513894738143155,-1.3488846825557048,0.0025047912586107
0.04,N,7,0.0000015166666666666664,0.0000015166666666666664,0.011836543395593101,0.011877219705854683,0.000040676310261582,0.011721699473472872,0.011721699977580933,5.04108061E-10,1.4057892162091083,1.4032389203076507,-0.0025502959014576,-0.05439924061646395,-0.054353736186291135,0.000045504430172815,-1.3513891126719513,-1.3488843212078319,0.0025047914641194
0.04,N,8,0.0000017333333333333332,0.0000017333333333333332,0.011836544092699427,0.011877220597013271,0.000040676504313844,0.01172169947963058,0.011721699983488173,5.03857593E-10,1.4057891725024054,1.40323886443439,-0.0025503080680154,-0.05439949239969044,-0.05435397604228909,0.00004551635740135,-1.3513886959696015,-1.3488839042683458,0.0025047917012557
0.04,N,9,0.00000195,0.00000195,0.011836545079674419,0.011877221858612414,0.000040676778937995,0.011721699488348844,0.011721699991851228,5.03502384E-10,1.4057891106217122,1.4032387853354966,-0.0025503252862156,-0.0543997820846811,-0.054354248780316805,0.000045533304364295,-1.3513882237069954,-1.3488834317369875,0.0025047919700079
