time_s_exact,electrode,sample_index,coordinate_R40_m,coordinate_R80_m,coordinate_R160_m,R40_x_surface,R80_x_surface,R160_x_surface,difference_R80_minus_R40_x_surface,difference_R160_minus_R80_x_surface,R40_x_particle_average,R80_x_particle_average,R160_x_particle_average,difference_R80_minus_R40_x_particle_average,difference_R160_minus_R80_x_particle_average,R40_Eeq_V,R80_Eeq_V,R160_Eeq_V,difference_R80_minus_R40_Eeq_V,difference_R160_minus_R80_Eeq_V,R40_etaMid_V,R80_etaMid_V,R160_etaMid_V,difference_R80_minus_R40_etaMid_V,difference_R160_minus_R80_etaMid_V,R40_phil_V,R80_phil_V,R160_phil_V,difference_R80_minus_R40_phil_V,difference_R160_minus_R80_phil_V
0.01,N,0,0.0,0.0,0.0,0.01175397473716825,0.011778608916714822,0.011798838457902416,0.000024634179546572,0.000020229541187594,0.011720935779040325,0.01172093584431547,0.011720935913298721,6.5275145E-11,6.8983251E-11,1.410966050337267,1.4094215531414944,1.4081532149946143,-0.0015444971957726,-0.0012683381468801,-0.054480614633029445,-0.05445673479143043,-0.054435980653782634,0.000023879841599015,0.000020754137647796,-1.3564854357042375,-1.354964818350064,-1.3537172343408317,0.0015206173541735,0.0012475840092323
0.01,N,1,2.1666666666666665E-7,2.1666666666666665E-7,2.1666666666666665E-7,0.01175397468170396,0.011778608822410738,0.011798838334345411,0.000024634140706778,0.000020229511934673,0.011720935778616515,0.011720935843900241,0.011720935912892564,6.5283726E-11,6.8992323E-11,1.4109660538147297,1.4094215590541084,1.4081532227413085,-0.0015444947606213,-0.0012683363127999,-0.05448052103158352,-0.05445664363753311,-0.0544358913433074,0.00002387739405041,0.00002075229422571,-1.3564854079619304,-1.3549647905954734,-1.3537172065769851,0.0015206173664570,0.0012475840184883
0.01,N,2,4.333333333333333E-7,4.333333333333333E-7,4.333333333333333E-7,0.011753974626239668,0.011778608728106658,0.01179883821078841,0.000024634101866990,0.000020229482681752,0.011720935778192703,0.011720935843485015,0.011720935912486406,6.5292312E-11,6.9001391E-11,1.4109660572921925,1.409421564966722,1.4081532304880022,-0.0015444923254705,-0.0012683344787198,-0.05448048342902201,-0.05445660850732836,-0.05443585807521889,0.00002387492169365,0.00002075043210947,-1.3564853247354964,-1.3549647073321758,-1.353717123285909,0.0015206174033206,0.0012475840462668
0.01,N,3,6.5E-7,6.5E-7,6.5E-7,0.011753974660632117,0.01177860878666371,0.011798838287641453,0.000024634126031593,0.000020229500977743,0.011720935778455496,0.011720935843742803,0.011720935912738893,6.5287307E-11,6.8996090E-11,1.4109660551358778,1.4094215612953516,1.4081532256695217,-0.0015444938405262,-0.0012683356258299,-0.05448049619107187,-0.05445661981635119,-0.05443586828387681,0.00002387637472068,0.00002075153247438,-1.356485186025431,-1.3549645685606517,-1.3537169844680694,0.0015206174647793,0.0012475840925823
0.01,N,4,8.666666666666666E-7,8.666666666666666E-7,8.666666666666666E-7,0.011753974695211658,0.011778608845539027,0.011798838364911766,0.000024634150327369,0.000020229519372739,0.011720935778719717,0.01172093584400199,0.01172093591299275,6.5282273E-11,6.899076E-11,1.4109660529678332,1.4094215576040263,1.4081532208248797,-0.0015444953638069,-0.0012683367791466,-0.05448056493956943,-0.054456687128420445,-0.054435934508085815,0.000023877811148985,0.000020752620334630,-1.3564849918319455,-1.354964374281112,-1.3537167901236746,0.0015206175508335,0.0012475841574374
0.01,N,5,0.0000010833333333333333,0.0000010833333333333333,0.0000010833333333333333,0.011753974819460907,0.011778609056957205,0.01179883864217471,0.000024634237496298,0.000020229585217505,0.01172093577966911,0.011720935844932797,0.011720935913903878,6.5263687E-11,6.8971081E-11,1.4109660451777375,1.409421544348672,1.4081532034412343,-0.0015445008290655,-0.0012683409074377,-0.05448068406417761,-0.0544568008994486,-0.0544360442349916,0.00002388316472901,0.0000207566644570,-1.3564847421550565,-1.3549641244935706,-1.3537165402527378,0.0015206176614859,0.0012475842408328
0.01,N,6,0.0000013,0.0000013,0.0000013,0.011753974944084334,0.011778609269011921,0.011798838920272189,0.000024634324927587,0.000020229651260268,0.011720935780621364,0.011720935845866405,0.01172093591481775,6.5245041E-11,6.8951345E-11,1.4109660373641817,1.4094215310534082,1.408153186005266,-0.0015445063107735,-0.0012683450481422,-0.05448085916361811,-0.05445697065367683,-0.05443620995139131,0.00002388850994128,0.00002076070228552,-1.356484436994635,-1.3549638191979074,-1.353716234855144,0.0015206177967276,0.0012475843427634
0.01,N,7,0.0000015166666666666664,0.0000015166666666666664,0.0000015166666666666664,0.011753975158192305,0.011778609633294374,0.011798839397948948,0.000024634475102069,0.000020229764654574,0.011720935782257372,0.011720935847470236,0.011720935916387534,6.5212864E-11,6.8917298E-11,1.4109660239401842,1.4094215082138724,1.4081531560562102,-0.0015445157263118,-0.0012683521576622,-0.054481084651135436,-0.05445718688696277,-0.05443641919673614,0.000023897764172666,0.00002076769022663,-1.356484076350457,-1.3549634583939045,-1.353715873930679,0.0015206179565525,0.0012475844632255
0.01,N,8,0.0000017333333333333332,0.0000017333333333333332,0.0000017333333333333332,0.011753975372861552,0.011778609998531647,0.011798839876877534,0.000024634625670095,0.000020229878345887,0.011720935783897676,0.011720935849078276,0.011720935917961433,6.5180600E-11,6.8883157E-11,1.4109660104809965,1.4094214853144718,1.4081531260286686,-0.0015445251665247,-0.0012683592858032,-0.05448136610229515,-0.05445745908401589,-0.05443668440591898,0.00002390701827926,0.00002077467809691,-1.3564836602222115,-1.3549630420812626,-1.3537154574790546,0.0015206181409489,0.0012475846022080
0.01,N,9,0.00000195,0.00000195,0.00000195,0.01175397567683145,0.011778610515683652,0.011798840554974717,0.000024634838852202,0.000020230039291065,0.011720935786220327,0.011720935851355167,0.011720935920189897,6.5134840E-11,6.8834730E-11,1.4109659914228967,1.4094214528904236,1.408153083513788,-0.0015445385324731,-0.0012683693766356,-0.05448169795375968,-0.054457777780425154,-0.054436993170451364,0.000023920173334526,0.000020784609973790,-1.3564831886095174,-1.354962570259613,-1.3537149854999098,0.0015206183499044,0.0012475847597032
