time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.04,N,0,0.0,0.0,0.011888451721039927,0.011888448991482961,-2.729556966E-9,0.011721700191697835,0.011721700191728726,3.0891E-14,1.4025347029853859,1.4025348741213097,1.711359238E-7,-0.054339044116979096,-0.05433904661682187,-2.499842774E-9,-1.3481956588684068,-1.3481958275044879,-1.686360811E-7
0.04,N,1,2.1666666666666665E-7,2.1666666666666665E-7,0.011888451481749305,0.011888448752196829,-2.729552476E-9,0.011721700190205804,0.011721700190236698,3.0894E-14,1.4025347179882681,1.4025348891239109,1.711356428E-7,-0.054338962098957166,-0.05433896459851706,-2.499559894E-9,-1.3481956310686356,-1.3481957997047183,-1.686360827E-7
0.04,N,2,4.333333333333333E-7,4.333333333333333E-7,0.011888451242458685,0.011888448512910696,-2.729547989E-9,0.011721700188713774,0.011721700188744672,3.0898E-14,1.4025347329911504,1.4025349041265116,1.711353612E-7,-0.05433893619583441,-0.054338938695108974,-2.499274564E-9,-1.3481955476698038,-1.3481957163058904,-1.686360866E-7
0.04,N,3,6.5E-7,6.5E-7,0.01188845139213344,0.011888448662582651,-2.729550789E-9,0.011721700189645676,0.011721700189676578,3.0902E-14,1.4025347236069432,1.4025348947424798,1.711355366E-7,-0.05433894201995426,-0.05433894451939714,-2.49944288E-9,-1.3481954086724786,-1.348195577308572,-1.686360934E-7
0.04,N,4,8.666666666666666E-7,8.666666666666666E-7,0.011888451542618049,0.011888448813064445,-2.729553604E-9,0.011721700190582635,0.011721700190613535,3.0900E-14,1.4025347141719606,1.4025348853076738,1.711357132E-7,-0.0543390039072118,-0.05433900640682077,-2.49960897E-9,-1.3481952140770785,-1.3481953827131825,-1.686361040E-7
0.04,N,5,0.0000010833333333333333,0.0000010833333333333333,0.01188845208125392,0.011888449351690237,-2.729563683E-9,0.01172170019393846,0.011721700193969349,3.0889E-14,1.4025346804009318,1.4025348515372769,1.711363451E-7,-0.0543390975721012,-0.05433910007232923,-2.50022803E-9,-1.3481949638838397,-1.3481951325199566,-1.686361169E-7
0.04,N,6,0.0000013,0.0000013,0.011888452621509473,0.011888449891935686,-2.729573787E-9,0.011721700197304381,0.011721700197335263,3.0882E-14,1.4025346465283528,1.4025348176653316,1.711369788E-7,-0.054339247249011846,-0.05433924974985738,-2.500845534E-9,-1.3481946580928703,-1.348194826729003,-1.686361327E-7
0.04,N,7,0.0000015166666666666664,0.0000015166666666666664,0.011888453549110696,0.011888450819519556,-2.729591140E-9,0.011721700203084162,0.011721700203115025,3.0863E-14,1.4025345883702363,1.4025347595083026,1.711380663E-7,-0.05433942875399955,-0.05433943125591423,-2.50191468E-9,-1.3481942967041283,-1.3481944653402793,-1.686361510E-7
0.04,N,8,0.0000017333333333333332,0.0000017333333333333332,0.011888454479141474,0.011888451749532939,-2.729608535E-9,0.01172170020887908,0.011721700208909933,3.0853E-14,1.402534530059793,1.40253470119895,1.71139157E-7,-0.05433966622041786,-0.05433966872340146,-2.50298360E-9,-1.3481938797174737,-1.3481940483536465,-1.686361728E-7
0.04,N,9,0.00000195,0.00000195,0.011888455795718017,0.011888453066084832,-2.729633185E-9,0.011721700217082881,0.011721700217113704,3.0823E-14,1.4025344475139638,1.4025346186546663,1.711407025E-7,-0.0543399355654679,-0.054339938069972504,-2.504504604E-9,-1.3481934071326496,-1.3481935757688466,-1.686361970E-7
0.04,N,10,0.0000021666666666666665,0.0000021666666666666665,0.011888457115534054,0.011888454385876157,-2.729657897E-9,0.011721700225306865,0.01172170022533767,3.0805E-14,1.4025343647650266,1.4025345359072787,1.711422521E-7,-0.05434026082176291,-0.054340263327789406,-2.506026496E-9,-1.3481928789493236,-1.348193047585548,-1.686362244E-7
0.04,N,11,0.000002383333333333333,0.000002383333333333333,0.011888458821101091,0.011888456091411271,-2.729689820E-9,0.011721700235934785,0.01172170023596556,3.0775E-14,1.4025342578305333,1.402534428974787,1.711442537E-7,-0.054340618007280295,-0.054340620515278326,-2.507998031E-9,-1.3481922951670748,-1.3481924638033287,-1.686362539E-7
0.04,N,12,0.0000026,0.0000026,0.01188846053071765,0.011888457800995837,-2.729721813E-9,0.011721700246587936,0.011721700246618682,3.0746E-14,1.402534150642146,1.4025343217884056,1.711462596E-7,-0.054341031054175426,-0.05434103356414677,-2.509971344E-9,-1.3481916557854143,-1.3481918244217006,-1.686362863E-7
