time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.005,N,0,0.0,0.0,0.011770202076542655,0.011770167051403121,-3.5025139534E-8,0.01172080865941686,0.011720808659500872,8.4012E-14,1.409948639543811,1.4099508355264165,0.0000021959826055,-0.05446471258196883,-0.054464741045752385,-2.8463783555E-8,-1.3554839269618422,-1.3554860944806641,-0.0000021675188219
0.005,N,1,2.1666666666666665E-7,2.1666666666666665E-7,0.011770201995629982,0.011770166970557482,-3.5025072500E-8,0.011720808659208229,0.01172080865929225,8.4021E-14,1.409948644616819,1.4099508405952221,0.0000021959784031,-0.0544646205842354,-0.054464649043794555,-2.8459559155E-8,-1.3554838992114424,-1.3554860667302862,-0.0000021675188438
0.005,N,2,4.333333333333333E-7,4.333333333333333E-7,0.01177020191471731,0.011770166889711843,-3.5025005467E-8,0.011720808658999599,0.01172080865908363,8.4031E-14,1.4099486496898275,1.4099508456640275,0.0000021959742000,-0.054464584601780164,-0.05446461305707184,-2.8455291676E-8,-1.355483815960672,-1.3554859834795796,-0.0000021675189076
0.005,N,3,6.5E-7,6.5E-7,0.011770201964948419,0.01177016693990172,-3.5025046699E-8,0.011720808659129086,0.011720808659213109,8.4023E-14,1.4099486465404711,1.4099508425172562,0.0000021959767851,-0.05446459641187085,-0.0544646248696401,-2.845776925E-8,-1.3554836772098975,-1.3554858447289115,-0.0000021675190140
0.005,N,4,8.666666666666666E-7,8.666666666666666E-7,0.011770202015452574,0.011770166990364421,-3.5025088153E-8,0.011720808659259275,0.011720808659343294,8.4019E-14,1.4099486433739958,1.40995083935338,0.0000021959793842,-0.05446466421966689,-0.05446469267988552,-2.846021863E-8,-1.3554834829592053,-1.3554856504783677,-0.0000021675191624
0.005,N,5,0.0000010833333333333333,0.0000010833333333333333,0.011770202196827822,0.011770167171590162,-3.5025237660E-8,0.011720808659726882,0.011720808659810884,8.4002E-14,1.4099486320022525,1.4099508279910105,0.0000021959887580,-0.05446477983708364,-0.05446480830648315,-2.846939951E-8,-1.3554832332085323,-1.3554854007278858,-0.0000021675193535
0.005,N,6,0.0000013,0.0000013,0.011770202378749171,0.011770167353361557,-3.5025387614E-8,0.011720808660195904,0.011720808660279873,8.3969E-14,1.4099486205962701,1.40995081659443,0.0000021959981599,-0.054464951435309494,-0.05446497991387522,-2.8478565726E-8,-1.35548292795772,-1.355485095477307,-0.000002167519587
0.005,N,7,0.0000015166666666666664,0.0000015166666666666664,0.011770202691271284,0.011770167665625884,-3.5025645400E-8,0.011720808661001636,0.011720808661085564,8.3928E-14,1.4099486010019695,1.4099507970162917,0.0000021960143222,-0.054465170860499734,-0.05446519935494942,-2.8494449686E-8,-1.3554825672065365,-1.3554847347263994,-0.0000021675198629
0.005,N,8,0.0000017333333333333332,0.0000017333333333333332,0.011770203004612565,0.011770167978708708,-3.5025903857E-8,0.011720808661809485,0.011720808661893373,8.3888E-14,1.4099485813563088,1.4099507773868356,0.0000021960305268,-0.05446544624992122,-0.05446547476025376,-2.851033254E-8,-1.355482150954676,-1.3554843184748575,-0.0000021675201815
0.005,N,9,0.00000195,0.00000195,0.011770203448286125,0.011770168422016202,-3.5026269923E-8,0.011720808662953362,0.01172080866303719,8.3828E-14,1.4099485535391627,1.4099507495926409,0.0000021960534782,-0.05446576948382642,-0.05446579801674645,-2.853292003E-8,-1.3554816792017639,-1.355483846722306,-0.0000021675205421
0.005,N,10,0.0000021666666666666665,0.0000021666666666666665,0.011770203893051948,0.011770168866415064,-3.5026636884E-8,0.011720808664100047,0.011720808664183815,8.3768E-14,1.4099485256535347,1.4099507217300205,0.0000021960764858,-0.05446614866567501,-0.054466177221196066,-2.8555521056E-8,-1.3554811519473482,-1.3554833194682931,-0.0000021675209449
0.005,N,11,0.000002383333333333333,0.000002383333333333333,0.011770204467883454,0.01177016944077222,-3.5027111234E-8,0.01172080866558208,0.011720808665665772,8.3692E-14,1.4099484896131362,1.4099506857193624,0.0000021961062262,-0.054466575709696485,-0.05446660429450856,-2.8584812075E-8,-1.3554805691909158,-1.3554827367123061,-0.0000021675213903
0.005,N,12,0.0000026,0.0000026,0.011770205044080358,0.011770170016493648,-3.5027586710E-8,0.01172080866706763,0.011720808667151248,8.3618E-14,1.409948453487131,1.409950649623168,0.000002196136037,-0.05446705868566104,-0.05446708729979166,-2.861413062E-8,-1.3554799309318657,-1.3554820984537437,-0.0000021675218780
