time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V,prior_radial_same_time_available,prior_radial_R320H0250_minus_R160H0250_V_V,prior_radial_R320H0250_minus_R160H0250_delta_Eeq_V,prior_radial_R320H0250_minus_R160H0250_delta_etaMid_V,prior_radial_R320H0250_minus_R160H0250_delta_phiL_V,time_cap_abs_difference_divided_by_prior_radial_same_time_abs_difference
0.0,2.2306115890131686,2.2306115890131673,-1.3E-15,0E-16,-1.333E-15,-3E-16,3.33E-16,True,1.75284346E-8,1.78299371E-8,-3.0522917E-10,3.7271E-12,7.416520811276552898796792727E-8
0.00001002,2.2306289828014165,2.230628982801418,1.5E-15,0E-16,-2.001E-15,3.0E-15,5.01E-16,True,0.0000086718152055,0.0000088192872256,-1.49343940545E-7,1.8719206E-9,1.729741656681800701685858820E-10
0.00002002,2.230646252632623,2.2306462526326234,4E-16,0E-16,2.24E-16,4E-16,-2.24E-16,True,0.0000172178508576,0.0000175091025409,-2.94993940831E-7,3.7422571E-9,2.323170314972492958156218058E-11
0.00004002,2.2306805079487253,2.2306805079487275,2.2E-15,0E-16,-2.23E-16,2.8E-15,-3.77E-16,True,0.0000340621749046,0.0000346336074719,-5.78913925021E-7,7.4813578E-9,6.458777239450133429340396764E-11
0.00007001,2.230731006946936,2.2307310069469373,1.3E-15,0E-16,8.87E-16,7E-16,-2.87E-16,True,0.0000585668057034,0.0000595373009186,-9.83556041275E-7,1.30608261E-8,2.219687388422023208948292037E-11
0.00010,2.230780484996104,2.2307804849961026,-1.4E-15,0E-16,-8.84E-16,-4E-16,-1.16E-16,True,0.0000821868036086,0.0000835334374097,-0.000001365211869780,1.85780689E-8,1.703436486795678792082347906E-11
0.00015000000000000001,2.230860781275787,2.230860781275788,1E-15,0E-16,-4.43E-16,1.3E-15,1.43E-16,True,0.0001196759882265,0.0001216065812000,-0.000001958139306924,2.75463337E-8,8.355895069839655442671741655E-12
0.00020,2.230938440905453,2.230938440905455,2E-15,0E-15,-6.64E-16,2.8E-15,-1.36E-16,True,0.0001549046047037,0.0001573718613261,-0.000002503424634262,3.61680118E-8,1.291117203278482439766166712E-11
0.0002999999999999999,2.2310865393612387,2.2310865393612382,-5E-16,0E-16,-2.220E-15,2.0E-15,-2.80E-16,True,0.0002192411684043,0.0002226722750847,-0.000003483270980099,5.21642999E-8,2.280593574825125989559595680E-12
0.0003999999999999998,2.231225642001546,2.231225642001545,-1E-15,0E-16,1.329E-15,-2.2E-15,-1.29E-16,False,,,,,
0.00050,2.231356589486689,2.2313565894866882,-8E-16,0E-16,-1.778E-15,1.1E-15,-1.22E-16,True,0.000325991650446,0.0003309926158271,-0.000005080090547118,7.91251662E-8,2.454050583521060860760104917E-12
0.00060,2.231480150320023,2.231480150320023,0E-15,0E-16,1E-18,1E-16,-1.01E-16,False,,,,,
0.0006999999999999999,2.231597014211696,2.2315970142116965,5E-16,0E-16,2.24E-16,4E-16,-1.24E-16,False,,,,,
0.0007999999999999998,2.2317077976097344,2.2317077976097326,-1.8E-15,0E-15,-8.89E-16,-1.1E-15,1.89E-16,False,,,,,
0.0008999999999999998,2.2318130515068266,2.231813051506829,2.4E-15,0E-16,-2.2E-16,2.4E-15,2.2E-16,False,,,,,
0.001,2.2319132688961174,2.231913268896119,1.6E-15,0E-16,4.45E-16,1.5E-15,-3.45E-16,True,0.0004974054570624,0.0005049613142098,-0.000007677401693054,1.215445456E-7,3.216691689410392694145274518E-12
0.002,2.2327181137621883,2.232716843842165,-0.0000012699200233,-0.0000012885552024,1.8959289025E-8,-3.241101E-10,1.75E-16,True,0.0006170341087208,0.0006265730874137,-0.000009686004647454,1.470259547E-7,0.002058103442502920824992537802
0.005,2.234201331269507,2.234200647145173,-6.84124334E-7,-6.944419061E-7,1.0486011165E-8,-1.684395E-10,4.35E-16,True,0.000523896321485,0.0005325782634206,-0.000008794873219032,1.129312838E-7,0.001305839163101639734354432943
0.00525,2.234297492774565,2.2342968603615403,-6.324130247E-7,-6.419703720E-7,9.712671336E-9,-1.553239E-10,-1.36E-16,True,0.000511893019515,0.0005204219520014,-0.000008638351217003,1.094187306E-7,0.001235439829398705841424390458
0.0055000000000000005,2.2343911768900573,2.234390581959452,-5.949306053E-7,-6.039375797E-7,9.152776759E-9,-1.458021E-10,-2.59E-16,True,0.0005001292999936,0.0005085065510696,-0.000008483262935452,1.060118591E-7,0.001189553592056320521491463210
0.005750000000000001,2.2344825636442818,2.2344820002412473,-5.634030345E-7,-5.719457677E-7,8.680554717E-9,-1.378214E-10,-1.17E-16,True,0.0004886450296708,0.0004968726816646,-0.000008330369202666,1.027172086E-7,0.001152990412855656065737703250
0.006000000000000001,2.234571815718575,2.2345712806899782,-5.350285968E-7,-5.431517451E-7,8.253820293E-9,-1.306724E-10,4.07E-16,True,0.0004774715701947,0.0004855523265768,-0.000008180295737016,9.95393555E-8,0.001120545452751940393747835511
0.006250000000000001,2.234659078487157,2.234658569630971,-5.08856186E-7,-5.165906774E-7,7.858596435E-9,-1.241050E-10,-3.5E-17,True,0.0004666312072157,0.0004745682494879,-0.000008033523058557,9.64807861E-8,0.001090488973157728665348089175
0.0065000000000000014,2.2347444817273057,2.234743997190978,-4.845363277E-7,-4.919082918E-7,7.489995952E-9,-1.180317E-10,-1.52E-16,True,0.0004561382945050,0.0004639351554889,-0.000007890403193489,9.35422095E-8,0.001062257507289137970992159945
0.006750000000000002,2.234828141607553,2.2348276797063553,-4.619011977E-7,-4.689346274E-7,7.145832147E-9,-1.124025E-10,5.3E-17,True,0.000446000717265,0.0004536611760215,-0.000007751181682283,9.07229258E-8,0.001035651244088812575421184059
0.007000000000000002,2.2349101625269037,2.2349097216963094,-4.408305943E-7,-4.475479836E-7,6.824569137E-9,-1.071799E-10,6.3E-17,True,0.0004362212444642,0.0004437492414569,-0.000007616018115053,8.80211224E-8,0.001010566541392227590561196860
