time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.01,N,0,0.0,0.0,0.011804403125504931,0.011804398703289906,-4.422215025E-9,0.011720935946053362,0.011720935946066626,1.3264E-14,1.4078043252135994,1.4078046024746584,2.772610590E-7,-0.054429730564317325,-0.05442973458226019,-4.017942865E-9,-1.3533745946492821,-1.3533748678923982,-2.732431161E-7
0.01,N,1,2.1666666666666665E-7,2.1666666666666665E-7,0.011804402995097656,0.011804398572890114,-4.422207542E-9,0.011720935945651514,0.011720935945664781,1.3267E-14,1.407804333389787,1.4078046106503765,2.772605895E-7,-0.05442964168552211,-0.05442964570299336,-4.01747125E-9,-1.3533745668832688,-1.3533748401263872,-2.732431184E-7
0.01,N,2,4.333333333333333E-7,4.333333333333333E-7,0.01180440286469038,0.011804398442490325,-4.422200055E-9,0.011720935945249663,0.01172093594526293,1.3267E-14,1.4078043415659744,1.4078046188260949,2.772601205E-7,-0.05442960885349146,-0.05442961287048642,-4.01699496E-9,-1.3533744835856891,-1.3533747568288146,-2.732431255E-7
0.01,N,3,6.5E-7,6.5E-7,0.011804402945871172,0.011804398523666479,-4.422204693E-9,0.011720935945499621,0.011720935945512887,1.3266E-14,1.4078043364761559,1.407804613736567,2.772604111E-7,-0.05442961880175701,-0.05442962281903019,-4.01727318E-9,-1.3533743447570044,-1.3533746180001422,-2.732431378E-7
0.01,N,4,8.666666666666666E-7,8.666666666666666E-7,0.011804403027492501,0.01180439860528315,-4.422209351E-9,0.011720935945750936,0.011720935945764205,1.3269E-14,1.407804331358717,1.4078046086194198,2.772607028E-7,-0.054429684768499076,-0.05442968878604737,-4.017548294E-9,-1.3533741503974206,-1.3533744236405747,-2.732431541E-7
0.01,N,5,0.0000010833333333333333,0.0000010833333333333333,0.011804403320261095,0.011804398898034965,-4.422226130E-9,0.011720935946652706,0.011720935946665971,1.3265E-14,1.4078043130029088,1.4078045902646636,2.772617548E-7,-0.05442979354295696,-0.054429797561535986,-4.018579026E-9,-1.3533739005069498,-1.3533741737501253,-2.732431755E-7
0.01,N,6,0.0000013,0.0000013,0.011804403613910767,0.01180439919166781,-4.422242957E-9,0.011720935947557192,0.011720935947570451,1.3259E-14,1.4078042945918594,1.4078045718546692,2.772628098E-7,-0.05442995830837449,-0.05442996232798203,-4.01960754E-9,-1.3533735950854782,-1.3533738683286798,-2.732432016E-7
0.01,N,7,0.0000015166666666666664,0.0000015166666666666664,0.011804404118271177,0.01180439969599931,-4.422271867E-9,0.011720935949110783,0.011720935949124036,1.3253E-14,1.40780426296981,1.4078045402344328,2.772646228E-7,-0.054430165909207684,-0.05443016993059735,-4.021389666E-9,-1.3533732341327929,-1.353373507376025,-2.732432321E-7
0.01,N,8,0.0000017333333333333332,0.0000017333333333333332,0.011804404623953232,0.011804400201652384,-4.422300848E-9,0.011720935950668452,0.011720935950681695,1.3243E-14,1.4078042312648973,1.4078045085313369,2.772664396E-7,-0.05443042947388199,-0.05443043349705223,-4.02317024E-9,-1.3533728176486075,-1.3533730908918755,-2.732432680E-7
0.01,N,9,0.00000195,0.00000195,0.011804405339912274,0.011804400917570389,-4.422341885E-9,0.011720935952873891,0.011720935952887122,1.3231E-14,1.4078041863761794,1.407804463645192,2.772690126E-7,-0.05443073590181835,-0.05443073992752079,-4.02570244E-9,-1.353372345632563,-1.3533726188758715,-2.732433085E-7
