"","liion.Qh","liion.Qrevv_per1+liion.Qirrevv_per1","W/m^3","Total power dissipation density","Domain 3","+ operation","0"
"","liion.Rv_elchem","liion.iv_per1/F_const","mol/(m^3*s)","Reaction source electrochemistry volume","Domain 3","+ operation","0"
"","liion.ivtot","liion.iv_per1","A/m^3","Electrode reaction source","Domain 3","+ operation","0"
"","liion.Eeq_per1","eeq.Eeq","V","Equilibrium potential, Porous Electrode Reaction 1","Domain 3","Meta","0"
"","liion.i0_ref_per1","F_const*k_NCM*(0.5*liion.csmax/1[mol/m^3])^(liion.alphaa_per1+liion.alphac_per1)*1[mol/m^3]","A/m^2","Reference exchange current density","Domain 3","","0"
"","liion.alphaa_per1","0.5","1","Anodic transfer coefficient","Domain 3","","0"
"","liion.alphac_per1","0.5","1","Cathodic transfer coefficient","Domain 3","","0"
"","liion.cl_ref_per1","1000[mol/m^3]","mol/m^3","Electrolyte reference concentration","Domain 3","","0"
"","liion.itot","liion.iloc_per1","A/m^2","Total interface current density","Domain 3","+ operation","0"
"","liion.cl_wrap1","max(eps^2,cl/liion.cl_ref_per1)","1","Electrolyte salt concentration, help variable","Domain 3","","0"
"","liion.cl_wrap2","max(1[mol/m^3],cl)/liion.cl_ref_per1","1","Electrolyte salt concentration, help variable","Domain 3","","0"
"","liion.cl_wrap3","if(cl<eps[mol/m^3],eps,if(cl>1[mol/m^3],1,cl/1[mol/m^3]))","1","Electrolyte salt concentration, help variable","Domain 3","","0"
"","liion.cs_ref_low_per1","0.001*liion.csmax","mol/m^3","Intercalation species reference concentration","Domain 3","","0"
"","liion.cs_ref_high_per1","0.999*liion.csmax","mol/m^3","Intercalation species reference concentration","Domain 3","","0"
"","liion.Eeq_ref_low_per1","nojac(subst(liion.Eeq_per1,liion.pce2.per1.minput_concentration,liion.cs_ref_low_per1))","V","Equilibrium potential","Domain 3","","0"
"","liion.Eeq_ref_high_per1","nojac(subst(liion.Eeq_per1,liion.pce2.per1.minput_concentration,liion.cs_ref_high_per1))","V","Equilibrium potential","Domain 3","","0"
"","liion.ilocmid_per1","liion.i0_ref_per1*(2*(liion.csmax-liion.cs_surface)/liion.csmax)^liion.alphaa_per1*(2*liion.cs_surface/liion.csmax)^liion.alphac_per1*liion.cl_wrap2^liion.alphaa_per1*(exp(liion.alphaa_per1*F_const*liion.etamid_per1/(R_const*liion.pce2.per1.minput_temperature))-liion.cl_wrap3*exp(-liion.alphac_per1*F_const*liion.etamid_per1/(R_const*liion.pce2.per1.minput_temperature)))","A/m^2","Current density expression","Domain 3","","0"
"","liion.iloclow_per1","liion.i0_ref_per1*(2*(liion.csmax-liion.cs_ref_low_per1)/liion.csmax)^liion.alphaa_per1*(2*liion.cs_ref_low_per1/liion.csmax)^liion.alphac_per1*liion.cl_wrap2^liion.alphaa_per1*(liion.cs_surface*exp(liion.alphaa_per1*F_const*liion.etalow_per1/(R_const*liion.pce2.per1.minput_temperature))/liion.cs_ref_low_per1-liion.cl_wrap3*(liion.csmax-liion.cs_surface)*exp(-liion.alphac_per1*F_const*liion.etalow_per1/(R_const*liion.pce2.per1.minput_temperature))/(liion.csmax-liion.cs_ref_low_per1))","A/m^2","Current density expression","Domain 3","","0"
