time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V
0,2.2306115583380577,2.23061155833806,2.3E-15,0E-16,-2.25E-16,2.4E-15,1.25E-16
0.0001,2.230633361789696,2.2306333617896934,-2.6E-15,0E-15,-6.64E-16,-2.0E-15,6.4E-17
0.0002,2.230655145854292,2.2306551458542914,-6E-16,0E-16,8.89E-16,-1.5E-15,1.1E-17
0.0005,2.2307203535733477,2.2307203535733477,0E-16,0E-16,2.20E-16,1E-16,-3.20E-16
0.001,2.2308285543296176,2.2308285543296167,-9E-16,0E-16,2.24E-16,-1.6E-15,4.76E-16
0.002,2.231043183909241,2.2310431839092386,-2.4E-15,0E-15,6.65E-16,-2.7E-15,-3.65E-16
0.005,2.231673324578649,2.23167329824665,-2.6331999E-8,-2.85774744E-8,2.228021986E-9,1.74532E-11,2.14E-16
0.01,2.2326801672199394,2.232680100644896,-6.65750434E-8,-7.02868975E-8,3.690632244E-9,2.12216E-11,2.56E-16
0.02,2.234547278887034,2.2345471584165626,-1.204704714E-7,-1.234370979E-7,2.984430483E-9,-1.78040E-11,1.7E-17
0.03,2.2362437723123474,2.236243617190081,-1.551222664E-7,-1.572943334E-7,2.220022163E-9,-4.79554E-11,2.37E-16
0.04,2.2377942704945633,2.2377940937996006,-1.766949627E-7,-1.785512400E-7,1.919724601E-9,-6.34470E-11,-3.01E-16
0.05,2.2392191491579876,2.2392189607850863,-1.883729013E-7,-1.901457841E-7,1.842904939E-9,-7.00220E-11,-1.39E-16
0.06,2.2405354950141123,2.2405353023301724,-1.926839399E-7,-1.944552260E-7,1.842800353E-9,-7.15137E-11,-5.53E-16
0.07,2.2417577186659323,2.241757526990405,-1.916755273E-7,-1.934639273E-7,1.858440959E-9,-7.00410E-11,4.1E-17
0.08,2.242898015060957,2.242897828108028,-1.86952929E-7,-1.887531890E-7,1.867095368E-9,-6.68354E-11,3.2E-17
0.09,2.2439667317740737,2.2439665520297827,-1.797442910E-7,-1.815430111E-7,1.861386598E-9,-6.26658E-11,-6.98E-16
0.1,2.244972670520621,2.2449724995476332,-1.709729878E-7,-1.727550815E-7,1.840132710E-9,-5.80389E-11,-1.10E-16
0.11,2.2459234697162755,2.2459232950779775,-1.746382980E-7,-1.765322963E-7,1.951707906E-9,-5.77101E-11,4.94E-16
0.12,2.2468256317374578,2.246825474450411,-1.572870468E-7,-1.590590344E-7,1.822586748E-9,-5.05988E-11,-3.48E-16
0.13,2.247684378108067,2.2476842419867995,-1.361212675E-7,-1.377142042E-7,1.635521717E-9,-4.25848E-11,-2.17E-16
0.14,2.248504403559851,2.248504286091886,-1.17467965E-7,-1.188936296E-7,1.461396119E-9,-3.57319E-11,3.81E-16
0.15,2.2492903608142845,2.2492902592774255,-1.015368590E-7,-1.028127659E-7,1.305934471E-9,-3.00274E-11,-1.71E-16
0.16,2.2500446822822586,2.250044594225795,-8.80564636E-8,-8.91990798E-8,1.167954844E-9,-2.53386E-11,-4.4E-17
0.17,2.2507713168594345,2.250771240306131,-7.65533035E-8,-7.75771394E-8,1.045287190E-9,-2.14511E-11,-1.90E-16
0.18,2.251472592725471,2.25147252597594,-6.6749531E-8,-6.76677186E-8,9.36411616E-10,-1.82241E-11,8.4E-17
0.19,2.252150734066093,2.2521506756788483,-5.83872447E-8,-5.92115512E-8,8.39852852E-10,-1.55467E-11,3.48E-16
0.2,2.2528077524860195,2.252807701243912,-5.12421075E-8,-5.19830392E-8,7.54257984E-10,-1.33262E-11,-8.4E-17
0.21,2.2534454344176127,2.253445389293915,-4.51236977E-8,-4.57906058E-8,6.78387123E-10,-1.14791E-11,7.7E-17
0.22,2.2540653582944628,2.2540653184225845,-3.98718783E-8,-4.04730776E-8,6.11133363E-10,-9.9339E-12,-1.63E-16
0.23,2.2546689188310713,2.254668883478637,-3.53524343E-8,-3.58952964E-8,5.51500400E-10,-8.6381E-12,-2.00E-16
0.24,2.255257350980395,2.255257319527453,-3.1452942E-8,-3.19439945E-8,4.98606270E-10,-7.5535E-12,-2.70E-16
0.25,2.2558317514126514,2.2558317233334733,-2.80791781E-8,-2.85242029E-8,4.51660045E-10,-6.6349E-12,-3.45E-16
0.26,2.2563930971390667,2.256393071986953,-2.51521137E-8,-2.55562128E-8,4.09957179E-10,-5.8580E-12,-7.9E-17
0.27,2.2569422614672963,2.2569422388619294,-2.26053669E-8,-2.29730490E-8,3.72877058E-10,-5.1947E-12,-2.58E-16
0.28,2.2574800276205083,2.2574800072374024,-2.03831059E-8,-2.07183490E-8,3.39876573E-10,-4.6333E-12,-1.73E-16
0.29,2.2580071003589657,2.258007081920662,-1.84383037E-8,-1.87446160E-8,3.10461429E-10,-4.1493E-12,1.71E-16
0.3,2.2585241159086937,2.2585240991774107,-1.67312830E-8,-1.70117630E-8,2.84210211E-10,-3.7298E-12,-4.11E-16
0.31,2.2590316504592525,2.2590316352307327,-1.52285198E-8,-1.54858977E-8,2.60747871E-10,-3.3705E-12,5.29E-16
0.32,2.2595302274522058,2.259530213550579,-1.39016268E-8,-1.41383181E-8,2.39746002E-10,-3.0546E-12,-1.02E-16
0.33,2.260020323846722,2.2600203111201727,-1.27265493E-8,-1.29446760E-8,2.20913065E-10,-2.7860E-12,-3.65E-16
0.34,2.2605023755186324,2.260502363835804,-1.16828284E-8,-1.18842793E-8,2.03994599E-10,-2.5439E-12,2.01E-16
0.35,2.2609767819243016,2.2609767711712294,-1.07530722E-8,-1.09395053E-8,1.88768777E-10,-2.3357E-12,2.3E-17
0.36,2.26144391013949,2.261443900217059,-9.922431E-9,-1.00953225E-8,1.75038648E-10,-2.1475E-12,3.52E-16
0.37,2.2619040983659353,2.2619040891877162,-9.1782191E-9,-9.3388763E-9,1.62638570E-10,-1.9808E-12,-5.70E-16
0.38,2.2623576589837286,2.2623576504741467,-8.5095819E-9,-8.6591589E-9,1.51412885E-10,-1.8359E-12,1.5E-17
0.39,2.2628048812152306,2.2628048733080446,-7.9071860E-9,-8.0467166E-9,1.41231028E-10,-1.7010E-12,5.72E-16
0.4,2.2632460334561806,2.263246026093159,-7.3630216E-9,-7.4934184E-9,1.31981314E-10,-1.5845E-12,-1.4E-17
0.41,2.263681365320939,2.26368135845076,-6.870179E-9,-6.9922509E-9,1.23554723E-10,-1.4827E-12,-1.23E-16
0.42,2.2641111094417092,2.2641111030190366,-6.4226726E-9,-6.5371530E-9,1.15866205E-10,-1.3857E-12,-1.05E-16
0.43,2.2645354830555586,2.2645354770402215,-6.0153371E-9,-6.1228787E-9,1.08839163E-10,-1.2975E-12,-6.3E-17
0.44,2.2649546894079298,2.2649546837642465,-5.6436833E-9,-5.7448669E-9,1.02401865E-10,-1.2179E-12,-3.65E-16
0.45,2.2653689189971273,2.265368913693327,-5.3038003E-9,-5.3991512E-9,9.6496143E-11,-1.1448E-12,-4.43E-16
0.46,2.2657783506806912,2.265778345688406,-4.9922852E-9,-5.0822731E-9,9.1063601E-11,-1.0758E-12,9.9E-17
0.47,2.266183152661466,2.266183147955304,-4.706162E-9,-4.7912046E-9,8.6062488E-11,-1.0201E-12,2.12E-16
0.48,2.266583483368685,2.26658347892587,-4.442815E-9,-4.5232947E-9,8.1445519E-11,-9.657E-13,-1.19E-16
0.49,2.2669794922472035,2.266979488047255,-4.1999485E-9,-4.2762120E-9,7.7174045E-11,-9.106E-13,5.5E-17
0.5,2.267371320466178,2.2673713164906295,-3.9755485E-9,-4.0479051E-9,7.3221649E-11,-8.649E-13,-1.49E-16
0.51,2.2677591015568823,2.2677590977890563,-3.7678260E-9,-3.8365616E-9,6.9551922E-11,-8.167E-13,3.78E-16
0.52,2.268142961988138,2.268142958412928,-3.575210E-9,-3.6405791E-9,6.6146646E-11,-7.779E-13,3.54E-16
0.53,2.268523021686586,2.2685230182902876,-3.3962984E-9,-3.4585346E-9,6.2976960E-11,-7.404E-13,-3.60E-16
0.54,2.268899394508139,2.268899391278289,-3.229850E-9,-3.2891640E-9,6.0019990E-11,-7.057E-13,-2.90E-16
0.55,2.269272188666101,2.2692721855913485,-3.0747525E-9,-3.1313418E-9,5.7264416E-11,-6.749E-13,-2.16E-16
0.56,2.269641507120742,2.269641504190723,-2.930019E-9,-2.9840633E-9,5.4689365E-11,-6.448E-13,-2.65E-16
0.57,2.270007447934505,2.2700074451397376,-2.7947674E-9,-2.8464258E-9,5.2273963E-11,-6.157E-13,1.37E-16
0.58,2.2703701045964877,2.2703701019282865,-2.6682012E-9,-2.7176238E-9,5.0011326E-11,-5.890E-13,2.74E-16
0.59,2.2707295663194564,2.270729563769852,-2.5496044E-9,-2.5969319E-9,4.7891911E-11,-5.644E-13,-1.1E-17
0.6,2.2710859183121475,2.271085915873809,-2.4383385E-9,-2.4836975E-9,4.5896397E-11,-5.375E-13,1.03E-16
0.61,2.27143924202939,2.2714392396955634,-2.3338266E-9,-2.3773302E-9,4.4021454E-11,-5.182E-13,3.46E-16
0.62,2.2717896154022212,2.2717896131666837,-2.2355375E-9,-2.2772981E-9,4.2255973E-11,-4.955E-13,1.27E-16
0.63,2.27213711304996,2.272137110906957,-2.143003E-9,-2.1831183E-9,4.0589755E-11,-4.740E-13,-4.55E-16
0.64,2.2724818064759282,2.272481804420136,-2.0557922E-9,-2.0943511E-9,3.9015905E-11,-4.569E-13,-1.05E-16
0.65,2.2728237642483595,2.2728237622748533,-1.9735062E-9,-2.0106011E-9,3.7533978E-11,-4.396E-13,5.22E-16
0.66,2.2731630521679,2.273163050272101,-1.895799E-9,-1.9315043E-9,3.6130877E-11,-4.256E-13,2.3E-17
0.67,2.2734997334228373,2.2734997316004977,-1.8223396E-9,-1.8567300E-9,3.4800609E-11,-4.101E-13,-1.09E-16
0.68,2.2738338687332194,2.2738338669803895,-1.7528299E-9,-1.7859769E-9,3.3540727E-11,-3.935E-13,-2.27E-16
0.69,2.2741655164847927,2.27416551479779,-1.6870027E-9,-1.7189687E-9,3.2344796E-11,-3.788E-13,4E-18
0.7,2.274494732853647,2.274494731229041,-1.624606E-9,-1.6554514E-9,3.121081E-11,-3.650E-13,-4.1E-16
0.71,2.2748215719223555,2.274821570356942,-1.5654135E-9,-1.5951945E-9,3.0137001E-11,-3.563E-13,2.99E-16
0.72,2.2751460857883017,2.2751460842790925,-1.5092092E-9,-1.5379808E-9,2.9109603E-11,-3.378E-13,-2.03E-16
0.73,2.2754683246648617,2.2754683232090507,-1.4558110E-9,-1.4836179E-9,2.8136155E-11,-3.289E-13,-3.55E-16
0.74,2.2757883369759715,2.2757883355709416,-1.4050299E-9,-1.4319215E-9,2.7211123E-11,-3.192E-13,-3.23E-16
0.75,2.2761061694446623,2.276106168087955,-1.3567073E-9,-1.3827249E-9,2.6324724E-11,-3.070E-13,-1.24E-16
0.76,2.2764218671759733,2.2764218658652786,-1.3106947E-9,-1.3358762E-9,2.5480287E-11,-2.984E-13,-3.87E-16
0.77,2.2767354737347127,2.2767354724678697,-1.2668430E-9,-1.2912297E-9,2.4674929E-11,-2.886E-13,3.71E-16
0.78,2.2770470312184528,2.2770470299934247,-1.2250281E-9,-1.2486538E-9,2.3907542E-11,-2.815E-13,-3.42E-16
0.79,2.2773565803261113,2.277356579140987,-1.1851243E-9,-1.2080277E-9,2.3170353E-11,-2.669E-13,-5.3E-17
0.8,2.27766416042243,2.2776641592754006,-1.1470294E-9,-1.1692359E-9,2.2472693E-11,-2.661E-13,-9.3E-17
0.81,2.2779698095986545,2.277969808488024,-1.1106305E-9,-1.1321731E-9,2.1798787E-11,-2.562E-13,1.3E-17
0.82,2.27827356472972,2.278273563653886,-1.075834E-9,-1.0967413E-9,2.1155968E-11,-2.485E-13,-1.68E-16
0.83,2.2785754615281344,2.278575460485584,-1.0425504E-9,-1.0628473E-9,2.0540236E-11,-2.434E-13,6.4E-17
0.84,2.278875534594823,2.2788755335841295,-1.0106935E-9,-1.0304086E-9,1.9950039E-11,-2.347E-13,-2.39E-16
0.85,2.2791738174671448,2.279173816486956,-9.801888E-10,-9.993437E-10,1.9384273E-11,-2.294E-13,2.7E-17
0.86,2.279470342664246,2.2794703417132887,-9.509573E-10,-9.695785E-10,1.8840485E-11,-2.192E-13,-8.5E-17
0.87,2.279765141729968,2.279765140807029,-9.22939E-10,-9.410451E-10,1.8320237E-11,-2.144E-13,2.63E-16
