time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.01,N,0,0.0,0.0,0.01175397567042708,0.01175397473716825,-9.3325883E-10,0.011720935778997405,0.011720935779040325,4.2920E-14,1.4109659918244335,1.410966050337267,5.85128335E-8,-0.05448061436863294,-0.054480614633029445,-2.64396505E-10,-1.3564853774558006,-1.3564854357042375,-5.82484369E-8
0.01,N,1,2.1666666666666665E-7,2.1666666666666665E-7,0.011753975614959935,0.01175397468170396,-9.33255975E-10,0.011720935778573588,0.011720935778616515,4.2927E-14,1.4109659953020752,1.4109660538147297,5.85126545E-8,-0.05448052076736731,-0.05448052103158352,-2.6421621E-10,-1.356485349713492,-1.3564854079619304,-5.82484384E-8
0.01,N,2,4.333333333333333E-7,4.333333333333333E-7,0.01175397555949279,0.011753974626239668,-9.33253122E-10,0.011720935778149767,0.011720935778192703,4.2936E-14,1.410965998779717,1.4109660572921925,5.85124755E-8,-0.05448048316498921,-0.05448048342902201,-2.6403280E-10,-1.3564852664870537,-1.3564853247354964,-5.82484427E-8
0.01,N,3,6.5E-7,6.5E-7,0.011753975593886957,0.011753974660632117,-9.33254840E-10,0.011720935778412564,0.011720935778455496,4.2932E-14,1.4109659966232944,1.4109660551358778,5.85125834E-8,-0.054480495926936934,-0.05448049619107187,-2.64134936E-10,-1.3564851277769827,-1.356485186025431,-5.82484483E-8
0.01,N,4,8.666666666666666E-7,8.666666666666666E-7,0.011753975628468218,0.011753974695211658,-9.33256560E-10,0.01172093577867679,0.011720935778719717,4.2927E-14,1.4109659944551418,1.4109660529678332,5.85126914E-8,-0.05448056467533258,-0.05448056493956943,-2.6423685E-10,-1.3564849335834912,-1.3564849918319455,-5.82484543E-8
0.01,N,5,0.0000010833333333333333,0.0000010833333333333333,0.01175397575272374,0.011753974819460907,-9.33262833E-10,0.011720935779626195,0.01172093577966911,4.2915E-14,1.4109659866646527,1.4109660451777375,5.85130848E-8,-0.054480683799555285,-0.05448068406417761,-2.64622325E-10,-1.3564846839065943,-1.3564847421550565,-5.82484622E-8
0.01,N,6,0.0000013,0.0000013,0.011753975877353459,0.011753974944084334,-9.33269125E-10,0.011720935780578461,0.011720935780621364,4.2903E-14,1.4109659788507027,1.4109660373641817,5.85134790E-8,-0.054480858898611206,-0.05448085916361811,-2.65006904E-10,-1.3564843787461633,-1.356484436994635,-5.82484717E-8
0.01,N,7,0.0000015166666666666664,0.0000015166666666666664,0.01175397609147226,0.011753975158192305,-9.33279955E-10,0.011720935782214493,0.011720935782257372,4.2879E-14,1.4109659654260265,1.4109660239401842,5.85141577E-8,-0.05448108438546129,-0.054481084651135436,-2.65674146E-10,-1.356484018101974,-1.356484076350457,-5.8248483E-8
0.01,N,8,0.0000017333333333333332,0.0000017333333333333332,0.011753976306152365,0.011753975372861552,-9.33290813E-10,0.011720935783854818,0.011720935783897676,4.2858E-14,1.4109659519661577,1.4109660104809965,5.85148388E-8,-0.054481365835953977,-0.05448136610229515,-2.66341173E-10,-1.3564836019737145,-1.3564836602222115,-5.82484970E-8
0.01,N,9,0.00000195,0.00000195,0.011753976610137657,0.01175397567683145,-9.33306207E-10,0.011720935786177498,0.011720935786220327,4.2829E-14,1.4109659329070927,1.4109659914228967,5.85158040E-8,-0.05448169768646882,-0.05448169795375968,-2.6729086E-10,-1.356483130361005,-1.3564831886095174,-5.82485124E-8
0.01,N,10,0.0000021666666666666665,0.0000021666666666666665,0.011753976914871383,0.011753975981549742,-9.33321641E-10,0.011720935788505906,0.011720935788548697,4.2791E-14,1.4109659138011028,1.4109659723178742,5.85167714E-8,-0.05448208548974587,-0.054482085757987075,-2.68241205E-10,-1.3564826032633814,-1.356482661511911,-5.82485296E-8
0.01,N,11,0.000002383333333333333,0.000002383333333333333,0.01175397730872779,0.011753976375386185,-9.33341605E-10,0.011720935791515279,0.011720935791558031,4.2752E-14,1.410965889107359,1.4109659476253824,5.85180234E-8,-0.0544825237054849,-0.05448252397495845,-2.6947355E-10,-1.3564820206803199,-1.3564820789288685,-5.82485486E-8
0.01,N,12,0.0000026,0.0000026,0.011753977703519786,0.011753976770158171,-9.33361615E-10,0.011720935794531796,0.011720935794574516,4.2720E-14,1.4109658643549563,1.4109659228742342,5.85192779E-8,-0.05448301786340193,-0.05448301813410916,-2.7070723E-10,-1.3564813826112045,-1.3564814408597738,-5.82485693E-8
0.01,N,13,0.0000028166666666666667,0.0000028166666666666667,0.011753978187253255,0.011753977253867131,-9.33386124E-10,0.011720935798227895,0.01172093579827057,4.2675E-14,1.4109658340261615,1.4109658925469757,5.85208142E-8,-0.05448356244643393,-0.054483562718655065,-2.72221135E-10,-1.3564806890553718,-1.3564807473039635,-5.82485917E-8
0.01,N,14,0.000003033333333333333,0.000003033333333333333,0.0117539786721095,0.011753977738698816,-9.33410684E-10,0.01172093580193258,0.011720935801975205,4.2625E-14,1.4109658036269712,1.4109658621493253,5.85223541E-8,-0.05448416296135439,-0.05448416323509053,-2.7373614E-10,-1.356479940012052,-1.3564799982606681,-5.82486161E-8
0.01,N,15,0.0000032499999999999994,0.0000032499999999999994,0.011753979245727367,0.011753978312287592,-9.33439775E-10,0.011720935806315473,0.011720935806358038,4.2565E-14,1.4109657676626643,1.4109658261868425,5.85241782E-8,-0.05448481391425175,-0.05448481418978579,-2.7553404E-10,-1.3564791354804426,-1.3564791937290848,-5.82486422E-8
