time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.06,N,0,0.0,0.0,0.011880872779716951,0.01188086969906193,-3.080655021E-9,0.01172220909556919,0.01172220909570046,1.3127E-13,1.4030098823433232,1.4030100754921568,1.931488336E-7,-0.054351684917253396,-0.05435168637913068,-1.461877284E-9,-1.3486581974260698,-1.3486583891130262,-1.916869564E-7
0.06,N,1,2.1666666666666665E-7,2.1666666666666665E-7,0.011880872541396583,0.011880869460749567,-3.080647016E-9,0.011722209093272375,0.01172220909340366,1.31285E-13,1.4030098972853735,1.4030100904337048,1.931483313E-7,-0.0543516028374158,-0.054351604298787715,-1.461371915E-9,-1.3486581696272795,-1.3486583613142389,-1.916869594E-7
0.06,N,2,4.333333333333333E-7,4.333333333333333E-7,0.011880872303076214,0.011880869222437208,-3.080639006E-9,0.011722209090975558,0.011722209091106862,1.31304E-13,1.4030099122274236,1.4030101053752526,1.931478290E-7,-0.05435157687049608,-0.0543515783313584,-1.46086232E-9,-1.3486580862314044,-1.348658277918371,-1.916869666E-7
0.06,N,3,6.5E-7,6.5E-7,0.011880872451814455,0.011880869371170576,-3.080643879E-9,0.011722209092408148,0.01172220909253944,1.31292E-13,1.4030099029019334,1.403010096050068,1.931481346E-7,-0.05435158274834939,-0.05435158420950437,-1.46115498E-9,-1.3486579472390487,-1.3486581389260281,-1.916869794E-7
0.06,N,4,8.666666666666666E-7,8.666666666666666E-7,0.011880872601358575,0.011880869520709797,-3.080648778E-9,0.011722209093848503,0.011722209093979788,1.31285E-13,1.403009893525917,1.4030100866743587,1.931484417E-7,-0.05435164468751341,-0.05435164614895682,-1.46144341E-9,-1.348657752650689,-1.348657944337687,-1.91686998E-7
0.06,N,5,0.0000010833333333333333,0.0000010833333333333333,0.01188087313715055,0.011880870056484024,-3.080666526E-9,0.011722209099010466,0.011722209099141706,1.31240E-13,1.4030098599331924,1.4030100530827474,1.931495550E-7,-0.05435173852150066,-0.054351739984034086,-1.462533426E-9,-1.3486575024666319,-1.3486576941536528,-1.916870209E-7
0.06,N,6,0.0000013,0.0000013,0.011880873674554267,0.011880870593869943,-3.080684324E-9,0.011722209104187949,0.011722209104319158,1.31209E-13,1.4030098262394162,1.4030100193900867,1.931506705E-7,-0.05435188836578164,-0.0543518898294022,-1.46362056E-9,-1.3486571966870642,-1.3486573883741133,-1.916870491E-7
0.06,N,7,0.0000015166666666666664,0.0000015166666666666664,0.011880874597403996,0.011880871516689035,-3.080714961E-9,0.011722209113079318,0.011722209113210457,1.31139E-13,1.4030097683792055,1.403009961531797,1.931525915E-7,-0.05435207015494181,-0.05435207162044975,-1.46550794E-9,-1.3486568353120199,-1.3486570269991023,-1.916870824E-7
0.06,N,8,0.0000017333333333333332,0.0000017333333333333332,0.011880875522671369,0.011880872441925691,-3.080745678E-9,0.011722209121993971,0.011722209122125047,1.31076E-13,1.4030097103674148,1.4030099035219323,1.931545175E-7,-0.054352307903904995,-0.05435230937130031,-1.467395315E-9,-1.3486564183414316,-1.3486566100285522,-1.916871206E-7
0.06,N,9,0.00000195,0.00000195,0.011880876832589007,0.011880873751799822,-3.080789185E-9,0.01172220913461485,0.011722209134745835,1.30985E-13,1.4030096282390814,1.4030098213963265,1.931572451E-7,-0.05435257764790791,-0.0543525791179873,-1.47007939E-9,-1.3486559457751033,-1.348656137462267,-1.916871637E-7
