system,layer,z_mean,n_total,n_P,n_Sn,dopant_percent
LPSC-H2O,0,0.69450554846,1,1,0,0.0
LPSC-H2O,1,3.8299842065841174,17,17,0,0.0
LPSC-H2O,2,8.997304169900001,18,18,0,0.0
LPSC-H2O,3,13.934932799861109,18,18,0,0.0
LPSC-H2O,4,18.942837325322223,18,18,0,0.0
LPSC-H2O,5,23.872532730144442,18,18,0,0.0
LPSC-H2O,6,28.835173303633333,18,18,0,0.0
LPSC-H2O,7,33.78712452477778,18,18,0,0.0
LPSC-H2O,8,39.181382462744445,18,18,0,0.0
LPSC-ion,0,3.6369087813470586,17,17,0,0.0
LPSC-ion,1,8.907179166827778,18,18,0,0.0
LPSC-ion,2,13.847157457627778,18,18,0,0.0
LPSC-ion,3,18.858570429622223,18,18,0,0.0
LPSC-ion,4,23.852544568288888,18,18,0,0.0
LPSC-ion,5,28.736697912572215,18,18,0,0.0
LPSC-ion,6,33.791053699655556,18,18,0,0.0
LPSC-ion,7,38.94649909832666,15,15,0,0.0
LPSC-ion,8,42.2268923284,1,1,0,0.0
LPSC-ion,9,45.212238040799996,1,1,0,0.0
LPSC-ion,10,59.1452846941,1,1,0,0.0
LPSC-ion,11,64.0929644529,1,1,0,0.0
LPSnSC-ion,0,3.837205379697778,18,18,0,0.0
LPSnSC-ion,1,9.046673715066666,18,9,9,50.0
LPSnSC-ion,2,14.366092126,18,18,0,0.0
LPSnSC-ion,3,19.48318105575556,18,9,9,50.0
LPSnSC-ion,4,24.633951921244446,18,18,0,0.0
LPSnSC-ion,5,29.72118674064445,18,9,9,50.0
LPSnSC-ion,6,34.74911588311111,18,18,0,0.0
LPSnSC-ion,7,40.342772731888886,18,9,9,50.0
