system,pair,cutoff_A,n_H2O,n_OH,n_H3O,n_bare_O,n_SH_bonds,n_S_with_H,n_S_with_2H
LPSC-H2O,H-O,1.15,277,22,0,0,,,
LPSC-H2O,H-O,1.2,281,18,0,0,,,
LPSC-H2O,H-O,1.25,283,16,0,0,,,
LPSC-H2O,H-O,1.3,284,15,0,0,,,
LPSC-H2O,H-O,1.35,287,12,0,0,,,
LPSC-H2O,H-S,1.45,,,,,17,17,0
LPSC-H2O,H-S,1.55,,,,,17,17,0
LPSC-H2O,H-S,1.65,,,,,17,17,0
LPSC-H2O,H-S,1.75,,,,,17,17,0
LPSC-H2O,H-S,1.85,,,,,17,17,0
LPSC-ion,H-O,1.15,263,36,0,0,,,
LPSC-ion,H-O,1.2,270,29,0,0,,,
LPSC-ion,H-O,1.25,272,27,0,0,,,
LPSC-ion,H-O,1.3,275,24,0,0,,,
LPSC-ion,H-O,1.35,278,21,0,0,,,
LPSC-ion,H-S,1.45,,,,,29,27,2
LPSC-ion,H-S,1.55,,,,,30,28,2
LPSC-ion,H-S,1.65,,,,,30,28,2
LPSC-ion,H-S,1.75,,,,,30,28,2
LPSC-ion,H-S,1.85,,,,,30,28,2
LPSnSC-ion,H-O,1.15,275,24,0,0,,,
LPSnSC-ion,H-O,1.2,279,20,0,0,,,
LPSnSC-ion,H-O,1.25,284,15,0,0,,,
LPSnSC-ion,H-O,1.3,286,13,0,0,,,
LPSnSC-ion,H-O,1.35,287,12,0,0,,,
LPSnSC-ion,H-S,1.45,,,,,19,18,1
LPSnSC-ion,H-S,1.55,,,,,19,18,1
LPSnSC-ion,H-S,1.65,,,,,19,18,1
LPSnSC-ion,H-S,1.75,,,,,19,18,1
LPSnSC-ion,H-S,1.85,,,,,21,20,1
