system,depth_bin_centre_A,n_H_total,n_H_S
LPSC-H2O,-15.0,24,0
LPSC-H2O,-13.0,31,0
LPSC-H2O,-11.0,34,2
LPSC-H2O,-9.0,58,1
LPSC-H2O,-7.0,66,3
LPSC-H2O,-5.0,90,3
LPSC-H2O,-3.0,105,1
LPSC-H2O,-1.0,111,0
LPSC-H2O,1.0,58,1
LPSC-H2O,3.0,17,6
LPSC-H2O,5.0,4,0
LPSC-H2O,7.0,0,0
LPSC-H2O,9.0,0,0
LPSC-H2O,11.0,0,0
LPSC-H2O,13.0,0,0
LPSC-H2O,15.0,0,0
LPSC-H2O,17.0,0,0
LPSC-H2O,19.0,0,0
LPSC-H2O,21.0,0,0
LPSC-H2O,23.0,0,0
LPSC-ion,-15.0,0,0
LPSC-ion,-13.0,19,1
LPSC-ion,-11.0,31,1
LPSC-ion,-9.0,56,0
LPSC-ion,-7.0,64,1
LPSC-ion,-5.0,62,6
LPSC-ion,-3.0,105,4
LPSC-ion,-1.0,104,2
LPSC-ion,1.0,101,4
LPSC-ion,3.0,30,4
LPSC-ion,5.0,20,4
LPSC-ion,7.0,7,2
LPSC-ion,9.0,0,0
LPSC-ion,11.0,1,1
LPSC-ion,13.0,0,0
LPSC-ion,15.0,0,0
LPSC-ion,17.0,0,0
LPSC-ion,19.0,0,0
LPSC-ion,21.0,0,0
LPSC-ion,23.0,0,0
LPSnSC-ion,-15.0,0,0
LPSnSC-ion,-13.0,4,1
LPSnSC-ion,-11.0,17,1
LPSnSC-ion,-9.0,34,1
LPSnSC-ion,-7.0,76,0
LPSnSC-ion,-5.0,109,3
LPSnSC-ion,-3.0,144,3
LPSnSC-ion,-1.0,128,5
LPSnSC-ion,1.0,67,3
LPSnSC-ion,3.0,17,2
LPSnSC-ion,5.0,2,0
LPSnSC-ion,7.0,2,0
LPSnSC-ion,9.0,0,0
LPSnSC-ion,11.0,0,0
LPSnSC-ion,13.0,0,0
LPSnSC-ion,15.0,0,0
LPSnSC-ion,17.0,0,0
LPSnSC-ion,19.0,0,0
LPSnSC-ion,21.0,0,0
LPSnSC-ion,23.0,0,0
