system,pair,source,search_rmax,n_pairs_in_search_range,r_peak,g_peak,g_min,cutoff_used,valley_lo,valley_hi,valley_width,CN_total_at_lo,CN_total_at_mid,CN_total_at_hi,cut_invariant,note
LPSC-H2O,P-S,empty_valley,3.5,576,2.07,41.39,0.0,2.29,2.29,3.87,1.58,576,576,576,YES,
LPSC-H2O,P-O,fallback,3.0,0,,,,2.1,,,,,,,,no signal in search range
LPSC-H2O,H-O,smoothed_argmin,1.6,608,0.99,134.09,0.337,1.27,1.27,1.27,0.0,,,,,
LPSC-H2O,H-S,empty_valley,1.9,19,1.37,0.82,0.0,1.47,1.47,1.85,0.38,17,17,17,YES,
LPSC-H2O,H-Cl,fallback,2.0,4,,,,1.7,,,,,,,,peak at edge of search range
LPSC-H2O,O-O,fallback,2.4,2,,,,1.8,,,,,,,,peak at edge of search range
LPSC-H2O,Li-S,smoothed_argmin,4.2,4417,2.41,6.72,0.487,3.25,3.01,3.53,0.52,2391,2581,2812,NO,
LPSC-H2O,Li-O,smoothed_argmin,3.6,400,1.91,4.68,0.022,2.89,2.89,2.91,0.02,321,321,321,YES,
LPSC-H2O,H-H,fixed_documented,,0,,,,0.9,,,,,,,,H2 bond 0.741 A; H-H RDF is dominated by intramolecular H...H of H2O (1.5 A)
LPSC-H2O,S-S,fixed_documented,,0,,,,2.4,,,,,,,,disulfide S-S 2.0-2.1 A; S-S RDF is dominated by intra-PS4 S...S (3.35 A)
LPSC-ion,P-S,empty_valley,3.5,575,2.05,42.27,0.0,2.33,2.33,3.93,1.6,575,575,575,YES,
LPSC-ion,P-O,fallback,3.0,0,,,,2.1,,,,,,,,no signal in search range
LPSC-ion,H-O,smoothed_argmin,1.6,602,0.99,130.72,0.832,1.25,1.23,1.29,0.06,569,571,572,NO,
LPSC-ion,H-S,empty_valley,1.9,35,1.37,1.36,0.0,1.51,1.51,1.83,0.32,30,30,30,YES,
LPSC-ion,H-Cl,fallback,2.0,5,,,,1.7,,,,,,,,no peak/valley contrast: g_min/g_peak=0.24 > 0.20
LPSC-ion,O-O,fallback,2.4,6,,,,1.8,,,,,,,,peak at edge of search range
LPSC-ion,Li-S,smoothed_argmin,4.2,4279,2.47,6.46,0.433,3.15,3.09,3.53,0.44,2446,2594,2778,NO,
LPSC-ion,Li-O,smoothed_argmin,3.6,457,1.91,5.98,0.024,2.77,2.77,2.77,0.0,,,,,
LPSC-ion,H-H,fixed_documented,,2,,,,0.9,,,,,,,,H2 bond 0.741 A; H-H RDF is dominated by intramolecular H...H of H2O (1.5 A)
LPSC-ion,S-S,fixed_documented,,0,,,,2.4,,,,,,,,disulfide S-S 2.0-2.1 A; S-S RDF is dominated by intra-PS4 S...S (3.35 A)
LPSnSC-ion,P-S,empty_valley,3.5,432,2.07,37.99,0.0,2.25,2.25,3.17,0.92,431,431,431,YES,
LPSnSC-ion,P-O,fallback,3.0,0,,,,2.1,,,,,,,,no signal in search range
LPSnSC-ion,Sn-S,empty_valley,3.5,143,2.41,21.55,0.0,2.67,2.67,3.69,1.02,143,143,143,YES,
LPSnSC-ion,Sn-O,fallback,3.0,0,,,,2.5,,,,,,,,no signal in search range
LPSnSC-ion,H-O,smoothed_argmin,1.6,608,0.99,137.42,0.306,1.31,1.29,1.31,0.02,585,585,585,YES,
LPSnSC-ion,H-S,empty_valley,1.9,23,1.35,0.96,0.0,1.47,1.47,1.73,0.26,19,19,19,YES,
LPSnSC-ion,H-Cl,smoothed_argmin,2.0,5,1.93,0.75,0.142,1.97,1.97,1.99,0.02,4,5,5,NO,
LPSnSC-ion,O-O,fallback,2.4,6,,,,1.8,,,,,,,,peak at edge of search range
LPSnSC-ion,Li-S,smoothed_argmin,4.2,4480,2.43,6.77,0.441,3.17,2.97,3.53,0.56,2494,2692,2920,NO,
LPSnSC-ion,Li-O,empty_valley,3.6,434,1.99,4.0,0.0,2.65,2.65,2.91,0.26,336,336,336,YES,
LPSnSC-ion,H-H,fixed_documented,,2,,,,0.9,,,,,,,,H2 bond 0.741 A; H-H RDF is dominated by intramolecular H...H of H2O (1.5 A)
LPSnSC-ion,S-S,fixed_documented,,8,,,,2.4,,,,,,,,disulfide S-S 2.0-2.1 A; S-S RDF is dominated by intra-PS4 S...S (3.35 A)
