file,frame,n_atoms,formula,a,b,c,volume,energy_eV,free_energy_eV,step
1_LPSC_H-O_combined.xyz,0,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1134.97891579,-1135.11128982,0.0
1_LPSC_H-O_combined.xyz,1,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1178.55200179,-1178.57336527,0.5
1_LPSC_H-O_combined.xyz,2,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1175.66327164,-1175.69392021,5.0
1_LPSC_H-O_combined.xyz,3,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1197.4430679,-1197.4430679,4.5
1_LPSC_H-O_combined.xyz,4,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.36688118,-1207.36688118,10.0
1_LPSC_H-O_combined.xyz,5,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1202.77175754,-1202.77175754,20.0
1_LPSC_H-O_combined.xyz,6,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.94044645,-1206.94044645,30.0
1_LPSC_H-O_combined.xyz,7,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.867812,-1206.867812,40.0
1_LPSC_H-O_combined.xyz,8,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.83019753,-1206.83019753,50.0
1_LPSC_H-O_combined.xyz,9,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.1403524,-1207.1403524,60.0
1_LPSC_H-O_combined.xyz,10,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.76039277,-1207.76039277,70.0
1_LPSC_H-O_combined.xyz,11,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.92926389,-1206.92926389,80.0
1_LPSC_H-O_combined.xyz,12,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1182.5910434,-1182.61650092,1.0
1_LPSC_H-O_combined.xyz,13,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.84051142,-1206.84051142,90.0
1_LPSC_H-O_combined.xyz,14,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.37641762,-1208.37641762,100.0
1_LPSC_H-O_combined.xyz,15,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.03313093,-1208.03313093,110.0
1_LPSC_H-O_combined.xyz,16,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.00869153,-1207.00869153,120.0
1_LPSC_H-O_combined.xyz,17,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1205.51957809,-1205.51957809,130.0
1_LPSC_H-O_combined.xyz,18,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.49443016,-1207.49443016,140.0
1_LPSC_H-O_combined.xyz,19,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.48417631,-1208.48417631,150.0
1_LPSC_H-O_combined.xyz,20,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.16028344,-1208.16028344,160.0
1_LPSC_H-O_combined.xyz,21,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.4534527,-1208.4534527,170.0
1_LPSC_H-O_combined.xyz,22,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.10677981,-1207.10677981,180.0
1_LPSC_H-O_combined.xyz,23,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1185.32453577,-1185.33025776,1.5
1_LPSC_H-O_combined.xyz,24,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.98078488,-1208.98078488,190.0
1_LPSC_H-O_combined.xyz,25,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.61188861,-1207.61188861,200.0
1_LPSC_H-O_combined.xyz,26,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.53743862,-1206.53743862,210.0
1_LPSC_H-O_combined.xyz,27,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.5835045,-1207.5835045,220.0
1_LPSC_H-O_combined.xyz,28,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.41874483,-1207.41874483,230.0
1_LPSC_H-O_combined.xyz,29,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1204.82497371,-1204.82497371,240.0
1_LPSC_H-O_combined.xyz,30,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.41839723,-1206.41839723,250.0
1_LPSC_H-O_combined.xyz,31,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.30358405,-1208.30358405,260.0
1_LPSC_H-O_combined.xyz,32,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.79267786,-1208.79267786,270.0
1_LPSC_H-O_combined.xyz,33,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.83025918,-1208.83025918,280.0
1_LPSC_H-O_combined.xyz,34,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1190.57662091,-1190.57662091,2.0
1_LPSC_H-O_combined.xyz,35,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.58970996,-1206.58970996,290.0
1_LPSC_H-O_combined.xyz,36,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.4104842,-1208.4104842,300.0
1_LPSC_H-O_combined.xyz,37,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.73051679,-1207.73051679,310.0
1_LPSC_H-O_combined.xyz,38,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.60508851,-1207.60508851,320.0
1_LPSC_H-O_combined.xyz,39,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.56593442,-1207.56593442,330.0
1_LPSC_H-O_combined.xyz,40,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.08871936,-1207.08871936,340.0
1_LPSC_H-O_combined.xyz,41,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.26682322,-1207.26682322,350.0
1_LPSC_H-O_combined.xyz,42,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.50085775,-1206.50085775,360.0
1_LPSC_H-O_combined.xyz,43,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.18666547,-1208.18666547,370.0
1_LPSC_H-O_combined.xyz,44,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.65999844,-1207.65999844,380.0
1_LPSC_H-O_combined.xyz,45,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1193.88472605,-1193.88472605,2.5
1_LPSC_H-O_combined.xyz,46,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.06790966,-1206.06790966,390.0
1_LPSC_H-O_combined.xyz,47,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.43482254,-1208.43482254,400.0
1_LPSC_H-O_combined.xyz,48,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.54208996,-1207.54208996,410.0
1_LPSC_H-O_combined.xyz,49,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.74735342,-1207.74735342,420.0
1_LPSC_H-O_combined.xyz,50,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.19644497,-1208.19644497,430.0
1_LPSC_H-O_combined.xyz,51,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1208.78147678,-1208.78147678,440.0
1_LPSC_H-O_combined.xyz,52,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.93628162,-1207.93628162,450.0
1_LPSC_H-O_combined.xyz,53,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.93703963,-1206.93703963,460.0
1_LPSC_H-O_combined.xyz,54,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1205.76304009,-1205.76304009,470.0
1_LPSC_H-O_combined.xyz,55,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.25875252,-1206.25875252,480.0
1_LPSC_H-O_combined.xyz,56,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1193.17576546,-1193.17576546,3.0
1_LPSC_H-O_combined.xyz,57,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1207.53454008,-1207.53454008,490.0
1_LPSC_H-O_combined.xyz,58,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.23874342,-1206.23874342,500.0
1_LPSC_H-O_combined.xyz,59,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1195.44867333,-1195.44867333,3.5
1_LPSC_H-O_combined.xyz,60,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1197.50562925,-1197.50562925,4.0
1_LPSC_H-O_combined.xyz,61,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1197.4430679,-1197.4430679,
2_LPSnSC_H-O_combined.xyz,0,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1169.61453253,-1169.65749732,0.0
2_LPSnSC_H-O_combined.xyz,1,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.60802887,-1216.60802887,0.5
2_LPSnSC_H-O_combined.xyz,2,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.78075189,-1215.78075189,5.0
2_LPSnSC_H-O_combined.xyz,3,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1212.0999226,-1212.0999226,4.5
2_LPSnSC_H-O_combined.xyz,4,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.30940317,-1216.30940317,20.0
2_LPSnSC_H-O_combined.xyz,5,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1214.6990353,-1214.6990353,30.0
2_LPSnSC_H-O_combined.xyz,6,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.66040831,-1216.66040831,40.0
2_LPSnSC_H-O_combined.xyz,7,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.34950294,-1216.34950294,50.0
2_LPSnSC_H-O_combined.xyz,8,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.58444854,-1216.58444854,60.0
2_LPSnSC_H-O_combined.xyz,9,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.89839808,-1216.89839808,70.0
2_LPSnSC_H-O_combined.xyz,10,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.58284907,-1215.58284907,80.0
