z_Angstrom,depth_from_surface_A,framework,P,S,Cl,Li,O,H,H_O,H_S,H_bridge,H_H2
1.003,-15.042,0,0,0,0,0,13,29,29,0,0,0
3.008,-13.036,3,0,0,0,3,14,27,27,0,0,0
5.014,-11.031,5,0,1,1,3,17,37,36,1,0,0
7.02,-9.025,6,0,1,1,4,18,33,30,2,0,0
9.025,-7.02,11,0,3,2,6,19,45,44,1,0,0
11.031,-5.014,8,0,1,2,5,29,60,57,3,0,0
13.036,-3.008,24,0,5,3,16,37,58,51,2,0,0
15.042,-1.003,25,1,9,1,14,37,71,70,0,0,0
17.048,1.003,100,17,37,6,40,4,14,14,0,0,0
19.053,3.008,87,0,38,8,41,2,8,4,4,0,0
21.059,5.014,81,0,40,3,38,0,0,0,0,0,0
23.064,7.02,113,18,43,9,43,0,0,0,0,0,0
25.07,9.025,75,0,15,9,51,0,0,0,0,0,0
27.075,11.031,106,18,41,9,38,0,0,0,0,0,0
29.081,13.036,89,0,42,6,41,0,0,0,0,0,0
31.087,15.042,85,0,39,4,42,0,0,0,0,0,0
33.092,17.048,110,18,45,8,39,0,0,0,0,0,0
35.098,19.053,82,0,22,9,51,0,0,0,0,0,0
37.103,17.048,104,18,32,9,45,0,0,0,0,0,0
39.109,15.042,87,0,42,9,36,0,0,0,0,0,0
41.115,13.036,87,1,43,1,42,0,0,0,0,0,0
43.12,11.031,105,17,41,8,39,0,0,0,0,0,0
45.126,9.025,88,0,26,9,53,0,0,0,0,0,0
47.131,7.02,98,18,32,9,39,0,0,0,0,0,0
49.137,5.014,92,0,41,8,43,0,4,4,0,0,0
51.143,3.008,84,1,38,6,39,5,6,5,1,0,0
53.148,1.003,86,16,36,3,31,10,35,33,2,0,0
55.154,-1.003,21,1,5,0,15,35,61,61,0,0,0
57.159,-3.008,4,0,1,1,2,26,44,44,0,0,0
59.165,-5.014,4,0,1,0,3,15,33,32,1,0,0
61.171,-7.02,2,0,0,0,2,9,17,17,0,0,0
63.176,-9.025,0,0,0,0,0,9,16,16,0,0,0
