z_Angstrom,depth_from_surface_A,framework,P,S,Cl,Li,O,H,H_O,H_S,H_bridge,H_H2
1.003,-13.036,1,0,0,0,1,7,21,21,0,0,0
3.008,-11.031,7,0,1,2,4,15,27,25,2,0,0
5.014,-9.025,4,0,0,0,4,19,34,34,0,0,0
7.02,-7.02,15,1,2,2,10,22,43,43,0,0,0
9.025,-5.014,13,0,5,3,5,16,41,37,4,0,0
11.031,-3.008,19,0,4,3,12,30,67,62,3,0,2
13.036,-1.003,28,1,3,2,22,38,60,59,1,0,0
15.042,1.003,48,0,33,1,14,30,54,53,1,0,0
17.048,3.008,94,17,33,6,38,6,17,14,3,0,0
19.053,5.014,78,0,21,9,48,4,8,7,1,0,0
21.059,7.02,98,11,44,6,37,1,3,2,1,0,0
23.064,9.025,90,7,38,4,41,0,0,0,0,0,0
25.07,11.031,91,0,42,8,41,0,0,0,0,0,0
27.075,13.036,97,18,28,9,42,0,0,0,0,0,0
29.081,15.042,83,0,28,9,46,0,0,0,0,0,0
31.087,17.048,110,17,44,8,41,0,0,0,0,0,0
33.092,19.053,83,1,37,3,42,0,0,0,0,0,0
35.098,19.053,97,0,44,7,46,0,0,0,0,0,0
37.103,17.048,96,18,32,9,37,0,0,0,0,0,0
39.109,15.042,80,0,23,9,48,0,0,0,0,0,0
41.115,13.036,118,18,45,9,46,0,0,0,0,0,0
43.12,11.031,80,0,38,2,40,0,0,0,0,0,0
45.126,9.025,88,0,43,7,38,0,1,0,1,0,0
47.131,7.02,103,18,32,9,44,0,1,0,1,0,0
49.137,5.014,72,0,21,9,42,4,11,10,1,0,0
51.143,3.008,85,9,36,6,34,10,17,13,4,0,0
53.148,1.003,62,6,32,2,22,21,45,43,2,0,0
55.154,-1.003,17,1,3,0,13,28,46,46,0,0,0
57.159,-3.008,4,0,3,0,1,19,45,43,2,0,0
59.165,-5.014,7,1,4,0,2,7,20,18,2,0,0
61.171,-7.02,2,0,1,0,1,6,17,16,1,0,0
63.176,-9.025,2,0,0,0,2,16,22,22,0,0,0
