z_Angstrom,depth_from_surface_A,framework,P,S,Cl,Li,Sn,O,H,H_O,H_S,H_bridge,H_H2
0.998,-12.975,0,0,0,0,0,0,2,4,3,1,0,0
2.994,-10.978,3,0,1,0,2,0,6,14,13,1,0,0
4.99,-8.982,1,0,1,0,0,0,7,21,18,1,0,2
6.986,-6.986,8,0,0,2,6,0,28,52,52,0,0,0
8.982,-4.99,12,0,2,3,7,0,34,70,67,3,0,0
10.978,-2.994,23,0,5,4,14,0,48,85,84,1,0,0
12.975,-0.998,23,0,2,1,20,0,35,68,65,3,0,0
14.971,0.998,80,12,36,3,29,0,14,30,29,1,0,0
16.967,2.994,93,6,43,6,38,0,1,3,3,0,0,0
18.963,4.99,87,2,32,8,45,0,0,0,0,0,0,0
20.959,6.986,93,7,24,9,44,9,0,0,0,0,0,0
22.955,8.982,94,0,40,8,46,0,0,0,0,0,0,0
24.951,10.978,82,0,39,2,41,0,0,0,0,0,0,0
26.947,12.975,107,18,43,8,38,0,0,0,0,0,0,0
28.943,14.971,84,0,19,9,56,0,0,0,0,0,0,0
30.939,16.967,108,9,37,9,44,9,0,0,0,0,0,0
32.935,18.963,82,0,38,6,38,0,0,0,0,0,0,0
34.931,18.963,89,0,42,3,44,0,0,0,0,0,0,0
36.928,16.967,98,18,36,9,35,0,0,0,0,0,0,0
38.924,14.971,84,0,19,9,56,0,0,0,0,0,0,0
40.92,12.975,107,8,42,8,40,9,0,0,0,0,0,0
42.916,10.978,83,1,40,1,41,0,0,0,0,0,0,0
44.912,8.982,94,0,41,9,44,0,0,0,0,0,0,0
46.908,6.986,95,18,24,9,44,0,1,2,2,0,0,0
48.904,4.99,79,0,31,9,39,0,1,2,2,0,0,0
50.9,2.994,81,7,36,6,32,0,6,14,12,2,0,0
52.896,0.998,70,2,29,1,31,7,14,37,35,2,0,0
54.892,-0.998,28,0,10,1,15,2,33,60,58,2,0,0
56.888,-2.994,12,0,6,1,5,0,31,59,57,2,0,0
58.885,-4.99,6,0,1,0,5,0,19,39,39,0,0,0
60.881,-6.986,1,0,0,0,1,0,12,24,24,0,0,0
62.877,-8.982,0,0,0,0,0,0,7,13,13,0,0,0
64.873,-10.978,0,0,0,0,0,0,0,3,3,0,0,0
