,model,phonon_softening,model,dataset
mp-1000,mace,0.8862097710411831,mace,MPtrj
mp-10009,mace,0.8914707543931358,mace,MPtrj
mp-10070,mace,0.9801242427536617,mace,MPtrj
mp-10074,mace,0.9632506266318778,mace,MPtrj
mp-10080,mace,0.9820832823816723,mace,MPtrj
mp-10096,mace,0.8920599655324682,mace,MPtrj
mp-10097,mace,0.8789383597342557,mace,MPtrj
mp-10103,mace,0.8508982654938527,mace,MPtrj
mp-10155,mace,0.8509362188157125,mace,MPtrj
mp-10159,mace,0.9513903046786828,mace,MPtrj
mp-10163,mace,0.8837230944411808,mace,MPtrj
mp-10165,mace,0.8429859991737182,mace,MPtrj
mp-10166,mace,0.9668179251952395,mace,MPtrj
mp-10167,mace,0.9737406082661806,mace,MPtrj
mp-10175,mace,1.013198181658609,mace,MPtrj
mp-10182,mace,0.9157962439152846,mace,MPtrj
mp-10191,mace,0.9754653368481546,mace,MPtrj
mp-10219,mace,1.0452993076753707,mace,MPtrj
mp-1022,mace,0.9041149230664066,mace,MPtrj
mp-10223,mace,0.9230574033298903,mace,MPtrj
mp-10226,mace,0.9539478361906247,mace,MPtrj
mp-10233,mace,0.9864939759259636,mace,MPtrj
mp-10234,mace,0.9908242206225412,mace,MPtrj
mp-10246,mace,0.9483474343623811,mace,MPtrj
mp-10250,mace,0.9835109796808954,mace,MPtrj
mp-10251,mace,0.9616061148375631,mace,MPtrj
mp-10281,mace,0.90786278151289,mace,MPtrj
mp-10288,mace,0.955899968711571,mace,MPtrj
mp-10289,mace,1.0305802574074125,mace,MPtrj
mp-1029,mace,0.9897881972910674,mace,MPtrj
mp-10299,mace,0.9933636911696143,mace,MPtrj
mp-10314,mace,0.9329929936944674,mace,MPtrj
mp-10322,mace,0.9030766304053658,mace,MPtrj
mp-10334,mace,0.9349062926796017,mace,MPtrj
mp-10336,mace,0.8416383547056623,mace,MPtrj
mp-10337,mace,0.8688129870421267,mace,MPtrj
mp-10340,mace,0.9951788168282398,mace,MPtrj
mp-10344,mace,0.989372023218394,mace,MPtrj
mp-10347,mace,1.00776253909355,mace,MPtrj
mp-10348,mace,0.9882069978224208,mace,MPtrj
mp-10349,mace,1.0079616948747037,mace,MPtrj
mp-10368,mace,0.855488669268092,mace,MPtrj
mp-10378,mace,0.877923658945244,mace,MPtrj
mp-10381,mace,1.0739317130704649,mace,MPtrj
mp-1039,mace,0.9029274563687457,mace,MPtrj
mp-10390,mace,0.9823686742035278,mace,MPtrj
mp-10392,mace,0.957677144567284,mace,MPtrj
mp-10401,mace,1.0026743301380296,mace,MPtrj
mp-10402,mace,1.0495804953101053,mace,MPtrj
mp-10408,mace,0.9646446191596153,mace,MPtrj
mp-10409,mace,0.9445875049980097,mace,MPtrj
mp-10410,mace,0.941564232107786,mace,MPtrj
mp-10417,mace,0.9733157041386572,mace,MPtrj
