source_id,path,top_level,extension,bytes,sha256,source_url,raw_url
fc-src-93a03d65-devcontainer-devcontainer-json,.devcontainer/devcontainer.json,.devcontainer,.json,753,1cbba9bbd125e5fb827ab861048c354769f617fd9566a92eaa85cec62bac3953,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.devcontainer/devcontainer.json,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.devcontainer/devcontainer.json
fc-src-93a03d65-devcontainer-postcreatecommand-sh,.devcontainer/postCreateCommand.sh,.devcontainer,.sh,288,b2b3f03a794d2b227e0038e913c6d4513b0d30370dfba2d8267d77d9ee51364d,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.devcontainer/postCreateCommand.sh,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.devcontainer/postCreateCommand.sh
fc-src-93a03d65-gitattributes,.gitattributes,.gitattributes,[none],32,09ebccbb98a6647ad96f308c9d9874438bd7e2ef178257b6960d707a461d598b,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.gitattributes,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.gitattributes
fc-src-93a03d65-github-issue-template-bug-report-yaml,.github/ISSUE_TEMPLATE/bug_report.yaml,.github,.yaml,2125,5eb00bea26b69faa1bc2ec0af0f06787f5da7ac85f57a5c87d1a5674dafefc17,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/ISSUE_TEMPLATE/bug_report.yaml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/ISSUE_TEMPLATE/bug_report.yaml
fc-src-93a03d65-github-issue-template-misc-yaml,.github/ISSUE_TEMPLATE/misc.yaml,.github,.yaml,274,ee535fabcbde3c1387c6d605c51941448dce5f1093e5686e299aa3b99501b54b,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/ISSUE_TEMPLATE/misc.yaml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/ISSUE_TEMPLATE/misc.yaml
fc-src-93a03d65-github-actions-multi-trigger-cleanup-action-yml,.github/actions/multi-trigger-cleanup/action.yml,.github,.yml,1315,8dc227675bb806221c73115e515c863f3acfc8e7803cfd5ce93d3c84ce2c9a9e,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/actions/multi-trigger-cleanup/action.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/actions/multi-trigger-cleanup/action.yml
fc-src-93a03d65-github-actions-multi-trigger-setup-action-yml,.github/actions/multi-trigger-setup/action.yml,.github,.yml,3514,a5eca7f5eda2a18988a342c23001651be56f949c76d3863fb6b9b6b5cd8ed0a1,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/actions/multi-trigger-setup/action.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/actions/multi-trigger-setup/action.yml
fc-src-93a03d65-github-dependabot-yml,.github/dependabot.yml,.github,.yml,796,af381c8e08006f2fcf819327f55d264b7d9314eaad2800b87ab22b023224ed98,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/dependabot.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/dependabot.yml
fc-src-93a03d65-github-release-drafter-applications-cattsunami-yml,.github/release-drafter-applications_cattsunami.yml,.github,.yml,900,04824f638a83207d3757ca4c398558f350e0312f2fd010c45ba9895ef311ac79,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-applications_cattsunami.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-applications_cattsunami.yml
fc-src-93a03d65-github-release-drafter-core-yml,.github/release-drafter-core.yml,.github,.yml,806,a1e90938bd2fd047673335bd01211a7079617c97e00fbab7c0505e7fe716fc43,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-core.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-core.yml
