No.,논문 제목,DOI,발행년도,전해질 조성,계산 tool,이온전도도,산화안정성,기계적 물성,비고
1,Synergistic effects of chlorine substitution in sulfide electrolyte solid state batteries,10.1016/j.ensm.2021.12.008,2022,LPSCl,AIMD,"0.43 mS/cm, 0.325 eV*",,,"VASP AIMD(NVT)+constrained-ensemble ESW. *AIMD σ는 snippet 미확인 — 본문 headline은 실험 5.05 mS/cm(0.17 eV)"
,,,,LPSCl1.5,AIMD,"14.55 mS/cm, 0.230 eV*",K_eff=0 ESW 1.70–2.40 V; Cl-rich는 K_eff>0서 더 넓어짐,,"*14.55는 너희 UMA-MLIP값(13.96)과 거의 동일 → Gil-González SI 직접확인 필요"
,,,,LPSCl2.0,AIMD,"1.69 mS/cm, 0.293 eV*",,,
2,Diffusion Mechanism of Li Argyrodite Solid Electrolytes and Prediction of Optimized Halogen Doping,10.1021/acs.chemmater.6b03630,2016,Li6PS5X (X=Cl/Br/I),AIMD (DFT-MD),"LPSCl Ea ~0.38 eV",,,"최적 Cl 1:3 분포(4a/4c) 예측 — 비단조 σ의 구조적 기원 (de Klerk/Wagemaker)"
3,Diffusion of lithium ions in Lithium-argyrodite solid-state electrolytes from equilibrium and nonequilibrium MD,10.1038/s41524-020-00432-1,2020,"LPSCl, Li5PS4Cl2",AIMD (EMD/NEMD),(σ값 미확인),,,"halogen/vacancy↑ → σ↑ (Cl2>Cl1, 단조 예측). Marcolongo/Ceriotti, npj Comput. Mater. 6,162"
4,Li3Y(PS4)2 and Li5PS4Cl2: New Lithium Superionic Conductors Predicted from Silver Thiophosphates,10.1021/acs.chemmater.6b04049,2017,Li5PS4Cl2,AIMD (tiered),"1.85 mS/cm, 0.304 eV",,,"예측 상(미합성). Mo/Ceder. 너희 Cl2.0 AIMD의 유일한 실제 계산 짝꿍"
5,Highly reliable and large-scale simulations of promising argyrodite solid electrolytes (MTP),(PII S2211285524001848),2024,LPSCl,MLIP (MTP-MD),~2.3 mS/cm,,,"σ 피크는 Cl이 4c의 25% 점유 시; 비-Arrhenius 거동"
6,Disorder-Dependent Li Diffusion in Li6PS5Cl,10.1021/acsami.4c08865,2024,LPSCl,MLIP-MD,(무질서 의존),,,"Cl/S 무질서 정도와 Li 확산 관계 (ACS AMI)"
7,When Electrolytes Are Semiconductors: A Feature Not a Bug for Solid-State Batteries,10.3390/batteries12020060,2026,LPSCl,DFT (PBE+HSE06)+SKP,,gap PBE 2.45 / HSE06 3.30 eV (direct),,"work function 3.40 eV; semiconductor=feature(터널링). ★너희 WF 3.40 출처. Braga 그룹"
,,,,LPSBr,DFT (PBE+HSE06),,gap PBE 2.32 / HSE06 3.34 eV,,
,,,,LGPS,DFT (PBE+HSE06),,gap PBE 2.13 / HSE06 3.22 eV (indirect),,work function 3.67 eV
8,Mechanical and Electronic Properties of Bulk and Surface Li6PS5Cl Argyrodite: First-Principles Insights on Li-Filament Resistance,10.1021/acs.chemmater.4c02577,2025,LPSCl,DFT_VASP,,표면 gap≈bulk; 전자 trap 없음,"E/G ~10–30 GPa; fracture energy (100) 0.20 J/m²","Li-filament 취약성=기계적(낮은 fracture E), 전자구조 narrowing 아님. ⚠E=22.1/B=28.7/G=8.1 triplet은 이 논문 아님(Torii)"
9,Effects of Grain Boundaries and Surfaces on Electronic and Mechanical Properties of Solid Electrolytes,10.1002/aenm.202304230,2024,LPSCl (+10종 SE),DFT (590 surf/GB),,GB가 gap내 'interfacial states' 생성→국소 e-/h+↑; 황화물은 산화물보다 둔감; 표면 HSE06 ~1.8 eV,GB 분리에너지 < bulk,"★전자전도도=interface 논리 핵심 근거. Canepa 그룹, arXiv:2312.05294"
10,First principles study of structural mechanical and optical properties of Li6PS5X (X=Cl I),10.1016/j.physb.2023.415220,2023,"LPSCl, Li6PS5I",DFT (TB-mBJ+PBEsol),,mBJ gap LPSCl 3.11 / Li6PS5I 2.81 eV (direct),Cij/B/G/E 보고(값 미확인),"n=2.23(Cl). Physica B vol 671. DOI suffix 미확정"
11,First-principles simulation insights of electronic and optical properties: Li6PS5Cl system,10.1039/D2RA05900B,2022,LPSCl,DFT (VASP+PBE),,direct gap at Γ; HSE ~3.4 eV 인용,,"open access (RSC Adv. 12,32674)"
12,The devil in the details: lessons from Li6PS5X for robust high-throughput workflows,10.1039/D4TA06603K,2025,Li6PS5X,DFT (VASP-PBE),,PBE gap 2.15 eV,,"high-throughput workflow; ★너희 eigenvalue 2.066/2.099와 가장 근접"
13,Tailoring argyrodite electrolyte for enhanced interface compatibility with lithium anode,10.1016/j.cej.2025.160455,2025,LPSCl,DFT_VASP_GGA?,"3.2 mS/cm, 0.34 eV",band gap 1.88 eV (?),,"⚠band gap 1.88 eV·DFT 여부 미확인 — snippet에 1.88 안 나옴(에이전트 검증중). 실험 EIS 위주일 가능성"
14,S-p and p-p orbital hybridization induced electronic structure reconfiguration toward manipulating redox behavior of Li-Argyrodite,10.1016/j.ensm.2025.104125,2025,LPSCl1.5 (도핑),DFT,,(에이전트 검증중),,"전자구조 재구성으로 redox 거동 조절 → Li 호환성. 값 검증중"
15,Elastic properties of alkali superionic conductor electrolytes from first principles calculations,10.1149/2.0061602jes,2016,LPSCl,DFT (SQS),,,"C11=39.9, C12=23.1, C44=7.8; E=22.1, B=28.7, G=8.1 GPa","thiophosphate 계열이 가장 연함. Deng/Ong. ★너희 relaxed-ion E 22.06과 일치"
16,First-Principles Investigation of Mechanical Properties and Anisotropy of Argyrodite Li6PS5Cl,10.1021/acs.jpcc.5c05116,2025,LPSCl,DFT-D3 (VASP/PBE-D3),,,"E=27.4, B=34.7, G=10.0; B/G=3.46(연성), A=1.09(등방)","Bader Li +0.87; shear 0.7%서 취성 파괴, {111} 취약. Torii. ★너희 modelc E 27.66과 일치"
17,Quantum-mechanical exploration of LPSCl polymorphs (pseudo-cubic vs monoclinic),10.1039/D2CP02814D,2022,LPSCl (다형),DFT/QHA,,,monoclinic > pseudo-cubic 강성(B0↑); B(T) 계산,"D'Amore. 구조 다형이 탄성에 미치는 영향"
18,Systematic structure sampling for Li+ distribution in LPSCl,(검증중),2025,LPSCl,DFT,,,Li 배열(24g vs 48h)이 E를 10–30 GPa 변화,"Pustorino. DOI/page 검증중(우리 결과 'Li 배열 민감' 근거)"
19,Clarifying the relationship between redox activity and electrochemical stability in solid electrolytes,10.1038/s41563-019-0576-0,2020,LPSCl,DFT grand-potential,,direct ESW 1.74–2.01 V; 간접 (de)lithiation으로 실효 ~2.5 V 확장,,"ox: S2-→S0 (S+Li3PS4+LiCl); red: P5+→P0 (P+Li2S+LiCl). Schwietert/Wagemaker. ★너희 OCV 1.72/ox 2.14와 일치"
20,Origin of Outstanding Stability in the Lithium Solid Electrolyte Materials (thermodynamic analyses),10.1021/acsami.5b07517,2015,LPSCl,DFT grand-potential,,ESW ~1.7–2.5 V (방법 원전),,"grand-potential phase-diagram 원조. Zhu/He/Mo"
21,High electronic conductivity as the origin of lithium dendrite formation within solid electrolytes,10.1038/s41560-018-0312-z,2019,"LLZO, Li3PS4, LiPON",실험 (operando NDP),,전자전도도 σ_e: LLZO ~1e-7–1e-8 S/cm,,"★전자전도→덴드라이트 핵심 인용. '이온전도 올리지말고 전자전도 낮춰라'. Han/Wang. (계산 아닌 실험이나 전자전도 narrative 필수)"
22,[This work] Stoichiometric argyrodite (comp1),—,2026,Li6PS5Cl,DFT(QE/USPP-PBE)+UMA-AIMD,"3.35 mS/cm, 0.253 eV (MLIP)",gap 2.066 eV(eigenvalue); ESW OCV 1.72 / ox 2.14 V,"E_relax 22.06 GPa; B0 26.2 GPa",비교 기준 (정렬·무질서 적은 끝)
23,[This work] Cl-rich argyrodite (modelC),—,2026,Li5.4PS4.4Cl1.6,DFT+UMA-AIMD,"13.96 mS/cm, 0.224 eV (MLIP)",gap 2.099 eV(eigenvalue); ESW OCV 1.72 / ox 2.14 V,"E_relax 27.66 GPa; B0 21.7 GPa",비교 기준 (무질서 큰 끝: Li 공공+4d-Cl anti-site)
24,[This work] Nd2O3-doped modelC,—,2026,Li4.8Nd0.2PS4.1O0.3Cl1.6,DFT+U(Nd 4f)+nspin2,—,gap 1.632 eV(eigenvalue); narrowing 0.55 vs matched U0(2.184),AFM 14.9→15.8 GPa,"Nd narrowing= host-band shift(O→PS3O on CBM). 전자전도도 감소는 SEI/phosphate 기인"
