dopant,preferred_site,source,garnet_wt_pct_pref,cubic_wt_pct_pref,cubic_wt_pct_alt_A,cubic_wt_pct_alt_B,sigma_ionic_S_cm,sigma_electronic_S_cm
B,Li,pixel readback (Fig 3/4),97.7,94.62,16.1,22.2,7.361e-06,2.917e-08
Al,Li,paper Table 1,98.61,98.61,18.2,51.2,6.040e-05,2.650e-08
Fe,Li,paper Table 1,98.07,98.07,43.7,52.6,1.190e-03,5.400e-08
Zn,Li,paper Table 1,99.01,98.27,30.0,40.4,2.420e-05,2.160e-08
Ga,Li,paper Table 1,98.57,98.43,33.6,38.7,1.160e-03,1.970e-08
Na,La,paper Table 1,95.19,68.43,19.6,31.5,4.810e-05,2.880e-08
K,La,pixel readback (Fig 3/4),94.05,44.39,32.9,24.7,2.338e-05,2.439e-08
Ca,La,paper Table 1,97.9,92.07,24.7,36.5,2.870e-05,2.310e-08
Rb,La,pixel readback (Fig 3/4),94.6,54.44,,26.5,2.976e-05,2.614e-08
Sr,La,pixel readback (Fig 3/4),96.83,94.26,,20.7,4.060e-05,2.384e-08
Y,La,pixel readback (Fig 3/4),94.76,94.26,25.0,32.2,,
Ag,La,pixel readback (Fig 3/4),95.4,60.18,31.5,25.7,2.019e-05,3.612e-08
Cs,La,paper Table 1,94.52,75.14,24.7,30.4,3.140e-05,2.620e-08
Ba,La,paper Table 1,92.32,30.7,14.3,21.4,1.360e-05,1.900e-08
Pr,La,pixel readback (Fig 3/4),96.43,42.24,27.2,35.8,5.213e-05,3.181e-08
Nd,La,paper Table 1,95.8,50.91,25.7,34.7,4.280e-06,2.960e-08
Sm,La,pixel readback (Fig 3/4),97.78,97.13,24.7,30.0,3.028e-05,3.632e-08
Gd,La,pixel readback (Fig 3/4),97.46,96.77,27.9,41.5,5.443e-05,3.181e-08
Tb,La,pixel readback (Fig 3/4),91.83,57.31,26.5,32.6,,
Dy,La,paper Table 1,93.83,93.83,30.0,37.9,3.270e-05,3.850e-08
Ho,La,pixel readback (Fig 3/4),93.17,56.95,,30.0,1.729e-05,2.540e-08
Er,La,pixel readback (Fig 3/4),93.73,73.09,40.8,35.4,,
Tm,La,pixel readback (Fig 3/4),96.27,96.05,,28.3,6.580e-06,3.509e-08
Yb,La,pixel readback (Fig 3/4),94.92,75.96,26.1,32.6,2.754e-05,3.370e-08
Lu,La,pixel readback (Fig 3/4),96.27,96.05,26.5,31.5,2.925e-05,3.181e-08
Bi,La,pixel readback (Fig 3/4),93.97,93.9,22.9,30.4,2.019e-05,3.612e-08
Mg,Zr,paper Table 1,95.84,95.84,21.1,26.5,2.370e-05,2.840e-08
Si,Zr,pixel readback (Fig 3/4),91.35,25.74,36.9,22.2,1.214e-05,1.860e-08
P,Zr,pixel readback (Fig 3/4),95.95,61.26,19.6,29.3,3.822e-06,2.384e-08
Sc,Zr,paper Table 1,97.69,62.86,1.7,22.2,2.460e-05,2.050e-08
Ti,Zr,paper Table 1,99.14,58.21,,26.8,1.190e-05,2.660e-08
V,Zr,pixel readback (Fig 3/4),97.46,97.13,,19.3,9.700e-06,2.569e-08
Cr,Zr,pixel readback (Fig 3/4),95.4,93.54,16.1,26.1,1.173e-05,5.077e-08
Mn,Zr,pixel readback (Fig 3/4),92.06,47.26,25.4,20.7,1.057e-05,3.199e-08
Co,Zr,paper Table 1,93.43,44.13,20.7,26.8,9.370e-05,1.200e-06
Ni,Zr,pixel readback (Fig 3/4),93.1,93.18,28.3,19.6,9.784e-05,2.867e-08
Cu,Zr,pixel readback (Fig 3/4),97.3,45.11,28.3,20.7,2.615e-05,1.145e-07
Ge,Zr,pixel readback (Fig 3/4),99.44,71.66,16.1,20.7,1.699e-06,2.934e-08
Se,Zr,pixel readback (Fig 3/4),93.65,72.02,19.6,11.7,5.634e-06,2.867e-08
Nb,Zr,pixel readback (Fig 3/4),99.29,94.26,18.6,32.2,4.202e-05,4.904e-08
Mo,Zr,pixel readback (Fig 3/4),,51.93,66.6,76.0,,
Ru,Zr,paper Table 1,97.64,97.64,62.0,66.3,6.260e-05,2.090e-07
Rh,Zr,pixel readback (Fig 3/4),,55.87,28.3,20.7,2.754e-06,5.731e-08
Pd,Zr,pixel readback (Fig 3/4),,26.82,,35.8,1.067e-06,5.225e-08
Cd,Zr,pixel readback (Fig 3/4),100.0,90.31,37.9,50.5,2.298e-05,4.053e-08
In,Zr,paper Table 1,97.56,41.51,21.8,26.8,2.580e-05,2.000e-08
Sn,Zr,pixel readback (Fig 3/4),98.49,82.78,33.6,40.1,9.453e-05,4.764e-08
Te,Zr,pixel readback (Fig 3/4),,4.93,,0.6,,
Ce,Zr,pixel readback (Fig 3/4),98.57,94.62,37.9,31.5,3.217e-05,2.569e-08
Eu,Zr,pixel readback (Fig 3/4),88.65,83.5,32.9,46.9,5.882e-06,2.569e-08
Hf,Zr,paper Table 1,97.71,74.36,32.6,27.9,4.900e-05,4.510e-08
Ta,Zr,pixel readback (Fig 3/4),94.52,70.94,54.1,49.1,2.441e-04,2.173e-08
W,Zr,paper Table 1,100.0,99.38,32.2,79.6,2.730e-04,3.080e-08
Re,Zr,pixel readback (Fig 3/4),100.0,96.41,31.5,36.9,8.306e-06,4.053e-08
Ir,Zr,pixel readback (Fig 3/4),100.0,59.46,39.7,47.3,9.534e-06,1.075e-07
Pt,Zr,pixel readback (Fig 3/4),100.0,35.07,13.2,16.8,1.480e-06,6.658e-08
Au,Zr,pixel readback (Fig 3/4),85.08,48.7,18.2,38.7,3.661e-05,4.549e-08
Tl,Zr,pixel readback (Fig 3/4),95.48,75.96,23.2,27.9,2.019e-05,2.917e-08
Pb,Zr,pixel readback (Fig 3/4),97.22,96.77,26.5,33.3,2.019e-05,2.867e-08
