E_minus_VBM,total_DOS
-8.0000,18.0624
-7.9800,19.0241
-7.9600,20.7298
-7.9400,22.8336
-7.9200,24.9856
-7.9000,26.9271
-7.8800,28.5214
-7.8600,29.7308
-7.8400,30.5710
-7.8200,31.0710
-7.8000,31.2505
-7.7800,31.1155
-7.7600,30.6651
-7.7400,29.9024
-7.7200,28.8433
-7.7000,27.5179
-7.6800,25.9642
-7.6600,24.2219
-7.6400,22.3289
-7.6200,20.3227
-7.6000,18.2442
-7.5800,16.1406
-7.5600,14.0652
-7.5400,12.0711
-7.5200,10.2043
-7.5000,8.4969
-7.4800,6.9658
-7.4600,5.6151
-7.4400,4.4424
-7.4200,3.4429
-7.4000,2.6112
-7.3800,1.9386
-7.3600,1.4112
-7.3400,1.0093
-7.3200,0.7099
-7.3000,0.4904
-7.2800,0.3316
-7.2600,0.2186
-7.2400,0.1400
-7.2200,0.0872
-7.2000,0.0529
-7.1800,0.0315
-7.1600,0.0184
-7.1400,0.0105
-7.1200,0.0059
-7.1000,0.0032
-7.0800,0.0016
-7.0600,0.0008
-7.0400,0.0004
-7.0200,0.0002
-7.0000,0.0001
-6.9800,0.0000
-6.9600,0.0000
-6.9400,0.0000
-6.9200,0.0000
-6.9000,0.0000
-6.8800,0.0000
-6.8600,0.0000
-6.8400,0.0000
-6.8200,0.0000
-6.8000,0.0000
-6.7800,0.0000
-6.7600,0.0000
-6.7400,0.0000
-6.7200,0.0000
-6.7000,0.0000
-6.6800,0.0000
-6.6600,0.0000
-6.6400,0.0000
-6.6200,0.0001
-6.6000,0.0001
-6.5800,0.0002
-6.5600,0.0003
-6.5400,0.0005
-6.5200,0.0007
-6.5000,0.0010
-6.4800,0.0013
-6.4600,0.0016
-6.4400,0.0021
-6.4200,0.0029
-6.4000,0.0040
-6.3800,0.0060
-6.3600,0.0092
-6.3400,0.0141
-6.3200,0.0214
-6.3000,0.0321
-6.2800,0.0471
-6.2600,0.0680
-6.2400,0.0966
-6.2200,0.1349
-6.2000,0.1848
-6.1800,0.2479
-6.1600,0.3250
-6.1400,0.4169
-6.1200,0.5243
-6.1000,0.6478
-6.0800,0.7879
-6.0600,0.9449
-6.0400,1.1184
-6.0200,1.3074
-6.0000,1.5108
-5.9800,1.7281
-5.9600,1.9592
-5.9400,2.2057
-5.9200,2.4704
-5.9000,2.7581
-5.8800,3.0755
-5.8600,3.4301
-5.8400,3.8304
-5.8200,4.2843
-5.8000,4.7999
-5.7800,5.3861
-5.7600,6.0529
-5.7400,6.8103
-5.7200,7.6652
-5.7000,8.6173
-5.6800,9.6567
-5.6600,10.7639
-5.6400,11.9125
-5.6200,13.0744
-5.6000,14.2237
-5.5800,15.3398
-5.5600,16.4063
-5.5400,17.4103
-5.5200,18.3404
-5.5000,19.1869
