"# b2o3 element PDOS normalized. _perTOT = /total atoms (128); _perEL = /count of that element {'Li': 58, 'P': 8, 'S': 41, 'Cl': 16, 'B': 2, 'O': 3}"
E_minus_VBM,Li_perTOT,P_perTOT,S_perTOT,Cl_perTOT,B_perTOT,O_perTOT,Li_perEL,P_perEL,S_perEL,Cl_perEL,B_perEL,O_perEL
-8.0000,0.01482,0.03329,0.08049,0.00022,0.00000,0.01176,0.03271,0.53259,0.25130,0.00176,0.00030,0.50173
-7.9800,0.01555,0.03505,0.08465,0.00023,0.00001,0.01259,0.03431,0.56086,0.26427,0.00183,0.00035,0.53717
-7.9600,0.01681,0.03819,0.09199,0.00024,0.00001,0.01410,0.03711,0.61099,0.28720,0.00196,0.00040,0.60163
-7.9400,0.01835,0.04205,0.10100,0.00026,0.00001,0.01605,0.04050,0.67276,0.31533,0.00211,0.00045,0.68460
-7.9200,0.01988,0.04599,0.11014,0.00028,0.00001,0.01816,0.04387,0.73590,0.34386,0.00225,0.00055,0.77493
-7.9000,0.02120,0.04955,0.11828,0.00029,0.00001,0.02024,0.04679,0.79279,0.36927,0.00236,0.00060,0.86353
-7.8800,0.02221,0.05246,0.12485,0.00030,0.00001,0.02213,0.04902,0.83942,0.38979,0.00243,0.00070,0.94440
-7.8600,0.02290,0.05467,0.12972,0.00031,0.00001,0.02377,0.05055,0.87474,0.40499,0.00245,0.00080,1.01423
-7.8400,0.02330,0.05620,0.13300,0.00031,0.00001,0.02510,0.05142,0.89924,0.41522,0.00244,0.00090,1.07113
-7.8200,0.02343,0.05711,0.13485,0.00030,0.00002,0.02610,0.05171,0.91382,0.42100,0.00241,0.00100,1.11350
-7.8000,0.02333,0.05745,0.13541,0.00029,0.00002,0.02671,0.05149,0.91917,0.42273,0.00234,0.00110,1.13947
-7.7800,0.02301,0.05722,0.13473,0.00028,0.00002,0.02688,0.05079,0.91553,0.42062,0.00226,0.00120,1.14693
-7.7600,0.02249,0.05643,0.13285,0.00027,0.00002,0.02658,0.04963,0.90289,0.41475,0.00217,0.00130,1.13417
-7.7400,0.02176,0.05509,0.12978,0.00026,0.00002,0.02580,0.04802,0.88136,0.40517,0.00206,0.00140,1.10073
-7.7200,0.02084,0.05321,0.12558,0.00024,0.00002,0.02456,0.04599,0.85140,0.39205,0.00194,0.00145,1.04790
-7.7000,0.01976,0.05086,0.12033,0.00023,0.00002,0.02294,0.04360,0.81378,0.37567,0.00181,0.00155,0.97873
-7.6800,0.01853,0.04809,0.11415,0.00021,0.00003,0.02103,0.04090,0.76949,0.35636,0.00167,0.00160,0.89747
-7.6600,0.01720,0.04497,0.10714,0.00019,0.00003,0.01895,0.03796,0.71956,0.33449,0.00153,0.00160,0.80850
-7.6400,0.01579,0.04156,0.09942,0.00017,0.00003,0.01678,0.03484,0.66500,0.31039,0.00138,0.00160,0.71590
-7.6200,0.01431,0.03793,0.09112,0.00015,0.00003,0.01460,0.03158,0.60684,0.28446,0.00124,0.00160,0.62293
-7.6000,0.01280,0.03414,0.08238,0.00014,0.00002,0.01247,0.02825,0.54624,0.25720,0.00110,0.00155,0.53217
-7.5800,0.01129,0.03029,0.07342,0.00012,0.00002,0.01044,0.02492,0.48457,0.22922,0.00096,0.00150,0.44563
-7.5600,0.00982,0.02647,0.06447,0.00010,0.00002,0.00856,0.02167,0.42346,0.20126,0.00083,0.00140,0.36533
-7.5400,0.00841,0.02278,0.05576,0.00009,0.00002,0.00687,0.01856,0.36447,0.17408,0.00071,0.00130,0.29293
-7.5200,0.00710,0.01931,0.04751,0.00007,0.00002,0.00539,0.01566,0.30901,0.14832,0.00059,0.00115,0.22977
-7.5000,0.00590,0.01613,0.03987,0.00006,0.00002,0.00414,0.01302,0.25805,0.12446,0.00049,0.00105,0.17657
-7.4800,0.00483,0.01326,0.03292,0.00005,0.00001,0.00312,0.01066,0.21213,0.10279,0.00041,0.00090,0.13313
