E_minus_VBM,Li,P,S,Cl,B,O
-8.0000,1.8973,4.2607,10.3032,0.0281,0.0006,1.5052
-7.9800,1.9898,4.4869,10.8350,0.0293,0.0007,1.6115
-7.9600,2.1522,4.8879,11.7753,0.0313,0.0008,1.8049
-7.9400,2.3490,5.3821,12.9285,0.0337,0.0009,2.0538
-7.9200,2.5446,5.8872,14.0981,0.0360,0.0011,2.3248
-7.9000,2.7136,6.3423,15.1401,0.0377,0.0012,2.5906
-7.8800,2.8433,6.7154,15.9813,0.0388,0.0014,2.8332
-7.8600,2.9318,6.9979,16.6046,0.0392,0.0016,3.0427
-7.8400,2.9823,7.1939,17.0240,0.0391,0.0018,3.2134
-7.8200,2.9993,7.3106,17.2610,0.0385,0.0020,3.3405
-7.8000,2.9866,7.3534,17.3321,0.0375,0.0022,3.4184
-7.7800,2.9459,7.3242,17.2456,0.0362,0.0024,3.4408
-7.7600,2.8784,7.2231,17.0046,0.0347,0.0026,3.4025
-7.7400,2.7850,7.0509,16.6118,0.0329,0.0028,3.3022
-7.7200,2.6675,6.8112,16.0739,0.0310,0.0029,3.1437
-7.7000,2.5288,6.5102,15.4023,0.0289,0.0031,2.9362
-7.6800,2.3724,6.1559,14.6109,0.0267,0.0032,2.6924
-7.6600,2.2018,5.7565,13.7141,0.0244,0.0032,2.4255
-7.6400,2.0205,5.3200,12.7261,0.0221,0.0032,2.1477
-7.6200,1.8316,4.8547,11.6630,0.0198,0.0032,1.8688
-7.6000,1.6387,4.3699,10.5451,0.0176,0.0031,1.5965
-7.5800,1.4456,3.8766,9.3979,0.0154,0.0030,1.3369
-7.5600,1.2568,3.3877,8.2518,0.0133,0.0028,1.0960
-7.5400,1.0764,2.9158,7.1372,0.0113,0.0026,0.8788
-7.5200,0.9084,2.4721,6.0811,0.0095,0.0023,0.6893
-7.5000,0.7553,2.0644,5.1030,0.0079,0.0021,0.5297
-7.4800,0.6185,1.6970,4.2143,0.0065,0.0018,0.3994
-7.4600,0.4980,1.3714,3.4200,0.0052,0.0016,0.2960
-7.4400,0.3937,1.0874,2.7222,0.0041,0.0013,0.2156
-7.4200,0.3049,0.8445,2.1213,0.0032,0.0011,0.1540
-7.4000,0.2311,0.6417,1.6171,0.0024,0.0008,0.1075
-7.3800,0.1715,0.4773,1.2066,0.0018,0.0006,0.0731
-7.3600,0.1248,0.3482,0.8829,0.0013,0.0005,0.0484
-7.3400,0.0893,0.2498,0.6352,0.0010,0.0004,0.0313
-7.3200,0.0630,0.1764,0.4500,0.0007,0.0003,0.0198
-7.3000,0.0438,0.1228,0.3141,0.0005,0.0002,0.0123
-7.2800,0.0300,0.0843,0.2163,0.0004,0.0001,0.0076
-7.2600,0.0204,0.0573,0.1474,0.0003,0.0001,0.0046
-7.2400,0.0138,0.0390,0.1007,0.0002,0.0001,0.0028
-7.2200,0.0096,0.0272,0.0704,0.0001,0.0001,0.0016
-7.2000,0.0071,0.0200,0.0520,0.0001,0.0001,0.0010
-7.1800,0.0056,0.0159,0.0414,0.0001,0.0001,0.0007
-7.1600,0.0048,0.0136,0.0357,0.0001,0.0001,0.0005
-7.1400,0.0044,0.0124,0.0326,0.0001,0.0001,0.0004
-7.1200,0.0042,0.0117,0.0309,0.0001,0.0001,0.0004
-7.1000,0.0040,0.0113,0.0298,0.0001,0.0001,0.0003
-7.0800,0.0039,0.0109,0.0290,0.0001,0.0002,0.0003
-7.0600,0.0038,0.0106,0.0283,0.0001,0.0002,0.0003
-7.0400,0.0037,0.0104,0.0276,0.0001,0.0002,0.0003
-7.0200,0.0037,0.0101,0.0269,0.0001,0.0002,0.0003
-7.0000,0.0036,0.0098,0.0262,0.0001,0.0002,0.0003
-6.9800,0.0035,0.0095,0.0255,0.0001,0.0002,0.0003
-6.9600,0.0034,0.0092,0.0248,0.0001,0.0003,0.0003
-6.9400,0.0033,0.0089,0.0241,0.0001,0.0003,0.0003
-6.9200,0.0032,0.0086,0.0234,0.0001,0.0003,0.0003
-6.9000,0.0031,0.0084,0.0227,0.0001,0.0003,0.0002
-6.8800,0.0030,0.0081,0.0220,0.0001,0.0003,0.0002
-6.8600,0.0029,0.0078,0.0214,0.0001,0.0003,0.0002
-6.8400,0.0029,0.0075,0.0207,0.0001,0.0004,0.0002
-6.8200,0.0028,0.0072,0.0200,0.0001,0.0004,0.0002
-6.8000,0.0027,0.0069,0.0193,0.0001,0.0004,0.0002
-6.7800,0.0026,0.0066,0.0186,0.0000,0.0004,0.0002
-6.7600,0.0025,0.0064,0.0179,0.0000,0.0004,0.0002
-6.7400,0.0024,0.0061,0.0172,0.0000,0.0004,0.0002
-6.7200,0.0023,0.0058,0.0165,0.0000,0.0005,0.0002
-6.7000,0.0022,0.0055,0.0158,0.0000,0.0005,0.0002
-6.6800,0.0021,0.0052,0.0151,0.0000,0.0005,0.0002
-6.6600,0.0020,0.0049,0.0144,0.0000,0.0005,0.0001
-6.6400,0.0020,0.0046,0.0137,0.0000,0.0005,0.0001
-6.6200,0.0019,0.0044,0.0131,0.0000,0.0005,0.0001
-6.6000,0.0018,0.0041,0.0124,0.0000,0.0006,0.0001
-6.5800,0.0017,0.0038,0.0117,0.0000,0.0006,0.0001
-6.5600,0.0016,0.0035,0.0110,0.0000,0.0006,0.0001
-6.5400,0.0015,0.0032,0.0103,0.0000,0.0006,0.0001
-6.5200,0.0014,0.0029,0.0096,0.0000,0.0006,0.0001
-6.5000,0.0013,0.0026,0.0089,0.0000,0.0006,0.0001
-6.4800,0.0012,0.0024,0.0082,0.0000,0.0007,0.0001
-6.4600,0.0012,0.0021,0.0076,0.0000,0.0007,0.0001
-6.4400,0.0011,0.0018,0.0070,0.0000,0.0008,0.0001
-6.4200,0.0011,0.0015,0.0067,0.0000,0.0009,0.0000
-6.4000,0.0011,0.0012,0.0066,0.0000,0.0010,0.0000
-6.3800,0.0012,0.0010,0.0071,0.0000,0.0014,0.0000
-6.3600,0.0015,0.0008,0.0084,0.0001,0.0020,0.0000
-6.3400,0.0021,0.0006,0.0110,0.0001,0.0029,0.0000
-6.3200,0.0029,0.0004,0.0153,0.0002,0.0043,0.0000
-6.3000,0.0042,0.0002,0.0219,0.0003,0.0064,0.0000
-6.2800,0.0061,0.0002,0.0314,0.0005,0.0094,0.0000
-6.2600,0.0087,0.0001,0.0450,0.0007,0.0135,0.0000
-6.2400,0.0122,0.0001,0.0637,0.0011,0.0192,0.0000
