freq_cm-1,phonon_DOS
-20.000,0.011
-19.000,0.015
-18.000,0.018
-17.000,0.023
-16.000,0.028
-15.000,0.034
-14.000,0.041
-13.000,0.049
-12.000,0.057
-11.000,0.066
-10.000,0.076
-9.000,0.086
-8.000,0.097
-7.000,0.108
-6.000,0.119
-5.000,0.130
-4.000,0.140
-3.000,0.151
-2.000,0.161
-1.000,0.170
0.000,0.179
1.000,0.188
2.000,0.196
3.000,0.204
4.000,0.211
5.000,0.218
6.000,0.226
7.000,0.233
8.000,0.240
9.000,0.248
10.000,0.255
11.000,0.263
12.000,0.272
13.000,0.280
14.000,0.289
15.000,0.297
16.000,0.306
17.000,0.315
18.000,0.325
19.000,0.334
20.000,0.343
21.000,0.352
22.000,0.361
23.000,0.369
24.000,0.377
25.000,0.385
26.000,0.393
27.000,0.399
28.000,0.406
29.000,0.411
30.000,0.417
31.000,0.421
32.000,0.426
33.000,0.430
34.000,0.434
35.000,0.439
36.000,0.444
37.000,0.449
38.000,0.455
39.000,0.462
40.000,0.469
41.000,0.477
42.000,0.486
43.000,0.496
44.000,0.506
45.000,0.516
46.000,0.526
47.000,0.535
48.000,0.545
49.000,0.553
50.000,0.561
51.000,0.567
52.000,0.573
53.000,0.577
54.000,0.581
55.000,0.584
56.000,0.586
57.000,0.588
58.000,0.590
59.000,0.593
60.000,0.596
61.000,0.600
62.000,0.605
63.000,0.612
64.000,0.620
65.000,0.630
66.000,0.642
67.000,0.655
68.000,0.671
69.000,0.687
70.000,0.705
71.000,0.723
72.000,0.742
73.000,0.761
74.000,0.781
75.000,0.799
76.000,0.817
77.000,0.834
78.000,0.850
79.000,0.865
80.000,0.878
81.000,0.889
82.000,0.899
83.000,0.907
84.000,0.915
85.000,0.921
86.000,0.926
87.000,0.930
88.000,0.934
89.000,0.938
90.000,0.941
91.000,0.945
92.000,0.948
93.000,0.952
94.000,0.956
95.000,0.961
96.000,0.965
97.000,0.969
98.000,0.974
99.000,0.977
100.000,0.981
101.000,0.984
102.000,0.987
103.000,0.989
104.000,0.991
105.000,0.994
106.000,0.996
107.000,0.999
108.000,1.002
109.000,1.007
110.000,1.012
111.000,1.019
112.000,1.028
113.000,1.037
114.000,1.049
115.000,1.061
116.000,1.074
117.000,1.089
118.000,1.104
119.000,1.119
120.000,1.134
121.000,1.149
122.000,1.164
123.000,1.178
124.000,1.191
125.000,1.203
126.000,1.214
127.000,1.224
128.000,1.232
129.000,1.240
130.000,1.246
131.000,1.252
132.000,1.255
133.000,1.258
134.000,1.259
135.000,1.258
136.000,1.256
137.000,1.251
138.000,1.244
139.000,1.235
140.000,1.224
141.000,1.209
142.000,1.193
143.000,1.173
144.000,1.152
145.000,1.128
146.000,1.102
147.000,1.074
148.000,1.045
149.000,1.015
150.000,0.984
151.000,0.954
152.000,0.924
153.000,0.895
154.000,0.868
155.000,0.842
156.000,0.819
157.000,0.799
158.000,0.781
159.000,0.767
160.000,0.756
161.000,0.748
162.000,0.744
163.000,0.743
164.000,0.744
165.000,0.749
166.000,0.755
167.000,0.764
168.000,0.773
169.000,0.784
170.000,0.795
171.000,0.806
172.000,0.817
173.000,0.827
174.000,0.836
175.000,0.844
176.000,0.850
177.000,0.855
178.000,0.858
179.000,0.860
180.000,0.861
181.000,0.860
182.000,0.858
183.000,0.855
184.000,0.852
185.000,0.848
186.000,0.844
187.000,0.840
188.000,0.836
189.000,0.831
190.000,0.827
191.000,0.822
192.000,0.818
193.000,0.813
194.000,0.808
195.000,0.803
196.000,0.797
197.000,0.791
198.000,0.785
199.000,0.779
200.000,0.772
201.000,0.765
202.000,0.758
203.000,0.752
204.000,0.745
205.000,0.740
206.000,0.735
207.000,0.731
208.000,0.728
209.000,0.726
210.000,0.726
211.000,0.727
212.000,0.729
213.000,0.734
214.000,0.740
215.000,0.747
216.000,0.756
217.000,0.766
218.000,0.777
219.000,0.789
220.000,0.802
221.000,0.814
222.000,0.827
223.000,0.840
224.000,0.852
225.000,0.863
226.000,0.873
227.000,0.882
228.000,0.889
229.000,0.895
230.000,0.898
231.000,0.900
232.000,0.901
233.000,0.899
234.000,0.896
235.000,0.892
236.000,0.887
237.000,0.881
238.000,0.874
239.000,0.868
240.000,0.861
241.000,0.855
242.000,0.849
243.000,0.845
244.000,0.841
245.000,0.840
246.000,0.840
247.000,0.841
248.000,0.845
249.000,0.850
250.000,0.858
251.000,0.867
252.000,0.878
253.000,0.891
254.000,0.906
255.000,0.921
256.000,0.937
257.000,0.955
258.000,0.972
259.000,0.989
260.000,1.006
261.000,1.022
262.000,1.037
263.000,1.050
264.000,1.062
265.000,1.072
266.000,1.080
267.000,1.085
268.000,1.089
269.000,1.090
270.000,1.089
271.000,1.086
