# PROVENANCE (2026-08-06): B2O3@LPSCl1.6, 600 K MLIP-MD, **4 SEEDS SUMMED**
#   /data/work/b2o3md/b2o3_full/d0.00_cfg0/T600 + runs/b2o3_600_reseed/s2,s3,s4 (gabia),
#   1900 frames each, 58 Li / 128 atoms, V 2436.3 A^3. Density integral 232.0 = 58 Li x 4 seeds.
#   Densities are ensemble-averageable (unlike MSD), so summing seeds only improves statistics.
# BETA GATE: b2o3 600 K passed (beta 0.81, 3-seed) - this is a gate-passing system/temperature.
# NOMENCLATURE: PMF = potential of mean force; dF_perc = percolation free energy (paired with
#   the bond-valence dE_perc); segment values are free-energy barriers dF. A bare "F" is avoided
#   (F = force in MD literature).
# TWO DEFINITIONS: first-spanning dF_perc = 0.0481 eV (thin filament, NOT adopted) vs
#   TRANSITION (largest-cluster steepest rise) dF_perc = 0.1607 eV (ADOPTED).
# KEY CONTRAST: bond-valence ranks b2o3 WORST of the four (dE_perc 0.281 eV, highest) while the
#   MD free-energy landscape ranks it BEST (dF_perc 0.161 eV, lower than LPSCl1.6's 0.173).
#   Gap dE-dF = +120 meV, twice LPSCl1.6's +56 meV. Channel at threshold: BV 0.76 vol% vs
#   PMF 61.5 vol%. This is the "locality" failure mode of the static proxy (kb/concepts/bvse.md
#   sec 9) seen directly: the open volume the dopant creates is invisible to the empty-lattice map.
# dF_perc is a FREE ENERGY AT 600 K, not Ea (MD Ea = 0.199 +- 0.034 eV).
# Potential-of-mean-force (PMF) percolation-path profile - B2O3@LPSCl1.6, T = 600 K, dF_perc = 0.1607 eV, axis [010].
# F(r) = -kB*T*ln(rho/rho_max) from the time-averaged Li density (4 trajectory/ies summed).
# Same conventions as the BV figures (26-connectivity percolation, min-energy-line-integral path, PBC-unwrapped mesh metric).
# WARNING: dF_perc is a FREE ENERGY AT THIS TEMPERATURE, not Ea. Sampling-limited if the trajectory is short - use only for beta-gate-passing systems.
d_A,dF_eV
0.000,-0.0000
0.206,0.0032
0.411,0.0118
0.617,0.0257
0.822,0.0448
1.028,0.0685
1.233,0.0946
1.439,0.1175
1.644,0.1306
1.850,0.1344
2.055,0.1320
2.261,0.1223
2.467,0.1037
2.672,0.0798
2.878,0.0564
3.083,0.0366
3.289,0.0217
3.495,0.0122
3.700,0.0077
3.906,0.0062
4.112,0.0052
4.318,0.0049
4.523,0.0080
4.810,0.0186
5.016,0.0307
5.221,0.0461
5.427,0.0634
5.632,0.0785
5.838,0.0845
6.044,0.0779
6.249,0.0634
6.455,0.0474
6.660,0.0328
6.866,0.0207
7.071,0.0121
7.359,0.0043
7.564,0.0022
7.769,0.0006
7.975,-0.0000
