"# BV-EL (bvlain, Morse softBV, eV aboveMin) percolation-path profile: per-axis percolation threshold (26-connectivity, bvlain convention), then min-energy-line-integral path under that ceiling."
"# EMPTY-LATTICE PROXY: absolute scale plausible, family sigma/Ea ranking is decided by MD (kb/concepts/bvse.md sec 8-9)."
"# 2026-08-05 FIX(2): reaction coordinate is PBC-unwrapped AND uses the bvlain mesh metric (endpoint-inclusive grid: spacing cell/(N-1); boundary/seam-crossing steps are 0 A - same physical plane). Pre-fix fake plateaus: comp1 2x9.80 A = 42% of plotted length, lpsocl 2x6.68 A = 58% (jump = |lattice vector| x (N-1)/N, independently verified). E_perc / E values / rankings unchanged by both fixes."
"# comp1: axis [011], E_perc 0.1948 eV; bvlain E_1D/2D/3D 0.195/0.264/0.273 eV; MD Ea 0.253 eV"
"# modelc: axis [010], E_perc 0.2283 eV; bvlain E_1D/2D/3D 0.234/0.244/0.478 eV; MD Ea 0.197±0.032 eV"
"# lpsocl: axis [100], E_perc 0.2231 eV; bvlain E_1D/2D/3D 0.225/0.244/0.566 eV; MD Ea 0.287±0.024 eV"
"# b2o3: axis [100], E_perc 0.2811 eV; bvlain E_1D/2D/3D 0.283/0.322/0.908 eV; MD Ea 0.199±0.034 eV"
comp1_d_A,comp1_E_eV,modelc_d_A,modelc_E_eV,lpsocl_d_A,lpsocl_E_eV,b2o3_d_A,b2o3_E_eV
0.000,0.0000,0.000,0.0285,0.000,0.0000,0.000,0.0000
0.000,0.0000,0.260,0.0381,0.267,0.0269,0.269,0.0319
0.258,0.0617,0.515,0.1093,0.635,0.1391,0.637,0.1287
0.704,0.1292,0.771,0.1867,0.902,0.2112,0.906,0.1959
1.069,0.1429,1.027,0.2256,1.169,0.2218,1.175,0.2319
1.434,0.1532,1.283,0.2089,1.169,0.2218,1.444,0.2263
1.798,0.1654,1.539,0.1508,1.537,0.1247,1.895,0.1081
2.056,0.1780,1.795,0.0859,1.804,0.0798,2.276,0.1241
2.421,0.1501,2.051,0.0542,2.072,0.1207,2.545,0.1486
2.678,0.1131,2.310,0.0998,2.451,0.1876,2.814,0.1824
3.043,0.1549,2.570,0.1602,2.451,0.1876,3.082,0.1989
3.408,0.1769,2.829,0.2049,2.830,0.1690,3.351,0.1831
3.772,0.1264,3.089,0.2180,3.097,0.1139,3.619,0.1379
4.137,0.0449,3.348,0.1979,3.364,0.0230,4.085,0.0892
4.395,0.0523,3.608,0.1569,3.632,0.0176,4.466,0.1745
4.759,0.0972,3.867,0.1146,3.885,0.0678,4.736,0.2360
5.124,0.1608,4.229,0.0770,4.138,0.1443,5.117,0.2411
5.489,0.1820,4.485,0.1312,4.391,0.2052,5.386,0.2245
5.853,0.1550,4.741,0.1913,4.644,0.2196,5.655,0.2234
6.218,0.1180,4.997,0.2220,4.897,0.1801,5.924,0.2260
6.582,0.1012,5.253,0.2022,5.150,0.1070,6.375,0.2547
6.947,0.1054,5.508,0.1385,5.403,0.0402,6.825,0.1506
7.205,0.1494,5.764,0.0661,5.670,0.0486,6.825,0.1506
7.651,0.1243,6.131,0.1211,6.037,0.0782,7.094,0.1157
8.016,0.1295,6.387,0.1621,6.305,0.1055,7.363,0.1848
8.381,0.1364,6.754,0.2178,6.572,0.1277,7.632,0.2517
8.639,0.1271,7.010,0.2046,6.839,0.1377,7.900,0.2758
9.003,0.0667,7.266,0.1990,7.302,0.1220,8.169,0.2462
9.261,0.0509,7.522,0.2087,7.569,0.0671,8.437,0.1821
9.626,0.1359,7.774,0.2246,7.948,0.0496,8.706,0.1207
9.990,0.1762,8.030,0.1809,8.210,0.1084,9.074,0.2037
10.437,0.1655,8.282,0.1519,8.472,0.1802,9.326,0.2283
10.801,0.1157,8.538,0.0788,8.734,0.2225,9.577,0.2617
11.248,0.1648,8.794,0.1178,8.995,0.2070,9.838,0.2754
11.506,0.1935,9.161,0.1691,9.257,0.1361,10.090,0.2382
11.952,0.1930,9.420,0.2066,9.519,0.0465,10.341,0.2276
12.210,0.1331,9.787,0.1819,9.781,0.0000,10.592,0.2402
12.575,0.1332,10.047,0.1626,,,11.043,0.2078
12.833,0.1930,10.306,0.1615,,,11.294,0.1733
13.279,0.1937,10.566,0.1904,,,11.662,0.0978
13.537,0.1648,10.928,0.1956,,,11.923,0.1667
13.984,0.1157,11.180,0.2014,,,12.184,0.2426
14.348,0.1659,11.542,0.1333,,,12.445,0.2811
14.795,0.1763,11.794,0.1235,,,12.705,0.2675
15.159,0.1360,12.049,0.1563,,,12.966,0.2180
15.524,0.0508,12.305,0.1930,,,13.334,0.1460
15.782,0.0666,12.561,0.2193,,,13.702,0.1754
16.146,0.1269,12.817,0.2250,,,13.971,0.1787
16.404,0.1362,13.073,0.2072,,,14.240,0.1934
16.769,0.1292,13.329,0.1718,,,14.509,0.2101
17.133,0.1242,13.691,0.1103,,,14.777,0.2298
17.580,0.1494,13.946,0.0426,,,15.046,0.2263
17.838,0.1053,14.199,0.0793,,,15.315,0.1732
18.202,0.1013,14.451,0.1484,,,15.584,0.1348
18.567,0.1181,14.703,0.2089,,,15.952,0.1193
18.932,0.1552,14.955,0.2282,,,16.213,0.1928
19.296,0.1823,15.207,0.1948,,,16.474,0.2592
19.661,0.1611,15.459,0.1250,,,16.736,0.2787
20.026,0.0975,15.711,0.0560,,,16.997,0.2380
20.390,0.0524,16.073,0.0915,,,17.258,0.1573
20.648,0.0447,16.332,0.1044,,,17.519,0.0809
21.013,0.1260,16.592,0.1332,,,17.781,0.0654
21.377,0.1764,16.851,0.1569,,,18.032,0.1109
21.742,0.1546,17.111,0.1653,,,18.482,0.1732
22.106,0.1130,17.370,0.1610,,,18.734,0.1826
22.553,0.1469,17.820,0.1060,,,18.985,0.1741
22.918,0.1891,18.079,0.0570,,,19.237,0.1457
23.175,0.1931,18.446,0.0859,,,19.488,0.1093
23.433,0.1768,18.702,0.1508,,,19.739,0.0899
23.798,0.1566,18.958,0.2089,,,20.107,0.1081
24.163,0.1771,19.214,0.2256,,,20.558,0.2263
24.420,0.1933,19.470,0.1867,,,20.827,0.2319
24.678,0.1890,19.726,0.1093,,,21.096,0.1959
25.043,0.1469,19.982,0.0381,,,21.365,0.1287
25.407,0.1660,20.241,0.0285,,,21.733,0.0319
25.854,0.1654,,,,,22.002,0.0000
26.219,0.1532,,,,,,
26.583,0.1429,,,,,,
26.948,0.1292,,,,,,
27.394,0.0617,,,,,,
27.652,0.0000,,,,,,
27.652,0.0000,,,,,,
