"# cascade pilot section 4b — EOS up/down branches, run_tag W3_f02. DIAGNOSTIC ONLY, citable: false."
"# source: db/properties/cascade_pilot_diag10_raw/W3_f02__<structure>.postproc.json (V100, 2026-09-13)"
# E_rel = E - min(E_up) per structure. eligible = downstream_eligible (fit quality + hysteresis gates).
# run_ids: H0_host=20260913T190702-2066ea ; P1_Al2O3_A=20260913T190749-4eca52 ; P1_Al2O3_B=20260913T191251-2d9d89 ; P2_Al2S3_A=20260913T191659-b2285f ; P2_Al2S3_B=20260913T191936-cd7307
structure,n_atoms,V_A3,E_up_eV,E_down_eV,E_up_rel_eV,E_down_rel_eV,shape_dE_eV,E_span_eV,shape_over_span_pct,eligible
H0_host,208,3944.4853,-863.251736,-863.259650,0.328298,0.320383,0.0069,0.3283,2.1,1
H0_host,208,3985.1501,-863.440055,-863.434114,0.139978,0.145919,0.0069,0.3283,2.1,1
H0_host,208,4025.8149,-863.547043,-863.542249,0.032991,0.037784,0.0069,0.3283,2.1,1
H0_host,208,4066.4797,-863.580033,-863.579230,0.000000,0.000803,0.0069,0.3283,2.1,1
H0_host,208,4107.1445,-863.544853,-863.547330,0.035180,0.032703,0.0069,0.3283,2.1,1
H0_host,208,4147.8093,-863.445392,-863.450835,0.134641,0.129198,0.0069,0.3283,2.1,1
H0_host,208,4188.4741,-863.285652,-863.288211,0.294382,0.291823,0.0069,0.3283,2.1,1
P1_Al2O3_A,204,3944.4853,-865.604319,-865.605072,0.067657,0.066904,0.0820,0.4748,17.3,0
P1_Al2O3_A,204,3985.1501,-865.625566,-865.643754,0.046410,0.028222,0.0820,0.4748,17.3,0
P1_Al2O3_A,204,4025.8149,-865.611948,-865.627087,0.060028,0.044889,0.0820,0.4748,17.3,0
P1_Al2O3_A,204,4066.4797,-865.671976,-865.543193,0.000000,0.128783,0.0820,0.4748,17.3,0
P1_Al2O3_A,204,4107.1445,-865.557304,-865.460826,0.114672,0.211150,0.0820,0.4748,17.3,0
P1_Al2O3_A,204,4147.8093,-865.406705,-865.335118,0.265271,0.336858,0.0820,0.4748,17.3,0
P1_Al2O3_A,204,4188.4741,-865.233314,-865.168918,0.438662,0.503058,0.0820,0.4748,17.3,0
P1_Al2O3_B,204,3944.4853,-864.389855,-864.866517,0.081076,-0.395586,0.7299,1.6193,45.1,0
P1_Al2O3_B,204,3985.1501,-864.470931,-864.789223,0.000000,-0.318292,0.7299,1.6193,45.1,0
P1_Al2O3_B,204,4025.8149,-864.454711,-864.778489,0.016220,-0.307557,0.7299,1.6193,45.1,0
P1_Al2O3_B,204,4066.4797,-864.400276,-863.678202,0.070655,0.792729,0.7299,1.6193,45.1,0
P1_Al2O3_B,204,4107.1445,-864.300391,-863.582051,0.170541,0.888880,0.7299,1.6193,45.1,0
P1_Al2O3_B,204,4147.8093,-864.157700,-863.436445,0.313231,1.034486,0.7299,1.6193,45.1,0
P1_Al2O3_B,204,4188.4741,-863.977296,-863.247224,0.493635,1.223707,0.7299,1.6193,45.1,0
P2_Al2S3_A,204,3944.4853,-854.476870,-855.196898,0.213090,-0.506937,0.4803,0.6616,72.6,0
P2_Al2S3_A,204,3985.1501,-854.657565,-854.975255,0.032396,-0.285295,0.4803,0.6616,72.6,0
P2_Al2S3_A,204,4025.8149,-854.689960,-854.962865,0.000000,-0.272905,0.4803,0.6616,72.6,0
P2_Al2S3_A,204,4066.4797,-854.685339,-854.985938,0.004621,-0.295978,0.4803,0.6616,72.6,0
P2_Al2S3_A,204,4107.1445,-854.687171,-854.691419,0.002789,-0.001459,0.4803,0.6616,72.6,0
P2_Al2S3_A,204,4147.8093,-854.615367,-854.635131,0.074594,0.054829,0.4803,0.6616,72.6,0
P2_Al2S3_A,204,4188.4741,-854.492708,-854.535295,0.197252,0.154665,0.4803,0.6616,72.6,0
P2_Al2S3_B,204,3944.4853,-854.888999,-854.989170,0.192708,0.092537,0.0712,0.2812,25.3,0
P2_Al2S3_B,204,3985.1501,-854.979716,-855.105268,0.101992,-0.023561,0.0712,0.2812,25.3,0
P2_Al2S3_B,204,4025.8149,-855.034992,-855.173836,0.046715,-0.092129,0.0712,0.2812,25.3,0
P2_Al2S3_B,204,4066.4797,-855.037669,-855.144718,0.044039,-0.063010,0.0712,0.2812,25.3,0
P2_Al2S3_B,204,4107.1445,-855.081707,-855.121828,0.000000,-0.040120,0.0712,0.2812,25.3,0
P2_Al2S3_B,204,4147.8093,-854.997138,-855.002122,0.084570,0.079585,0.0712,0.2812,25.3,0
P2_Al2S3_B,204,4188.4741,-854.875944,-854.892671,0.205763,0.189036,0.0712,0.2812,25.3,0
