# Eight-axis favorable percentiles (within 47-dopant pool) for radar charts.
# Direction already folded in (1 = most favorable). Missing left EMPTY - not zero.
# Sources: cascade_v23_themes.json + cascade_seminar_scorecard_47.csv (E axis). Air axes excluded (provisional).
dopant,Oxidation,ESW window,Li pathway,Low blocking,Disorder,Lightweight,Low cost,Soft
Ag2O,0.4783,0.4783,0.3696,0.8478,0.9565,0.413,0.3261,0.4565
Al2O3,0.4783,0.7391,0.4783,0.3478,0.7609,0.8913,1.0,0.8043
AlF3,0.4783,0.7391,0.0652,0.2391,0.6522,0.587,0.8478,0.4348
B2O3,0.913,0.1522,0.0,0.5652,0.3696,0.9348,0.7826,0.913
BaO,0.4348,0.3261,0.6957,0.4783,0.5217,0.2391,0.7826,0.3696
CaF2,0.4783,0.913,0.5435,0.7174,0.7174,0.6739,0.8478,0.5435
CaO,0.4783,0.913,1.0,0.7174,0.1304,0.8696,1.0,0.6522
CoO,0.087,0.0217,0.8696,0.4783,0.6739,0.7174,0.5,0.413
Cr2O3,0.9348,0.6304,0.7609,0.0652,0.6957,0.6957,0.7826,0.9783
CrO3,0.4783,0.4348,0.2826,0.0652,0.8261,0.5217,0.7826,0.7391
Cu2O,0.0652,0.087,0.8043,0.4783,0.1522,0.7609,0.7826,0.2174
Fe2O3,0.0217,0.0,0.6087,0.0,0.8913,0.6522,1.0,0.6304
Ga2O3,0.9348,0.7826,0.1087,0.5,0.587,0.5435,0.3261,0.8913
Gd2O3,0.4565,0.6522,0.1304,0.413,1.0,0.1087,0.1087,0.8696
GeO2,0.4783,0.587,0.0217,0.6304,0.6087,0.4565,0.3261,0.0435
HfO2,0.2609,0.7174,0.1739,0.8696,0.413,0.0435,0.1087,0.5
In2O3,0.9348,0.8043,0.6522,0.2174,0.9783,0.3261,0.1087,0.8478
La2O3,0.1522,0.3696,0.413,0.8913,0.3043,0.1957,0.5,0.2391
LaF3,0.1522,0.5,0.5652,0.587,0.8043,0.087,0.3478,0.9348
Li2O,0.4783,0.913,0.6304,1.0,0.1739,1.0,0.7826,0.3478
LiF,0.4783,0.913,0.6739,0.9565,0.0,0.9783,0.5652,0.0
MgF2,0.4783,0.8261,0.3913,0.7609,0.1957,0.8261,0.8478,0.7609
MgO,0.4783,0.6957,0.8261,0.8043,0.4565,0.913,1.0,0.0217
MnO,0.0,0.0652,0.087,0.7174,0.4783,0.7826,1.0,1.0
MoO3,0.4783,0.4565,0.0435,0.5652,0.0652,0.3043,0.5,0.7826
Na2O,0.3696,0.2826,0.1957,0.8478,0.1087,0.9565,1.0,0.2826
Nb2O5,0.413,0.2609,0.9565,0.3261,0.2826,0.3478,0.3261,0.587
Nd2O3,0.1957,0.3913,0.9348,0.2174,0.6304,0.1522,0.3261,0.4783
NdF3,0.1957,0.3913,0.1522,0.3696,0.7391,0.0652,0.1522,0.7174
NiO,0.0435,0.0435,0.8478,0.7174,0.3261,0.7391,0.5,0.6304
Sb2O5,0.4783,0.3478,0.9783,0.2174,0.3478,0.2174,0.5,0.1739
Sc2O3,0.9348,1.0,0.2609,0.2609,0.9348,0.8043,0.1087,0.6739
ScF3,0.4783,0.8478,0.7391,0.087,0.5652,0.5,0.0,0.5435
SiO2,0.4783,0.6739,0.3261,0.7826,0.5,0.8478,1.0,0.0652
Sm2O3,0.2391,0.5652,0.5,0.2174,0.0217,0.1304,0.3261,0.6957
SnO2,0.4783,0.5217,0.7826,0.7391,0.4348,0.2609,0.5,0.3913
SrO,0.3696,0.2826,0.4565,0.9783,0.0435,0.4783,0.7826,0.3261
Ta2O5,0.3261,0.2391,0.5217,0.3261,0.5435,0.0217,0.1087,0.3261
TiF4,0.2826,0.1957,0.4348,0.0217,0.2174,0.3696,0.5652,0.5652
TiO2,0.2826,0.1957,0.2391,0.6304,0.7826,0.6304,0.7826,0.1304
V2O5,0.3478,0.1739,0.3478,0.3261,0.2391,0.5652,0.5,0.1087
WO3,0.4783,0.5217,0.3043,0.5652,0.8696,0.0,0.3261,0.9565
Y2O3,0.8913,0.8913,0.8913,0.2174,0.8478,0.4348,0.3261,0.087
YF3,0.4783,0.8696,0.587,0.3913,0.087,0.2826,0.1522,0.1522
ZnO,0.4783,0.6087,0.2174,0.913,0.913,0.6087,0.7826,0.2174
ZrF4,0.1087,0.1087,0.7174,0.1087,0.2609,0.1739,0.5652,0.8261
ZrO2,0.1087,0.1087,0.913,0.9348,0.3913,0.3913,0.7826,0.2826
