# composite cathode-coating ranking. UMA relative. x=0.25.,score=0.30*ox+0.25*stable+0.20*soft+0.15*ductile+0.10*window (min-max norm).
rank,dopant,group,score,de,ox_V,red_V,E_GPa,pugh,pareto
1,Cr2O3,TM,0.773,-0.912,2.356,1.723,37.5,0.69,Y
2,Sc2O3,TM,0.772,-0.945,2.356,1.386,44.6,0.64,Y
3,Gd2O3,lanthanide,0.720,-1.269,2.118,1.398,41.6,0.77,Y
4,In2O3,main-group,0.681,-0.665,2.356,1.565,41.9,0.72,
5,Y2O3,TM,0.649,-0.938,2.282,1.391,53.1,0.71,
6,B2O3,main-group,0.643,-0.769,2.317,2.043,41.2,0.74,
7,Ga2O3,main-group,0.614,-0.593,2.356,1.578,41.4,0.92,
8,WO3,TM,0.613,-0.860,2.14,1.717,38.6,0.76,
9,Al2O3,main-group,0.597,-0.799,2.14,1.372,42.5,0.77,
10,Al2S3,main-group,0.595,-0.590,2.356,1.372,49.4,0.83,
11,Nb2O5,TM,0.568,-0.987,2.061,1.738,46.0,0.67,
12,MoO3,TM,0.554,-0.826,2.14,1.726,42.7,0.84,
13,CrO3,TM,0.553,-0.761,2.14,1.729,43.4,0.75,
14,Ta2O5,TM,0.551,-1.041,2.027,1.717,49.2,0.63,
15,Ca3N2,alk.earth,0.541,-0.701,2.091,1.717,39.2,0.75,
16,Sm2O3,lanthanide,0.537,-0.897,1.989,1.488,44.4,0.68,
17,Ga2S3,main-group,0.533,-0.494,2.356,1.578,53.6,0.77,
18,ScF3,TM,0.527,-0.725,2.14,1.306,46.5,0.88,
19,Mg3N2,alk.earth,0.524,-0.590,2.108,1.717,39.8,0.71,
20,CrCl3,TM,0.515,-0.558,2.14,1.053,48.5,0.77,
21,MgF2,alk.earth,0.513,-0.546,2.14,1.343,42.9,0.83,
22,CaO,alk.earth,0.512,-0.565,2.14,1.242,45.2,0.83,
23,AlF3,main-group,0.499,-0.641,2.14,1.372,47.6,0.84,
24,YF3,TM,0.496,-0.713,2.14,1.292,51.6,0.84,
25,MgBr2,alk.earth,0.493,-0.401,2.14,1.343,43.8,0.72,
26,CaBr2,alk.earth,0.491,-0.456,2.14,1.242,43.3,0.84,
27,Sb2O5,main-group,0.489,-0.721,2.14,1.777,51.5,0.69,
28,HfO2,TM,0.489,-0.810,1.996,1.242,46.9,0.81,
29,LaF3,lanthanide,0.476,-0.727,1.893,1.475,40.5,0.64,
30,MgCl2,alk.earth,0.473,-0.458,2.14,1.343,45.2,0.82,
31,ScCl3,TM,0.472,-0.553,2.14,1.306,50.8,0.78,
32,V2O5,TM,0.470,-0.927,2.042,1.736,52.5,0.76,
33,GaN,main-group,0.465,-0.482,2.091,1.717,42.0,0.73,
34,Nd2O3,lanthanide,0.464,-0.915,1.92,1.518,47.1,0.75,
35,AlCl3,main-group,0.463,-0.492,2.14,1.372,48.7,0.79,
36,AlN,main-group,0.463,-0.566,2.091,1.717,41.8,0.84,
37,CaF2,alk.earth,0.460,-0.586,2.14,1.242,46.5,1.02,
38,Li2O,alkali,0.454,-0.503,2.14,1.242,48.6,0.89,
39,SiO2,main-group,0.452,-0.590,2.14,1.414,53.5,0.78,
40,CaCl2,alk.earth,0.448,-0.523,2.14,1.242,56.9,0.68,
41,YCl3,TM,0.447,-0.518,2.14,1.292,55.6,0.70,
42,LiI,alkali,0.440,-0.422,2.14,1.242,52.2,0.74,
43,MgI2,alk.earth,0.439,-0.372,2.14,1.343,48.7,0.76,
44,LiCl,alkali,0.435,-0.437,2.14,1.242,50.3,0.84,
45,SnO2,main-group,0.433,-0.500,2.14,1.717,48.1,0.80,
46,ZnO,TM,0.431,-0.480,2.14,1.565,51.0,0.76,
47,NdF3,lanthanide,0.430,-0.703,1.92,1.518,43.9,0.74,
48,LiF,alkali,0.425,-0.519,2.14,1.242,58.2,0.73,
49,ZrF4,TM,0.419,-0.758,1.878,1.713,42.2,0.73,
50,Ag2O,TM,0.418,-0.474,2.14,1.723,47.4,0.86,
51,Na2S,alkali,0.416,-0.435,2.06,1.717,55.0,0.40,
52,LiBr,alkali,0.416,-0.438,2.14,1.242,54.9,0.77,
53,MgS,alk.earth,0.415,-0.482,2.14,1.343,57.1,0.72,
54,La2O3,lanthanide,0.415,-0.898,1.893,1.523,50.1,0.77,
55,Li3N,alkali,0.413,-0.476,2.091,1.717,45.9,0.81,
56,Li2S,alkali,0.409,-0.478,2.14,1.242,58.2,0.75,
57,MnO,TM,0.407,-0.651,1.794,1.755,35.4,0.66,Y
58,TiF4,TM,0.402,-0.705,2.024,1.717,46.2,0.96,
59,BaO,alk.earth,0.401,-0.564,2.071,1.717,48.2,0.85,
60,CaS,alk.earth,0.400,-0.526,2.14,1.242,62.1,0.72,
61,GeO2,main-group,0.400,-0.523,2.14,1.622,56.2,0.75,
62,SrO,alk.earth,0.399,-0.555,2.06,1.717,49.2,0.79,
63,SrCl2,alk.earth,0.395,-0.465,2.06,1.717,48.0,0.74,
64,MgO,alk.earth,0.392,-0.543,2.14,1.405,57.9,0.84,
65,HfCl4,TM,0.392,-0.667,1.977,1.515,50.5,0.79,
66,BaCl2,alk.earth,0.389,-0.465,2.071,1.717,47.8,0.80,
67,NaI,alkali,0.387,-0.449,2.092,1.242,56.6,0.75,
68,TiO2,TM,0.380,-0.632,2.024,1.717,52.1,0.78,
69,GeS2,main-group,0.371,-0.434,2.14,1.622,56.7,0.76,
70,Na2O,alkali,0.364,-0.472,2.06,1.717,49.6,0.82,
71,SiS2,main-group,0.364,-0.497,2.14,1.717,57.2,0.81,
72,TiCl4,TM,0.362,-0.455,2.024,1.717,50.9,0.69,
73,SmCl3,lanthanide,0.356,-0.585,1.989,1.488,53.6,0.79,
74,SnS2,main-group,0.352,-0.399,2.14,1.717,57.5,0.73,
75,Fe2O3,TM,0.343,-0.801,1.808,1.804,45.9,0.78,
76,ZrO2,TM,0.342,-0.719,1.878,1.713,49.6,0.78,
77,NdCl3,lanthanide,0.324,-0.589,1.92,1.518,52.1,0.80,
78,LaCl3,lanthanide,0.322,-0.566,1.893,1.475,53.7,0.68,
79,ZrCl4,TM,0.299,-0.584,1.878,1.713,50.1,0.79,
80,CoO,TM,0.287,-0.571,1.873,1.861,47.9,0.82,
81,AlBr3,main-group,0.286,-0.400,1.717,1.372,39.5,0.71,
82,NiO,TM,0.268,-0.534,1.838,1.816,45.9,0.85,
83,FeCl3,TM,0.260,-0.518,1.808,1.804,47.9,0.74,
84,TaCl5,TM,0.258,-0.489,1.717,1.59,45.5,0.66,
85,ZrBr4,TM,0.245,-0.497,1.878,1.713,55.9,0.73,
86,Cu2O,TM,0.243,-0.537,1.864,1.751,51.0,0.89,
87,NbCl5,TM,0.238,-0.456,1.717,1.61,45.0,0.72,
88,Sb2S3,main-group,0.231,-0.360,1.957,1.777,55.8,0.79,
89,GaCl3,main-group,0.207,-0.413,1.717,1.578,45.4,0.79,
