"# co-doping synergy HYPOTHESES (single-dopant proxy, NOT validated).","synergy = max(joint_window_gain,0) * radius_match * stability_gate. anode-cathode complementarity."
rank,pairA,pairB,synergy,joint_window_V,gain_vs_best_single,radius_match,avg_stab,tags
1,Cr2O3,HfO2,0.281,1.114,+0.360,0.87,0.86,anode↔cathode|radius-match
2,Al2O3,Cr2O3,0.173,0.984,+0.216,0.90,0.86,anode↔cathode|radius-match
3,HfO2,In2O3,0.168,1.114,+0.323,0.88,0.74,anode↔cathode|radius-match
4,Ga2O3,HfO2,0.149,1.114,+0.336,0.88,0.70,anode↔cathode|radius-match
5,AlF3,Cr2O3,0.135,0.984,+0.216,0.90,0.78,anode↔cathode|oxyfluoride|radius-match
6,HfO2,Sc2O3,0.133,1.114,+0.144,0.98,0.88,anode↔cathode|radius-match
7,Cr2O3,ScF3,0.131,1.050,+0.216,0.76,0.82,anode↔cathode|oxyfluoride
8,Gd2O3,In2O3,0.123,0.958,+0.167,0.74,0.97,anode↔cathode
9,Cr2O3,MgF2,0.104,1.013,+0.216,0.84,0.73,anode↔cathode|oxyfluoride|radius-match
10,Cr2O3,MgO,0.103,0.951,+0.216,0.84,0.73,anode↔cathode|hard↔soft|radius-match
11,In2O3,ScF3,0.100,1.050,+0.216,0.95,0.69,anode↔cathode|oxyfluoride|radius-match
12,HfO2,WO3,0.099,0.898,+0.144,0.82,0.83,radius-match
13,HfO2,MoO3,0.091,0.898,+0.144,0.79,0.82,
14,Al2O3,Ga2O3,0.090,0.984,+0.206,0.89,0.70,anode↔cathode|radius-match
15,CrO3,HfO2,0.089,0.898,+0.144,0.87,0.79,radius-match
16,In2O3,YF3,0.087,1.064,+0.216,0.85,0.69,anode↔cathode|oxyfluoride|radius-match
17,Cr2O3,LiF,0.083,1.114,+0.216,0.71,0.72,anode↔cathode|oxyfluoride|hard↔soft
18,LiF,Sc2O3,0.083,1.114,+0.144,1.00,0.73,anode↔cathode|oxyfluoride|radius-match
19,Y2O3,YF3,0.081,0.990,+0.099,1.00,0.83,anode↔cathode|oxyfluoride|radius-match
20,Li2O,Sc2O3,0.080,1.114,+0.144,1.00,0.72,anode↔cathode|radius-match
21,Cr2O3,Li2O,0.080,1.114,+0.216,0.71,0.71,anode↔cathode
22,CaF2,Y2O3,0.079,1.040,+0.142,0.85,0.76,anode↔cathode|oxyfluoride|radius-match
23,HfO2,Sb2O5,0.079,0.898,+0.144,0.82,0.77,radius-match
24,HfO2,Y2O3,0.078,1.040,+0.149,0.56,0.87,anode↔cathode
25,La2O3,Na2O,0.077,0.537,+0.167,1.00,0.68,radius-match
26,CaO,Y2O3,0.076,1.040,+0.142,0.85,0.75,anode↔cathode|radius-match
27,B2O3,V2O5,0.074,0.581,+0.275,0.31,0.85,
28,Ag2O,La2O3,0.074,0.617,+0.200,0.80,0.69,radius-match
29,Sc2O3,ScF3,0.067,1.050,+0.080,1.00,0.83,anode↔cathode|oxyfluoride|radius-match
30,Ga2O3,ScF3,0.067,1.050,+0.216,0.78,0.66,anode↔cathode|oxyfluoride
31,La2O3,SrO,0.065,0.537,+0.167,0.70,0.72,
32,Na2O,Nd2O3,0.065,0.542,+0.140,0.98,0.69,radius-match
33,Cr2O3,SiO2,0.065,0.942,+0.216,0.48,0.75,anode↔cathode|hard↔soft
34,HfO2,MgO,0.063,0.898,+0.144,1.00,0.68,radius-match
35,Ag2O,Nd2O3,0.062,0.622,+0.205,0.64,0.69,
36,Al2O3,HfO2,0.061,0.898,+0.130,0.61,0.80,
37,B2O3,SiO2,0.061,0.903,+0.177,0.76,0.68,anode↔cathode
38,Cr2O3,ZnO,0.060,0.791,+0.158,0.78,0.70,
39,HfO2,Nb2O5,0.060,0.819,+0.065,0.92,0.90,radius-match
40,LiF,Y2O3,0.059,1.040,+0.142,0.73,0.73,anode↔cathode|oxyfluoride
