# cascade 코팅 후보 x 양극 계면 반응성 (open_items M6). 닫힌계 pseudo-binary InterfacialReactivity (Richards/Ong 2016 eq 2), norm=True, use_hull_energy=True, MP GGA_GGA+U.
# 축은 전위가 아니라 양극 리튬화 상태 (full=LiCoO2 / half=Li0.5CoO2). Xiao 2019 F4 와 동일 정의.
# 게이트: |dE_rxt| < 100 meV/atom (Xiao 2019 F4). 더 음수 = 더 반응성 = 코팅으로 부적합. Xiao 소환값(LPSCl/LCO -339 full / -493 half)은 문헌값 — 우리 값과 혼합 금지.
coating,cathode,lithiation,cathode_composition,dE_rxt_meV_per_atom,gate_pass_100meV,reaction
Sc2O3,LCO,full,LiCoO2,0.0,Y,Sc2O3 -> Sc2O3
Sc2O3,LCO,half,Li0.5CoO2,-0.0,Y,Sc2O3 -> Sc2O3
Cr2O3,LCO,full,LiCoO2,-23.5,Y,0.5714 Cr2O3 + 0.4286 LiCoO2 -> 0.4286 Cr2CoO4 + 0.1429 LiCrO2 + 0.1429 Li2CrO4
Cr2O3,LCO,half,Li0.5CoO2,-15.1,Y,0.6 Cr2O3 + 0.4 Li0.5Co1O2 -> 0.3 CrO2 + 0.4 Cr2CoO4 + 0.1 Li2CrO4
Gd2O3,LCO,full,LiCoO2,-0.0,Y,Gd2O3 -> Gd2O3
Gd2O3,LCO,half,Li0.5CoO2,-0.0,Y,Gd2O3 -> Gd2O3
In2O3,LCO,full,LiCoO2,0.0,Y,In2O3 -> In2O3
In2O3,LCO,half,Li0.5CoO2,0.0,Y,In2O3 -> In2O3
Y2O3,LCO,full,LiCoO2,-0.0,Y,Y2O3 -> Y2O3
Y2O3,LCO,half,Li0.5CoO2,0.0,Y,Y2O3 -> Y2O3
B2O3,LCO,full,LiCoO2,-91.0,Y,0.4128 LiCoO2 + 0.5872 B2O3 -> 0.02752 LiO8 + 0.1284 Li3B7O12 + 0.1376 Co3(BO3)2
B2O3,LCO,half,Li0.5CoO2,-72.5,Y,0.5217 Li0.5Co1O2 + 0.4783 B2O3 -> 0.08696 Li3B7O12 + 0.1739 Co3(BO3)2 + 0.1957 O2
WO3,LCO,full,LiCoO2,-2.5,Y,0.7143 LiCoO2 + 0.2857 WO3 -> 0.2857 Li2WO4 + 0.1429 Li(CoO2)2 + 0.1429 Co3O4
WO3,LCO,half,Li0.5CoO2,0.0,Y,Li0.5Co1O2 -> 0.5 Li(CoO2)2
Ga2O3,LCO,full,LiCoO2,-10.8,Y,0.3333 LiCoO2 + 0.6667 Ga2O3 -> 0.2222 LiGa5O8 + 0.1111 Ga2CoO4 + 0.1111 Li(CoO2)2
Ga2O3,LCO,half,Li0.5CoO2,-0.0,Y,Ga2O3 -> Ga2O3
Al2O3,LCO,full,LiCoO2,-19.4,Y,0.3333 LiCoO2 + 0.6667 Al2O3 -> 0.2222 LiAl5O8 + 0.1111 Li(CoO2)2 + 0.1111 Al2CoO4
Al2O3,LCO,half,Li0.5CoO2,-0.0,Y,Al2O3 -> Al2O3
Nb2O5,LCO,full,LiCoO2,-5.2,Y,0.2857 Nb2O5 + 0.7143 LiCoO2 -> 0.1429 Co3O4 + 0.5714 LiNbO3 + 0.1429 Li(CoO2)2
Nb2O5,LCO,half,Li0.5CoO2,-0.0,Y,Nb2O5 -> Nb2O5
Ta2O5,LCO,full,LiCoO2,-15.0,Y,0.2857 Ta2O5 + 0.7143 LiCoO2 -> 0.1429 Co3O4 + 0.1429 Li(CoO2)2 + 0.5714 LiTaO3
Ta2O5,LCO,half,Li0.5CoO2,0.0,Y,Ta2O5 -> Ta2O5
CrO3,LCO,full,LiCoO2,-60.9,Y,0.3333 CrO3 + 0.6667 LiCoO2 -> 0.1667 CrO2 + 0.3333 Li(CoO2)2 + 0.1667 Li2CrO4
CrO3,LCO,half,Li0.5CoO2,-7.2,Y,0.4 CrO3 + 0.6 Li0.5Co1O2 -> 0.1 LiCr3O8 + 0.6 CoO2 + 0.1 Li2CrO4
MoO3,LCO,full,LiCoO2,-39.0,Y,0.2857 MoO3 + 0.7143 LiCoO2 -> 0.1429 Li(CoO2)2 + 0.2857 Li2MoO4 + 0.1429 Co3O4
MoO3,LCO,half,Li0.5CoO2,0.0,Y,Li0.5Co1O2 -> 0.5 Li(CoO2)2
Sm2O3,LCO,full,LiCoO2,-0.0,Y,Sm2O3 -> Sm2O3
Sm2O3,LCO,half,Li0.5CoO2,0.0,Y,Sm2O3 -> Sm2O3
ScF3,LCO,full,LiCoO2,-13.0,Y,0.2857 ScF3 + 0.7143 LiCoO2 -> 0.1429 Co3O4 + 0.1429 Li(CoO2)2 + 0.2857 ScOF + 0.5714 LiF
ScF3,LCO,half,Li0.5CoO2,0.0,Y,Li0.5Co1O2 -> 0.5 Li(CoO2)2
MgF2,LCO,full,LiCoO2,-8.0,Y,0.6667 LiCoO2 + 0.3333 MgF2 -> 0.3333 Mg(CoO2)2 + 0.6667 LiF
MgF2,LCO,half,Li0.5CoO2,0.0,Y,Li0.5Co1O2 -> 0.5 Li(CoO2)2
CaO,LCO,full,LiCoO2,0.0,Y,CaO -> CaO
CaO,LCO,half,Li0.5CoO2,-3.9,Y,0.75 Li0.5Co1O2 + 0.25 CaO -> 0.375 LiCoO2 + 0.125 Ca2Co3O8
Sb2O5,LCO,full,LiCoO2,-107.3,N,0.6 Sb2O5 + 0.4 LiCoO2 -> 0.4 Co(SbO3)2 + 0.4 LiSbO3 + 0.1 O2
Sb2O5,LCO,half,Li0.5CoO2,-87.4,Y,0.6364 Sb2O5 + 0.3636 Li0.5Co1O2 -> 0.3636 Co(SbO3)2 + 0.1818 LiSb3O8 + 0.1364 O2
AlF3,LCO,full,LiCoO2,-45.6,Y,0.3415 AlF3 + 0.6585 LiCoO2 -> 0.0122 Co23O32 + 0.1463 Li(CoO2)2 + 0.08537 Al2CoO4 + 0.1707 Li3AlF6
AlF3,LCO,half,Li0.5CoO2,0.0,Y,Li0.5Co1O2 -> 0.5 Li(CoO2)2
LaF3,LCO,full,LiCoO2,0.0,Y,LaF3 -> LaF3
LaF3,LCO,half,Li0.5CoO2,-0.0,Y,LaF3 -> LaF3
