x_Nd,protection_pct_LiCoO2_4.3V_k5,protection_pct_LiNiO2_3.5V_k4,protection_pct_NMC811_3.5V_k4
0.0,0.0,0.0,0.0
0.002,1.002,0.8016,0.8016
0.004,2.008,1.6064,1.6064
0.006,3.0181,2.4145,2.4145
0.008,4.0323,3.2258,3.2258
0.01,5.0505,4.0404,4.0404
0.012,6.0729,4.8583,4.8583
0.014,7.0994,5.6795,5.6795
0.016,8.1301,6.5041,6.5041
0.018,9.165,7.332,7.332
0.02,10.2041,8.1633,8.1633
0.022,11.2474,8.998,8.998
0.024,12.2951,9.8361,9.8361
0.026,13.347,10.6776,10.6776
0.028,14.4033,11.5226,11.5226
0.03,15.4639,12.3711,12.3711
0.032,16.5289,13.2231,13.2231
0.034,17.5983,14.0787,14.0787
0.036,18.6722,14.9378,14.9378
0.038,19.7505,15.8004,15.8004
0.04,20.8333,16.6667,16.6667
0.042,21.9207,17.5365,17.5365
0.044,23.0126,18.41,18.41
0.046,24.109,19.2872,19.2872
0.048,25.2101,20.1681,20.1681
0.05,26.3158,21.0526,21.0526
0.052,27.4262,21.9409,21.9409
0.054,28.5412,22.833,22.833
0.056,29.661,23.7288,23.7288
0.058,30.7856,24.6285,24.6285
0.06,31.9149,25.5319,25.5319
0.062,33.049,26.4392,26.4392
0.064,34.188,27.3504,27.3504
0.066,35.3319,28.2655,28.2655
0.068,36.4807,29.1845,29.1845
0.07,37.6344,30.1075,30.1075
0.072,38.7931,31.0345,31.0345
0.074,39.9568,31.9654,31.9654
0.076,41.1255,32.9004,32.9004
0.078,42.2993,33.8395,33.8395
0.08,43.4783,34.7826,34.7826
0.082,44.6623,35.7298,35.7298
0.084,45.8515,36.6812,36.6812
0.086,47.046,37.6368,37.6368
0.088,48.2456,38.5965,38.5965
0.09,49.4505,39.5604,39.5604
0.092,50.6608,40.5286,40.5286
0.094,51.8764,41.5011,41.5011
0.096,53.0973,42.4779,42.4779
0.098,54.3237,43.459,43.459
0.1,55.5556,44.4444,44.4444
0.102,56.7929,45.4343,45.4343
0.104,58.0357,46.4286,46.4286
0.106,59.2841,47.4273,47.4273
0.108,60.5381,48.4305,48.4305
0.11,61.7978,49.4382,49.4382
0.112,63.0631,50.4505,50.4505
0.114,64.3341,51.4673,51.4673
0.116,65.6109,52.4887,52.4887
0.118,66.8934,53.5147,53.5147
0.12,68.1818,54.5455,54.5455
0.122,69.4761,55.5809,55.5809
0.124,70.7763,56.621,56.621
0.126,72.0824,57.6659,57.6659
0.128,73.3945,58.7156,58.7156
0.13,74.7126,59.7701,59.7701
0.132,76.0369,60.8295,60.8295
0.134,77.3672,61.8938,61.8938
0.136,78.7037,62.963,62.963
0.138,80.0464,64.0371,64.0371
0.14,81.3953,65.1163,65.1163
0.142,82.7506,66.2005,66.2005
0.144,84.1121,67.2897,67.2897
0.146,85.4801,68.3841,68.3841
0.148,86.8545,69.4836,69.4836
0.15,88.2353,70.5882,70.5882
0.152,89.6226,71.6981,71.6981
0.154,91.0165,72.8132,72.8132
0.156,92.4171,73.9336,73.9336
0.158,93.8242,75.0594,75.0594
0.16,95.2381,76.1905,76.1905
0.162,96.6587,77.327,77.327
0.164,98.0861,78.4689,78.4689
0.166,99.5204,79.6163,79.6163
0.168,100.0,80.7692,80.7692
0.17,100.0,81.9277,81.9277
0.172,100.0,83.0918,83.0918
0.174,100.0,84.2615,84.2615
0.176,100.0,85.4369,85.4369
0.178,100.0,86.618,86.618
0.18,100.0,87.8049,87.8049
0.182,100.0,88.9976,88.9976
0.184,100.0,90.1961,90.1961
0.186,100.0,91.4005,91.4005
0.188,100.0,92.6108,92.6108
0.19,100.0,93.8272,93.8272
0.192,100.0,95.0495,95.0495
0.194,100.0,96.2779,96.2779
0.196,100.0,97.5124,97.5124
0.198,100.0,98.7531,98.7531
0.2,100.0,100.0,100.0
0.202,100.0,100.0,100.0
0.204,100.0,100.0,100.0
0.206,100.0,100.0,100.0
0.208,100.0,100.0,100.0
0.21,100.0,100.0,100.0
0.212,100.0,100.0,100.0
0.214,100.0,100.0,100.0
0.216,100.0,100.0,100.0
0.218,100.0,100.0,100.0
0.22,100.0,100.0,100.0
