panel,voltage_V,electrolyte,cathode,p_host_formula,li_per_P,host_class,nd_side,exchange_eV_per_P
a,2.5,comp1,LiCoO2,Li3PO4,3.0,Li phosphate (Li/P ≥ 1),no_Nd,1.50352
a,2.5,comp1,LiMnO2,Li3PO4,3.0,Li phosphate (Li/P ≥ 1),no_Nd,1.50352
a,2.5,comp1,LiNiO2,Li3PO4,3.0,Li phosphate (Li/P ≥ 1),no_Nd,1.50352
a,2.5,comp1,NMC811,Li3PO4,3.0,Li phosphate (Li/P ≥ 1),no_Nd,1.50352
a,3.0,comp1,LiCoO2,Li4P2O7,2.0,Li phosphate (Li/P ≥ 1),no_Nd,0.40301
a,3.0,comp1,LiMnO2,Li4P2O7,2.0,Li phosphate (Li/P ≥ 1),no_Nd,0.40301
a,3.0,comp1,LiNiO2,Li4P2O7,2.0,Li phosphate (Li/P ≥ 1),no_Nd,0.40301
a,3.0,comp1,NMC811,Li2MnP2O7,1.0,Li phosphate (Li/P ≥ 1),no_Nd,
a,3.0,comp1,NMC811,Li4P2O7,2.0,Li phosphate (Li/P ≥ 1),no_Nd,0.40301
a,3.5,comp1,LiCoO2,LiPO3,1.0,Li phosphate (Li/P ≥ 1),no_Nd,-0.82386
a,3.5,comp1,LiMnO2,Mn(PO3)2,0.0,TM phosphate (Li/P = 0),no_Nd,-1.54529
a,3.5,comp1,LiNiO2,LiNi(PO3)3,0.3333,TM phosphate (Li/P = 0),no_Nd,
a,3.5,comp1,NMC811,LiMn(PO3)3,0.3333,TM phosphate (Li/P = 0),no_Nd,
a,3.5,comp1,NMC811,LiPO3,1.0,Li phosphate (Li/P ≥ 1),no_Nd,-0.82386
a,4.0,comp1,LiCoO2,CoP4O11,0.0,TM phosphate (Li/P = 0),no_Nd,-2.16463
a,4.0,comp1,LiNiO2,Ni(PO3)2,0.0,TM phosphate (Li/P = 0),no_Nd,-1.75124
a,4.0,comp1,NMC811,MnP4O11,0.0,TM phosphate (Li/P = 0),no_Nd,-2.01274
a,4.0,comp1,NMC811,NiP4O11,0.0,TM phosphate (Li/P = 0),no_Nd,-2.15111
a,4.3,comp1,LiNiO2,NiP4O11,0.0,TM phosphate (Li/P = 0),no_Nd,-2.15111
a,4.3,comp1,NMC811,NiP4O11,0.0,TM phosphate (Li/P = 0),no_Nd,-2.15111
a,4.3,comp1,NMC811,MnP4O11,0.0,TM phosphate (Li/P = 0),no_Nd,-2.01274
a,4.5,comp1,LiNiO2,NiP4O11,0.0,TM phosphate (Li/P = 0),no_Nd,-2.15111
a,2.5,lpsocl,LiCoO2,Li3PO4,3.0,Li phosphate (Li/P ≥ 1),no_Nd,1.50352
