cathode,voltage_V,comp1,modelc,lpsocl,o_only_03,nd_only,modelc_nd,min_kink_reaction_modelc_nd
LiCoO2,2.5,-0.66624,-0.62382,-0.60877,-0.60099,-0.60793,-0.58491,0.04739 Li48Nd2P10S41Cl16O3 + 0.9526 LiCoO2 -> 1.256 Li + 0.3791 Li3PO4 + 0.9526 CoS2 + 0.09479 NdPO4 + 0.03791 Li2SO4 + 0.7583 LiCl
LiCoO2,3.0,-0.81012,-0.72998,-0.71337,-0.70478,-0.71193,-0.68655,0.04831 Li48Nd2P10S41Cl16O3 + 0.9517 LiCoO2 -> 1.57 Li + 0.9517 CoS2 + 0.1932 Li4P2O7 + 0.09662 NdPO4 + 0.07729 Li2SO4 + 0.7729 LiCl
LiCoO2,3.5,-1.01084,-0.88587,-0.86882,-0.85999,-0.86477,-0.83855,0.04975 Li48Nd2P10S41Cl16O3 + 0.9502 LiCoO2 -> 2.065 Li + 0.0995 LiNd(PO3)4 + 0.9502 CoS2 + 0.1393 Li2SO4 + 0.0995 LiPO3 + 0.796 LiCl
LiCoO2,4.0,-1.31501,-1.16552,-1.14919,-1.1407,-1.12108,-1.09381,0.07407 Li48Nd2P10S41Cl16O3 + 0.9259 LiCoO2 -> 4.481 Li + 0.1481 NdP5O14 + 1.185 SCl + 0.9259 CoS2
LiCoO2,4.3,-1.54383,-1.34591,-1.33098,-1.3232,-1.28424,-1.25956,0.07407 Li48Nd2P10S41Cl16O3 + 0.9259 LiCoO2 -> 4.481 Li + 1.185 SCl + 0.1481 NdP5O14 + 0.9259 CoS2
LiCoO2,4.5,-1.71526,-1.46771,-1.45431,-1.44732,-1.39301,-1.37006,0.07407 Li48Nd2P10S41Cl16O3 + 0.9259 LiCoO2 -> 4.481 Li + 0.1481 NdP5O14 + 1.185 SCl + 0.9259 CoS2
LiNiO2,2.5,-0.81909,-0.77622,-0.76017,-0.75182,-0.76077,-0.73607,0.0352 Li48Nd2P10S41Cl16O3 + 0.9648 LiNiO2 -> 0.9328 Li + 0.2816 Li3PO4 + 0.0704 NdPO4 + 0.3216 Ni3S4 + 0.1568 Li2SO4 + 0.5632 LiCl
LiNiO2,3.0,-0.93942,-0.86517,-0.848,-0.83907,-0.84833,-0.82198,0.0352 Li48Nd2P10S41Cl16O3 + 0.9648 LiNiO2 -> 0.9328 Li + 0.0704 NdPO4 + 0.2816 Li3PO4 + 0.3216 Ni3S4 + 0.1568 Li2SO4 + 0.5632 LiCl
LiNiO2,3.5,-1.12767,-1.03164,-1.01618,-1.00823,-1.00542,-0.98588,0.02191 Li48Nd2P10S41Cl16O3 + 0.9781 LiNiO2 -> 2.03 Li + 0.1095 Ni(PO3)2 + 0.02191 Nd2(SO4)3 + 0.1753 NiCl2 + 0.2754 NiSO4 + 0.1393 Ni3S4
LiNiO2,4.0,-1.41527,-1.28181,-1.26718,-1.25965,-1.23693,-1.21733,0.02691 Li48Nd2P10S41Cl16O3 + 0.9731 LiNiO2 -> 2.265 Li + 0.1345 Ni(PO3)2 + 0.2242 NiSO4 + 0.02691 Nd2(SO4)3 + 0.3991 NiS2 + 0.2152 NiCl2
LiNiO2,4.3,-1.60719,-1.44935,-1.43251,-1.42377,-1.38237,-1.36049,0.03468 Li48Nd2P10S41Cl16O3 + 0.9653 LiNiO2 -> 2.63 Li + 0.1734 Ni(PO3)2 + 0.5145 NiS2 + 0.03468 Nd2(SO4)3 + 0.289 SO2 + 0.2775 NiCl2
LiNiO2,4.5,-1.73978,-1.56588,-1.55029,-1.5422,-1.48202,-1.45905,0.03871 Li48Nd2P10S41Cl16O3 + 0.9613 LiNiO2 -> 2.819 Li + 0.5742 NiS2 + 0.4387 SO2 + 0.07742 Ni(PO3)2 + 0.07742 Nd(PO3)3 + 0.3097 NiCl2
