electrolyte,cathode,voltage_V,p_host_formula,li_per_P,anion
comp1,LiCoO2,2.5,Li3PO4,3.0,P-O
comp1,LiMnO2,2.5,Li3PO4,3.0,P-O
comp1,LiNiO2,2.5,Li3PO4,3.0,P-O
comp1,NMC811,2.5,Li3PO4,3.0,P-O
comp1,LiCoO2,3.0,Li4P2O7,2.0,P-O
comp1,LiMnO2,3.0,Li4P2O7,2.0,P-O
comp1,LiNiO2,3.0,Li4P2O7,2.0,P-O
comp1,NMC811,3.0,Li2MnP2O7,1.0,P-O
comp1,NMC811,3.0,Li4P2O7,2.0,P-O
comp1,LiCoO2,3.5,LiPO3,1.0,P-O
comp1,LiMnO2,3.5,Mn(PO3)2,0.0,P-O
comp1,LiNiO2,3.5,LiNi(PO3)3,0.3333,P-O
comp1,NMC811,3.5,LiMn(PO3)3,0.3333,P-O
comp1,NMC811,3.5,LiPO3,1.0,P-O
comp1,LiCoO2,4.0,CoP4O11,0.0,P-O
comp1,LiNiO2,4.0,Ni(PO3)2,0.0,P-O
comp1,NMC811,4.0,MnP4O11,0.0,P-O
comp1,NMC811,4.0,NiP4O11,0.0,P-O
comp1,LiNiO2,4.3,NiP4O11,0.0,P-O
comp1,NMC811,4.3,NiP4O11,0.0,P-O
comp1,NMC811,4.3,MnP4O11,0.0,P-O
comp1,LiNiO2,4.5,NiP4O11,0.0,P-O
lpsocl,LiCoO2,2.5,Li3PO4,3.0,P-O
lpsocl,LiMnO2,2.5,Li3PO4,3.0,P-O
lpsocl,LiNiO2,2.5,Li3PO4,3.0,P-O
lpsocl,NMC811,2.5,LiMnPO4,1.0,P-O
lpsocl,NMC811,2.5,Li3PO4,3.0,P-O
lpsocl,LiCoO2,3.0,Li4P2O7,2.0,P-O
lpsocl,LiMnO2,3.0,Mn2P2O7,0.0,P-O
lpsocl,LiNiO2,3.0,Li4P2O7,2.0,P-O
lpsocl,NMC811,3.0,Li4P2O7,2.0,P-O
lpsocl,NMC811,3.0,LiMnPO4,1.0,P-O
lpsocl,LiCoO2,3.5,LiPO3,1.0,P-O
lpsocl,LiMnO2,3.5,Mn2P2O7,0.0,P-O
lpsocl,LiNiO2,3.5,Ni(PO3)2,0.0,P-O
lpsocl,NMC811,3.5,Ni(PO3)2,0.0,P-O
lpsocl,LiCoO2,4.0,CoP4O11,0.0,P-O
lpsocl,LiMnO2,4.0,Mn(PO3)2,0.0,P-O
lpsocl,LiNiO2,4.0,Ni(PO3)2,0.0,P-O
lpsocl,NMC811,4.0,Ni(PO3)2,0.0,P-O
lpsocl,NMC811,4.0,Mn(PO3)2,0.0,P-O
lpsocl,LiCoO2,4.3,CoP4O11,0.0,P-O
lpsocl,LiMnO2,4.3,P2S7,0.0,P-S
lpsocl,LiMnO2,4.3,Mn(PO3)2,0.0,P-O
lpsocl,LiNiO2,4.3,Ni(PO3)2,0.0,P-O
lpsocl,NMC811,4.3,Ni(PO3)2,0.0,P-O
lpsocl,NMC811,4.3,Mn(PO3)2,0.0,P-O
lpsocl,LiCoO2,4.5,CoP4O11,0.0,P-O
lpsocl,LiMnO2,4.5,P2S7,0.0,P-S
lpsocl,LiMnO2,4.5,PCl5,0.0,P-Cl
lpsocl,LiMnO2,4.5,Mn(PO3)2,0.0,P-O
lpsocl,LiNiO2,4.5,Ni(PO3)2,0.0,P-O
lpsocl,NMC811,4.5,MnP4O11,0.0,P-O
lpsocl,NMC811,4.5,Ni(PO3)2,0.0,P-O
modelc,LiCoO2,2.5,Li3PO4,3.0,P-O
modelc,LiMnO2,2.5,Li3PO4,3.0,P-O
modelc,LiNiO2,2.5,Li3PO4,3.0,P-O
modelc,NMC811,2.5,Li3PO4,3.0,P-O
modelc,LiCoO2,3.0,Li4P2O7,2.0,P-O
modelc,LiMnO2,3.0,Mn2P2O7,0.0,P-O
modelc,LiNiO2,3.0,Li4P2O7,2.0,P-O
modelc,NMC811,3.0,Li4P2O7,2.0,P-O
modelc,NMC811,3.0,LiMnPO4,1.0,P-O
modelc,LiCoO2,3.5,LiPO3,1.0,P-O
modelc,LiMnO2,3.5,Mn(PO3)2,0.0,P-O
modelc,LiNiO2,3.5,Ni(PO3)2,0.0,P-O
modelc,NMC811,3.5,Ni(PO3)2,0.0,P-O
modelc,NMC811,3.5,Mn(PO3)2,0.0,P-O
modelc,LiCoO2,4.0,CoP4O11,0.0,P-O
modelc,LiMnO2,4.0,Mn(PO3)2,0.0,P-O
modelc,LiNiO2,4.0,Ni(PO3)2,0.0,P-O
modelc,NMC811,4.0,Ni(PO3)2,0.0,P-O
modelc,NMC811,4.0,Mn(PO3)2,0.0,P-O
modelc,LiCoO2,4.3,CoP4O11,0.0,P-O
modelc,LiMnO2,4.3,P2S7,0.0,P-S
modelc,LiMnO2,4.3,Mn(PO3)2,0.0,P-O
modelc,LiNiO2,4.3,Ni(PO3)2,0.0,P-O
modelc,NMC811,4.3,MnP4O11,0.0,P-O
modelc,NMC811,4.3,Ni(PO3)2,0.0,P-O
modelc,LiCoO2,4.5,CoP4O11,0.0,P-O
modelc,LiNiO2,4.5,Ni(PO3)2,0.0,P-O
modelc,NMC811,4.5,NiP4O11,0.0,P-O
modelc,NMC811,4.5,MnP4O11,0.0,P-O
modelc_nd,LiCoO2,2.5,Li3PO4,3.0,P-O
modelc_nd,LiCoO2,2.5,NdPO4,0.0,P-O
modelc_nd,LiMnO2,2.5,Li3PO4,3.0,P-O
modelc_nd,LiMnO2,2.5,NdPO4,0.0,P-O
modelc_nd,LiNiO2,2.5,Li3PO4,3.0,P-O
modelc_nd,LiNiO2,2.5,NdPO4,0.0,P-O
modelc_nd,NMC811,2.5,LiMnPO4,1.0,P-O
modelc_nd,NMC811,2.5,Li3PO4,3.0,P-O
modelc_nd,NMC811,2.5,NdPO4,0.0,P-O
modelc_nd,LiCoO2,3.0,Li4P2O7,2.0,P-O
modelc_nd,LiCoO2,3.0,NdPO4,0.0,P-O
modelc_nd,LiMnO2,3.0,Mn2P2O7,0.0,P-O
modelc_nd,LiMnO2,3.0,NdPO4,0.0,P-O
modelc_nd,LiNiO2,3.0,NdPO4,0.0,P-O
modelc_nd,LiNiO2,3.0,Li3PO4,3.0,P-O
modelc_nd,NMC811,3.0,Li4P2O7,2.0,P-O
modelc_nd,NMC811,3.0,LiMnPO4,1.0,P-O
modelc_nd,NMC811,3.0,NdPO4,0.0,P-O
modelc_nd,LiCoO2,3.5,LiNd(PO3)4,0.25,P-O
modelc_nd,LiCoO2,3.5,LiPO3,1.0,P-O
modelc_nd,LiMnO2,3.5,Mn2P2O7,0.0,P-O
modelc_nd,LiNiO2,3.5,Ni(PO3)2,0.0,P-O
modelc_nd,NMC811,3.5,Ni(PO3)2,0.0,P-O
modelc_nd,NMC811,3.5,LiNd(PO3)4,0.25,P-O
modelc_nd,LiCoO2,4.0,NdP5O14,0.0,P-O
modelc_nd,LiMnO2,4.0,Mn(PO3)2,0.0,P-O
modelc_nd,LiNiO2,4.0,Ni(PO3)2,0.0,P-O
modelc_nd,NMC811,4.0,Ni(PO3)2,0.0,P-O
modelc_nd,LiCoO2,4.3,NdP5O14,0.0,P-O
modelc_nd,LiMnO2,4.3,Mn(PO3)2,0.0,P-O
modelc_nd,LiNiO2,4.3,Ni(PO3)2,0.0,P-O
modelc_nd,NMC811,4.3,Nd(PO3)3,0.0,P-O
modelc_nd,NMC811,4.3,Mn(PO3)2,0.0,P-O
modelc_nd,LiCoO2,4.5,NdP5O14,0.0,P-O
modelc_nd,LiMnO2,4.5,Mn(PO3)2,0.0,P-O
modelc_nd,LiNiO2,4.5,Ni(PO3)2,0.0,P-O
modelc_nd,LiNiO2,4.5,Nd(PO3)3,0.0,P-O
modelc_nd,NMC811,4.5,Ni(PO3)2,0.0,P-O
modelc_nd,NMC811,4.5,Nd(PO3)3,0.0,P-O
modelc_nd,NMC811,4.5,Mn(PO3)2,0.0,P-O
nd_only,LiCoO2,2.5,Li3PO4,3.0,P-O
nd_only,LiCoO2,2.5,NdPO4,0.0,P-O
nd_only,LiMnO2,2.5,Li3PO4,3.0,P-O
nd_only,LiMnO2,2.5,NdPO4,0.0,P-O
nd_only,LiNiO2,2.5,Li3PO4,3.0,P-O
nd_only,LiNiO2,2.5,NdPO4,0.0,P-O
nd_only,NMC811,2.5,LiMnPO4,1.0,P-O
nd_only,NMC811,2.5,Li3PO4,3.0,P-O
nd_only,NMC811,2.5,NdPO4,0.0,P-O
nd_only,LiCoO2,3.0,Li4P2O7,2.0,P-O
nd_only,LiCoO2,3.0,NdPO4,0.0,P-O
nd_only,LiMnO2,3.0,Mn2P2O7,0.0,P-O
nd_only,LiMnO2,3.0,NdPO4,0.0,P-O
nd_only,LiNiO2,3.0,Li4P2O7,2.0,P-O
nd_only,LiNiO2,3.0,NdPO4,0.0,P-O
nd_only,NMC811,3.0,Li4P2O7,2.0,P-O
nd_only,NMC811,3.0,LiMnPO4,1.0,P-O
nd_only,NMC811,3.0,NdPO4,0.0,P-O
