# co-doping HYPOTHESIS GENERATOR v2 (ML-assisted). NOT validated — co-doping 실측/계산 라벨 없음. 후보 제안용이며 예측기가 아님.
# method: ridge(47 single dopants, LOOCV lambda) coefficients transplanted to pair features + 8 physics interaction terms distilled from v1 heuristic (weighted ridge: listed 1.0 / unlisted~0 weight 0.1). ml_score = base_z + sum(v_j*inter_j); uncertainty = internal LOOCV-residual propagation only.
# columns: gap_min = min(gap_lit_eV) 문헌 큐레이션 값(우리 계산 갭 아님); air_max = HSAB 정성등급 큐레이션; transport_min = min(bvs_x005) BVS proxy(절대 σ 아님); joint_window_V = max(ox)-min(red) 상보 가정; window_gain = joint_window_V - max(단일 도펀트 창) — 0 이면 상보가 발동하지 않고 더 나은 한쪽 창을 그대로 물려받은 것(전체 1081쌍의 ~70%가 정확히 0).
# applicability domain (Sendek 2017 EES 10,306 §3.4 이식 — 열 3종 추가): ad_d = 47 도펀트 훈련셋 PCA-분산 정규화 중심거리(훈련 점들의 평균 = 1); ad_eps = leave-one-dopant-out 47 재적합 예측의 표준편차(모델 불안정성); ad_A = 적용영역 판정(1 = ad_d <= 2, 0 = 외삽 = 순위 신뢰 낮음). 역설계/champion 선정 시 ad_A=0 은 winner's curse 위험군으로 취급할 것.
rank,pairA,pairB,ml_score,uncertainty,joint_window_V,window_gain,transport_min,gap_min,air_max,top_interaction,tags,ad_d,ad_eps,ad_A
1,Cr2O3,Gd2O3,5.5089,0.649,0.958,0.238,0.8557,3.4,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,1.265,0.347,1
2,Gd2O3,In2O3,4.7644,0.693,0.958,0.167,0.8557,2.9,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,1.663,0.326,1
3,Gd2O3,Sc2O3,4.6829,0.703,0.970,0.000,0.8557,5.4,0.20,de_avg*joint_window,cross-group|weak-transport,0.916,0.288,1
4,Cr2O3,Sc2O3,4.6264,0.423,0.970,0.000,0.8656,3.4,0.20,de_avg*joint_window,,1.113,0.287,1
5,Cr2O3,Y2O3,4.4116,0.630,0.965,0.074,0.9035,3.4,0.20,de_avg*joint_window,anode<->cathode,1.240,0.267,1
6,Sc2O3,Ta2O5,4.4101,0.511,0.970,0.000,0.8656,4.0,0.20,de_avg*joint_window,,0.913,0.302,1
7,Nb2O5,Sc2O3,4.3661,0.488,0.970,0.000,0.8656,3.4,0.20,de_avg*joint_window,,0.894,0.305,1
8,Cr2O3,HfO2,4.2854,0.525,1.114,0.360,0.8597,3.4,0.20,de_avg*joint_window,anode<->cathode|weak-transport,1.299,0.329,1
9,Sc2O3,WO3,4.1462,0.436,0.970,0.000,0.8656,2.7,0.20,de_avg*joint_window,,0.868,0.290,1
10,Sc2O3,V2O5,3.9266,0.512,0.970,0.000,0.8656,2.3,0.20,de_avg*joint_window,,0.966,0.324,1
