E_minus_EF_eV,mean_pCOHP_Li-S,mean_pCOHP_Li-Cl,mean_pCOHP_Li-Br
-12.000,0.02341,-0.00017,-0.00022
-11.925,0.00212,-0.00001,-0.00002
-11.849,0.00019,-0.00000,-0.00000
-11.774,0.00000,0.00000,-0.00000
-11.322,0.00007,0.00000,0.00000
-11.247,0.00222,0.00000,0.00000
-11.172,0.01936,0.00001,0.00002
-11.096,0.13310,0.00009,0.00013
-11.021,0.47040,0.00031,0.00041
-10.946,1.07238,0.00073,0.00081
-10.870,1.47816,0.00101,0.00093
-10.795,1.19429,0.00081,0.00059
-10.720,0.59360,0.00040,0.00020
-10.644,0.18524,0.00012,0.00004
-10.569,0.02988,0.00002,0.00000
-10.494,0.00388,0.00000,-0.00000
-10.418,0.00015,0.00000,-0.00000
-8.987,0.00000,-0.00000,-0.00000
-8.912,0.00003,-0.00000,-0.00000
-8.837,0.00034,-0.00001,-0.00001
-8.762,0.00204,-0.00008,-0.00008
-8.686,0.00787,-0.00032,-0.00030
-8.611,0.01841,-0.00072,-0.00069
-8.536,0.03182,-0.00110,-0.00106
-8.460,0.05616,-0.00136,-0.00135
-8.385,0.11575,-0.00169,-0.00166
-8.310,0.21090,-0.00159,-0.00139
-8.234,0.30546,-0.00043,0.00000
-8.159,0.34664,0.00090,0.00134
-8.084,0.30971,0.00120,0.00138
-8.008,0.22738,0.00076,0.00072
-7.933,0.13498,0.00034,0.00026
-7.858,0.06024,0.00015,0.00010
-7.782,0.01899,0.00006,0.00005
-7.707,0.00365,0.00002,0.00001
-7.632,0.00051,0.00000,0.00000
-5.975,0.00000,0.00000,0.00000
-5.900,0.00004,0.00000,0.00000
-5.824,0.00043,0.00001,0.00002
-5.749,0.00349,0.00012,0.00012
-5.674,0.01608,0.00053,0.00055
-5.598,0.04923,0.00166,0.00163
-5.523,0.10155,0.00378,0.00338
-5.448,0.15662,0.00752,0.00571
-5.372,0.20333,0.01376,0.00902
-5.297,0.22976,0.02113,0.01303
-5.222,0.22415,0.02583,0.01606
-5.146,0.20727,0.02769,0.01818
-5.071,0.22021,0.03080,0.02157
-4.996,0.26814,0.03510,0.02557
-4.921,0.31350,0.03639,0.02702
-4.845,0.31526,0.03207,0.02416
-4.770,0.26538,0.02366,0.01821
-4.695,0.18279,0.01436,0.01138
-4.619,0.09808,0.00681,0.00553
-4.544,0.03864,0.00239,0.00197
-4.469,0.01006,0.00056,0.00046
-4.393,0.00174,0.00009,0.00007
-4.318,0.00018,0.00001,0.00001
-4.243,0.00004,0.00092,0.00003
-4.167,0.00026,0.00956,0.00026
-4.092,0.00199,0.07766,0.00193
-4.017,0.00800,0.32532,0.00762
-3.941,0.02036,0.86730,0.02072
-3.866,0.03309,1.42939,0.04750
-3.791,0.04306,1.60131,0.14634
-3.715,0.06339,1.65024,0.41738
-3.640,0.09867,2.00411,0.89248
-3.565,0.12106,2.29164,1.32487
-3.490,0.11125,1.92637,1.44980
-3.414,0.09524,1.13061,1.44457
-3.339,0.09858,0.46547,1.57764
-3.264,0.11187,0.13976,1.70419
-3.188,0.12247,0.04644,1.53544
-3.113,0.13629,0.01206,1.09999
-3.038,0.16186,-0.01409,0.58453
-2.962,0.19942,-0.02790,0.20732
-2.887,0.25808,-0.02490,0.06565
-2.812,0.32309,-0.01918,0.05515
-2.736,0.35944,-0.02423,0.08675
-2.661,0.37570,-0.03706,0.11145
-2.586,0.41801,-0.04766,0.11132
-2.510,0.49820,-0.05636,0.09475
-2.435,0.57513,-0.06708,0.07626
-2.360,0.60897,-0.07614,0.06214
-2.285,0.57672,-0.07852,0.04933
-2.209,0.49324,-0.07678,0.03490
-2.134,0.39646,-0.07564,0.01984
-2.059,0.32073,-0.07432,0.00591
-1.983,0.26499,-0.06596,-0.00441
-1.908,0.22451,-0.05171,-0.01228
-1.833,0.23348,-0.04293,-0.02204
-1.757,0.29139,-0.04502,-0.03379
-1.682,0.36529,-0.05419,-0.04440
-1.607,0.43043,-0.06332,-0.05328
-1.531,0.48647,-0.06739,-0.05922
-1.456,0.53146,-0.06624,-0.06174
-1.381,0.55984,-0.06362,-0.06326
-1.305,0.56801,-0.06174,-0.06560
-1.230,0.52967,-0.05725,-0.06536
-1.155,0.45526,-0.04967,-0.06109
-1.079,0.38183,-0.04226,-0.05525
-1.004,0.33112,-0.03667,-0.05062
-0.929,0.28022,-0.03069,-0.04444
-0.854,0.20531,-0.02265,-0.03359
-0.778,0.12128,-0.01409,-0.01998
-0.703,0.05741,-0.00738,-0.00906
-0.628,0.02474,-0.00347,-0.00349
-0.552,0.00861,-0.00128,-0.00101
-0.477,0.00263,-0.00040,-0.00028
-0.402,0.00048,-0.00007,-0.00005
-0.326,0.00008,-0.00001,-0.00001
-0.251,0.00000,-0.00000,-0.00000
-0.100,0.00000,0.00000,0.00000
1.105,-0.00000,-0.00000,-0.00000
1.180,-0.00001,-0.00000,-0.00000
1.255,-0.00007,-0.00001,-0.00001
1.331,-0.00044,-0.00007,-0.00003
1.406,-0.00138,-0.00021,-0.00011
1.481,-0.00272,-0.00042,-0.00021
1.556,-0.00325,-0.00050,-0.00026
1.632,-0.00222,-0.00034,-0.00017
1.707,-0.00090,-0.00014,-0.00007
1.782,-0.00025,-0.00004,-0.00002
1.858,-0.00021,-0.00007,-0.00006
1.933,-0.00134,-0.00053,-0.00045
2.008,-0.00519,-0.00227,-0.00196
2.084,-0.01355,-0.00670,-0.00585
2.159,-0.02239,-0.01232,-0.01081
2.234,-0.02530,-0.01571,-0.01367
2.310,-0.02297,-0.01602,-0.01358
2.385,-0.01860,-0.01369,-0.01102
2.460,-0.01429,-0.01015,-0.00762
2.536,-0.01213,-0.00796,-0.00572
2.611,-0.01177,-0.00762,-0.00549
2.686,-0.00930,-0.00661,-0.00478
2.762,-0.00432,-0.00459,-0.00325
2.837,-0.00059,-0.00404,-0.00289
2.912,0.00032,-0.00636,-0.00491
2.987,-0.00109,-0.01274,-0.01051
3.063,-0.00472,-0.02765,-0.02319
3.138,-0.01295,-0.07107,-0.05972
3.213,-0.02856,-0.16251,-0.14070
3.289,-0.05084,-0.29089,-0.26341
3.364,-0.06990,-0.38948,-0.36710
3.439,-0.07604,-0.39872,-0.38967
3.515,-0.06730,-0.32718,-0.33111
3.590,-0.04921,-0.23251,-0.24096
3.665,-0.03853,-0.19446,-0.19578
3.741,-0.04614,-0.24450,-0.22513
3.816,-0.06348,-0.33407,-0.29073
3.891,-0.07795,-0.39493,-0.34751
3.967,-0.09222,-0.42272,-0.38919
4.042,-0.11720,-0.47738,-0.44409
4.117,-0.13669,-0.53129,-0.48024
4.192,-0.12536,-0.49215,-0.43694
4.268,-0.09669,-0.39886,-0.35859
4.343,-0.07899,-0.33999,-0.31454
4.418,-0.08757,-0.32609,-0.31649
4.494,-0.13034,-0.34686,-0.36058
4.569,-0.19527,-0.39601,-0.42829
4.644,-0.25770,-0.43312,-0.47402
4.720,-0.31348,-0.40666,-0.45197
4.795,-0.38686,-0.32748,-0.36711
4.870,-0.47102,-0.26047,-0.28327
4.946,-0.51003,-0.23185,-0.24052
5.021,-0.49041,-0.23118,-0.23891
5.096,-0.45357,-0.24545,-0.25833
5.172,-0.42571,-0.24759,-0.25739
5.247,-0.41826,-0.23080,-0.22762
5.322,-0.44339,-0.21918,-0.20559
5.397,-0.49012,-0.22023,-0.21021
5.473,-0.52628,-0.22742,-0.22879
5.548,-0.53699,-0.24543,-0.24443
5.623,-0.53655,-0.26926,-0.24756
5.699,-0.52299,-0.28335,-0.24384
5.774,-0.47540,-0.28660,-0.24761
5.849,-0.40897,-0.28532,-0.25566
5.925,-0.37130,-0.28285,-0.24888
6.000,-0.38720,-0.29025,-0.23376
