t_ps,comp1_600K,comp1_800K,comp1_1000K,comp2_600K,comp2_800K,comp2_1000K
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.50,1.6795,1.8960,3.3676,1.0584,1.8540,2.0425
1.00,0.9605,4.4123,6.1608,2.1169,3.7079,4.0850
1.50,1.3373,4.6209,5.1384,3.1753,5.5619,6.1275
2.00,2.1117,5.0371,8.8585,3.8892,6.4390,7.1553
2.50,5.1278,6.9830,9.1551,4.5170,7.0720,7.9294
3.00,5.2097,5.6509,10.5048,5.1448,7.7049,8.7035
3.50,5.5971,6.1109,10.9246,5.3708,8.0830,9.6699
4.00,5.7744,6.8673,13.2602,5.3290,8.2912,10.7645
4.50,7.1976,6.2043,14.8437,5.2872,8.4993,11.8590
5.00,8.1604,7.0508,15.4570,5.3994,8.8314,12.8687
5.50,9.6851,6.5125,16.8865,5.7427,9.3495,13.7509
6.00,10.5551,9.8259,16.2558,6.0860,9.8675,14.6331
6.50,9.9280,9.6278,15.6420,6.5145,10.2835,15.5116
7.00,10.2778,10.4427,17.6106,7.2836,10.2911,16.3758
7.50,10.8556,10.2059,15.6204,8.0527,10.2986,17.2399
8.00,10.5844,10.5525,18.1405,8.8218,10.3062,18.1040
8.50,9.9659,9.1569,18.6814,8.8246,10.6755,17.8475
9.00,10.3803,8.3852,18.0602,8.8275,11.0449,17.5911
9.50,11.3725,8.3093,21.1395,8.8303,11.4142,17.3346
10.00,11.1695,9.2912,22.7349,8.8139,12.3446,18.0896
10.50,11.6260,9.0722,24.0344,8.7927,13.4153,19.0975
11.00,11.4692,7.8936,22.4697,8.7715,14.4859,20.1054
11.50,12.8978,9.0596,20.4419,8.6322,15.0294,20.7348
12.00,11.4116,9.0935,19.4801,8.4142,15.2213,21.1119
12.50,11.2025,8.9638,21.4224,8.1962,15.4132,21.4890
13.00,11.9410,9.1889,23.4246,8.2467,15.5091,22.0979
13.50,11.7366,9.8708,20.9249,8.7000,15.4609,23.0544
14.00,10.8323,10.2311,21.0414,9.1533,15.4126,24.0109
14.50,10.3745,9.7073,22.6553,9.4387,15.3815,24.8488
15.00,10.3561,11.3044,21.2520,9.0520,15.4191,25.2123
15.50,9.9983,11.3522,20.4596,8.6653,15.4567,25.5759
16.00,10.7612,10.3639,19.2715,8.2786,15.4943,25.9394
16.50,10.9232,9.5994,19.5937,8.6142,15.5331,25.5221
17.00,10.6377,10.4882,19.5834,8.9498,15.5718,25.1048
17.50,9.3262,11.6367,22.6205,9.2855,15.6105,24.6876
18.00,10.3596,11.9085,25.4650,9.3656,15.4459,25.9092
18.50,11.5098,11.6506,25.3185,9.3819,15.2304,27.5406
19.00,12.5819,13.5775,22.7016,9.3982,15.0149,29.1720
19.50,12.2132,13.1751,23.5911,9.4243,15.3837,30.1503
20.00,13.3118,13.1184,25.4182,9.4570,16.1420,30.6933
20.50,13.6683,15.1375,23.7532,9.4897,16.9003,31.2363
21.00,13.5874,15.7003,24.6631,9.6454,17.3796,31.9260
21.50,14.1483,13.3427,25.8504,9.9855,17.4405,32.8358
22.00,13.7473,14.5824,26.3602,10.3257,17.5013,33.7457
22.50,13.2966,14.0365,27.0449,10.6045,17.7999,34.6820
23.00,13.2288,13.7191,25.4933,10.6378,19.0493,35.7246
23.50,12.9857,13.7465,27.7648,10.6712,20.2986,36.7671
24.00,12.2720,14.2443,27.3119,10.7045,21.5480,37.8097
24.50,12.0132,15.5120,29.9310,10.6977,21.7050,38.4413
25.00,11.8968,16.5777,29.3794,10.6908,21.8619,39.0728
25.50,11.9288,16.8897,31.9133,10.6840,22.0189,39.7044
26.00,11.0245,17.4807,33.0487,11.0103,22.1311,40.9382
26.50,12.2581,15.9277,28.3498,11.4200,22.2322,42.3226
27.00,11.6825,16.4089,30.6867,11.8296,22.3333,43.7070
27.50,11.3625,17.6259,32.5813,12.1678,22.4724,44.8245
28.00,11.1335,19.2301,34.2097,12.4583,22.6369,45.7641
28.50,12.0045,17.0242,34.4452,12.7489,22.8015,46.7037
29.00,12.2279,17.3259,34.5577,13.0019,22.9555,47.1898
29.50,12.8893,16.6350,34.1020,13.1985,23.0936,46.9957
30.00,14.3304,17.0159,33.1890,13.3952,23.2317,46.8017
30.50,13.5759,17.1044,34.7588,13.5449,23.4002,46.8428
31.00,13.0079,17.5258,34.2101,13.5068,23.6901,47.8248
31.50,12.9454,17.2788,35.9854,13.4688,23.9800,48.8068
32.00,12.7308,17.3365,38.8670,13.4307,24.2699,49.7888
32.50,13.3069,18.6277,37.8993,13.0805,23.8546,49.9584
33.00,13.5155,15.3246,39.3973,12.7302,23.4393,50.1281
33.50,13.5393,14.3019,39.4128,12.3800,23.0241,50.2977
34.00,14.4397,14.0392,39.0547,12.5001,23.6674,50.5192
34.50,13.7897,15.0447,36.6588,12.7379,24.5754,50.7536
35.00,13.9857,15.9623,40.9417,12.9757,25.4834,50.9881
35.50,13.3386,17.1518,38.8988,13.2344,26.1126,51.4217
36.00,13.8049,17.9430,36.3805,13.5069,26.5560,51.9880
36.50,13.5909,18.4395,36.3037,13.7795,26.9994,52.5543
37.00,11.9533,17.5186,32.7293,13.7559,27.1226,52.5426
37.50,11.0882,20.1209,34.1663,13.2880,26.7655,51.6639
38.00,12.7484,20.0058,36.2965,12.8201,26.4084,50.7852
38.50,12.2627,20.9091,34.9517,12.3892,26.2265,50.4418
39.00,13.9992,21.6439,38.5113,12.1061,26.7450,52.2394
39.50,13.9551,21.4078,38.1152,11.8231,27.2635,54.0371
40.00,13.6754,21.1159,37.9510,11.5400,27.7820,55.8347
40.50,14.2092,23.2807,37.3491,11.5852,26.9036,56.6282
41.00,14.5388,23.7827,44.7380,11.6304,26.0252,57.4217
41.50,15.2059,21.2736,40.7517,11.6756,25.1469,58.2152
42.00,15.1265,20.6493,39.9293,11.6788,25.5191,59.0489
42.50,13.8520,19.9385,43.4218,11.6716,26.2040,59.8926
43.00,13.1068,20.5300,46.0594,11.6644,26.8888,60.7364
43.50,12.7229,18.8749,45.4307,11.5653,26.7940,61.0612
44.00,14.3492,19.6856,46.2910,11.4049,26.1794,61.0401
44.50,13.6662,19.7722,43.9612,11.2446,25.5649,61.0191
45.00,13.8845,19.4727,45.4041,11.1500,25.4272,61.2457
