frame,t_ps,P_S,S_Li,P_Li,Li_penetrated,B_S,B_Li
0.000,0.000,3.250,3.756,0.750,61.000,3.000,0.500
1.000,0.200,3.250,3.951,1.000,61.000,3.000,1.500
2.000,0.400,3.250,3.780,0.625,61.000,3.000,0.500
3.000,0.600,3.250,3.805,0.875,61.000,3.000,2.000
4.000,0.800,3.125,3.878,0.625,61.000,3.000,0.500
5.000,1.000,3.125,3.854,1.375,62.000,3.000,1.500
6.000,1.200,3.125,3.634,1.250,62.000,3.000,1.000
7.000,1.400,3.125,3.805,0.875,62.000,3.000,2.000
8.000,1.600,3.125,3.878,0.875,62.000,3.000,2.000
9.000,1.800,3.125,3.829,0.875,62.000,3.000,1.500
10.000,2.000,3.125,3.756,1.000,62.000,3.000,2.000
11.000,2.200,3.000,3.829,1.125,62.000,3.000,1.000
12.000,2.400,3.000,3.732,1.125,64.000,3.000,2.000
13.000,2.600,3.000,3.902,1.625,63.000,3.000,2.000
14.000,2.800,3.000,4.098,1.375,64.000,3.000,2.500
15.000,3.000,3.000,3.732,1.500,64.000,3.000,1.500
16.000,3.200,3.000,3.927,1.500,63.000,3.000,1.000
17.000,3.400,3.000,3.756,1.750,64.000,3.000,2.500
18.000,3.600,3.000,3.951,1.375,64.000,3.000,1.500
19.000,3.800,3.000,3.805,1.625,64.000,3.000,1.500
20.000,4.000,3.000,3.951,1.500,64.000,3.000,1.500
21.000,4.200,3.000,3.927,1.375,64.000,3.000,0.500
22.000,4.400,3.000,4.024,1.875,64.000,3.000,2.500
23.000,4.600,3.000,4.073,1.375,64.000,3.000,2.000
24.000,4.800,3.000,3.976,1.125,64.000,3.000,2.000
25.000,5.000,3.000,4.024,1.375,62.000,3.000,1.000
26.000,5.200,3.000,3.902,1.500,65.000,3.000,2.000
27.000,5.400,3.000,3.951,2.125,65.000,3.000,1.500
28.000,5.600,3.000,3.902,1.625,64.000,3.000,0.500
29.000,5.800,3.000,4.122,2.000,64.000,3.000,2.000
30.000,6.000,3.000,4.000,1.750,65.000,3.000,3.000
31.000,6.200,3.000,3.976,2.000,63.000,3.000,2.000
32.000,6.400,3.000,4.049,1.500,64.000,3.000,0.500
33.000,6.600,3.000,3.902,1.625,65.000,3.000,1.500
34.000,6.800,3.000,3.951,1.625,63.000,3.000,2.500
35.000,7.000,3.000,3.902,1.875,65.000,3.000,2.500
36.000,7.200,3.000,3.951,1.750,65.000,3.000,2.000
37.000,7.400,3.000,4.024,1.250,65.000,3.000,1.000
38.000,7.600,3.000,3.878,1.500,65.000,3.000,2.500
39.000,7.800,3.000,4.000,1.750,65.000,3.000,2.500
40.000,8.000,3.000,3.951,1.875,64.000,3.000,1.000
41.000,8.200,3.000,4.024,1.625,64.000,3.000,1.500
42.000,8.400,3.000,4.024,1.625,65.000,3.000,0.500
43.000,8.600,3.000,4.049,1.500,65.000,3.000,1.500
44.000,8.800,3.000,3.951,1.500,64.000,3.000,1.000
45.000,9.000,3.000,3.854,1.625,65.000,3.000,0.500
46.000,9.200,3.000,3.902,1.250,65.000,3.000,1.500
47.000,9.400,3.000,3.976,1.375,62.000,3.000,0.500
48.000,9.600,3.000,3.829,1.750,62.000,3.000,1.500
49.000,9.800,3.000,3.902,1.625,63.000,3.000,1.000
50.000,10.000,3.000,3.878,1.625,64.000,3.000,1.500
51.000,10.200,3.000,3.951,1.375,62.000,3.000,1.000
52.000,10.400,3.000,3.976,1.750,63.000,3.000,2.000
53.000,10.600,3.000,3.927,1.375,64.000,3.000,1.500
54.000,10.800,3.000,4.098,1.625,64.000,3.000,2.000
55.000,11.000,3.000,4.098,1.375,65.000,3.000,2.000
56.000,11.200,3.000,4.073,1.500,64.000,3.000,1.500
57.000,11.400,3.000,3.951,1.625,64.000,3.000,1.000
58.000,11.600,3.000,4.000,1.500,63.000,3.000,1.000
59.000,11.800,3.000,4.073,1.500,63.000,3.000,1.000
60.000,12.000,3.000,4.122,1.625,64.000,3.000,1.000
61.000,12.200,3.000,3.951,1.500,63.000,3.000,2.000
62.000,12.400,3.000,4.073,1.750,63.000,3.000,1.000
63.000,12.600,3.000,4.122,1.500,63.000,3.000,2.500
64.000,12.800,3.000,3.927,1.375,63.000,3.000,1.500
65.000,13.000,3.000,4.098,1.500,64.000,3.000,1.500
66.000,13.200,3.000,3.927,1.500,63.000,3.000,1.000
67.000,13.400,3.000,4.000,1.500,63.000,3.000,1.000
68.000,13.600,3.000,4.073,1.625,64.000,3.000,1.500
69.000,13.800,3.000,4.049,2.125,65.000,3.000,1.500
70.000,14.000,3.000,4.146,2.125,66.000,3.000,2.500
71.000,14.200,3.000,3.902,1.750,65.000,3.000,1.500
72.000,14.400,3.000,4.122,2.000,65.000,3.000,1.000
73.000,14.600,3.000,4.122,1.625,65.000,3.000,1.500
74.000,14.800,3.000,4.098,1.750,65.000,3.000,0.500
75.000,15.000,3.000,3.951,1.750,64.000,3.000,1.500
76.000,15.200,3.000,4.098,2.000,64.000,3.000,1.500
77.000,15.400,3.000,4.171,1.500,64.000,3.000,1.500
78.000,15.600,3.000,4.049,1.250,65.000,3.000,0.500
79.000,15.800,3.000,4.220,1.500,63.000,3.000,2.000
80.000,16.000,3.000,4.098,1.625,64.000,3.000,2.000
81.000,16.200,3.000,4.073,1.500,63.000,3.000,2.000
82.000,16.400,3.000,4.122,2.000,64.000,3.000,1.000
83.000,16.600,3.000,4.073,1.375,66.000,3.000,2.000
84.000,16.800,3.000,4.171,1.375,65.000,3.000,1.500
85.000,17.000,3.000,4.073,1.625,63.000,3.000,2.000
86.000,17.200,3.000,4.098,1.375,65.000,3.000,2.500
87.000,17.400,3.000,4.049,1.500,65.000,3.000,0.500
88.000,17.600,3.000,4.049,1.500,65.000,3.000,1.500
89.000,17.800,3.000,4.024,1.250,66.000,3.000,3.500
90.000,18.000,3.000,3.927,1.250,64.000,3.000,1.500
91.000,18.200,3.000,4.000,1.375,65.000,3.000,2.000
92.000,18.400,3.000,4.146,1.750,66.000,3.000,2.500
93.000,18.600,3.000,4.122,2.125,66.000,3.000,1.500
94.000,18.800,3.000,3.951,2.000,65.000,3.000,1.500
95.000,19.000,3.000,4.024,1.875,63.000,3.000,1.000
96.000,19.200,3.000,3.927,1.625,64.000,3.000,0.500
