frame,t_ps,P_S,S_Li,P_Li,Li_penetrated
0.000,0.000,3.900,3.068,0.600,56.000
1.000,0.200,3.900,3.182,0.500,56.000
2.000,0.400,3.900,3.159,0.400,56.000
3.000,0.600,3.800,3.364,0.500,56.000
4.000,0.800,3.800,3.364,0.600,57.000
5.000,1.000,3.800,3.250,0.400,57.000
6.000,1.200,3.800,3.318,0.500,57.000
7.000,1.400,3.800,3.227,0.800,57.000
8.000,1.600,3.800,3.432,0.900,56.000
9.000,1.800,3.800,3.318,0.900,56.000
10.000,2.000,3.700,3.295,1.200,57.000
11.000,2.200,3.700,3.477,1.100,57.000
12.000,2.400,3.700,3.364,1.300,58.000
13.000,2.600,3.700,3.409,0.800,57.000
14.000,2.800,3.700,3.386,1.100,58.000
15.000,3.000,3.700,3.364,1.100,58.000
16.000,3.200,3.700,3.409,1.200,58.000
17.000,3.400,3.700,3.432,1.000,57.000
18.000,3.600,3.700,3.477,1.200,58.000
19.000,3.800,3.700,3.455,1.100,58.000
20.000,4.000,3.700,3.409,1.000,58.000
21.000,4.200,3.700,3.295,1.000,58.000
22.000,4.400,3.700,3.364,0.800,58.000
23.000,4.600,3.700,3.409,0.900,58.000
24.000,4.800,3.700,3.523,1.100,58.000
25.000,5.000,3.700,3.455,0.800,58.000
26.000,5.200,3.700,3.455,1.000,58.000
27.000,5.400,3.700,3.432,0.900,58.000
28.000,5.600,3.700,3.455,1.400,59.000
29.000,5.800,3.600,3.455,1.000,58.000
30.000,6.000,3.600,3.455,1.100,59.000
31.000,6.200,3.600,3.432,1.200,58.000
32.000,6.400,3.600,3.364,1.200,58.000
33.000,6.600,3.600,3.341,1.000,57.000
34.000,6.800,3.600,3.364,1.100,57.000
35.000,7.000,3.600,3.341,1.300,57.000
36.000,7.200,3.600,3.545,1.300,56.000
37.000,7.400,3.600,3.318,0.900,57.000
38.000,7.600,3.600,3.386,1.200,56.000
39.000,7.800,3.600,3.477,1.400,58.000
40.000,8.000,3.600,3.455,1.300,58.000
41.000,8.200,3.600,3.432,1.200,58.000
42.000,8.400,3.600,3.523,1.000,57.000
43.000,8.600,3.600,3.568,1.300,56.000
44.000,8.800,3.600,3.386,1.200,56.000
45.000,9.000,3.600,3.364,1.200,55.000
46.000,9.200,3.600,3.591,1.300,55.000
47.000,9.400,3.600,3.409,1.200,56.000
48.000,9.600,3.600,3.409,1.100,56.000
49.000,9.800,3.600,3.455,1.100,57.000
50.000,10.000,3.600,3.432,1.100,55.000
51.000,10.200,3.600,3.318,1.100,56.000
52.000,10.400,3.600,3.432,0.800,56.000
53.000,10.600,3.600,3.477,1.000,55.000
54.000,10.800,3.600,3.455,1.300,56.000
55.000,11.000,3.600,3.500,0.800,57.000
56.000,11.200,3.600,3.364,1.000,58.000
57.000,11.400,3.600,3.432,1.100,55.000
58.000,11.600,3.600,3.386,1.100,56.000
59.000,11.800,3.600,3.455,1.100,57.000
60.000,12.000,3.600,3.409,1.100,56.000
61.000,12.200,3.600,3.409,1.200,56.000
62.000,12.400,3.600,3.545,1.100,57.000
63.000,12.600,3.600,3.477,1.200,57.000
64.000,12.800,3.600,3.409,1.100,58.000
65.000,13.000,3.600,3.568,1.000,58.000
66.000,13.200,3.600,3.545,1.100,58.000
67.000,13.400,3.500,3.659,1.100,59.000
68.000,13.600,3.500,3.545,1.000,59.000
69.000,13.800,3.500,3.636,1.200,57.000
70.000,14.000,3.500,3.568,1.100,56.000
71.000,14.200,3.500,3.705,1.400,56.000
72.000,14.400,3.400,3.432,1.200,56.000
73.000,14.600,3.500,3.659,1.600,56.000
74.000,14.800,3.500,3.500,1.300,57.000
75.000,15.000,3.500,3.568,1.000,57.000
76.000,15.200,3.500,3.636,1.600,58.000
77.000,15.400,3.500,3.523,1.200,59.000
78.000,15.600,3.500,3.568,1.100,58.000
79.000,15.800,3.500,3.568,1.500,58.000
80.000,16.000,3.500,3.591,1.600,58.000
81.000,16.200,3.500,3.636,1.700,58.000
82.000,16.400,3.500,3.568,1.200,57.000
83.000,16.600,3.500,3.591,1.600,57.000
84.000,16.800,3.500,3.523,1.100,57.000
85.000,17.000,3.500,3.682,1.200,57.000
86.000,17.200,3.500,3.636,1.600,56.000
87.000,17.400,3.500,3.523,1.100,57.000
88.000,17.600,3.500,3.545,1.100,57.000
89.000,17.800,3.500,3.705,1.200,57.000
90.000,18.000,3.500,3.568,1.600,58.000
91.000,18.200,3.500,3.659,1.200,57.000
92.000,18.400,3.500,3.636,1.100,57.000
93.000,18.600,3.500,3.727,0.900,58.000
94.000,18.800,3.500,3.636,1.100,58.000
95.000,19.000,3.500,3.773,1.100,58.000
96.000,19.200,3.500,3.591,1.300,58.000
97.000,19.400,3.500,3.727,1.000,58.000
98.000,19.600,3.500,3.614,1.300,58.000
99.000,19.800,3.500,3.591,1.200,58.000
100.000,20.000,3.500,3.727,1.100,57.000
101.000,20.200,3.500,3.727,1.200,57.000
102.000,20.400,3.500,3.773,1.400,57.000
103.000,20.600,3.500,3.818,1.200,58.000
104.000,20.800,3.500,3.636,0.900,60.000
105.000,21.000,3.500,3.818,1.000,60.000
106.000,21.200,3.500,3.773,1.100,60.000
107.000,21.400,3.500,3.750,1.200,60.000
108.000,21.600,3.500,3.545,0.900,59.000
109.000,21.800,3.500,3.818,1.500,59.000
110.000,22.000,3.500,3.591,1.200,57.000
111.000,22.200,3.500,3.682,1.200,57.000
112.000,22.400,3.500,3.705,1.000,57.000
113.000,22.600,3.400,3.636,1.000,57.000
114.000,22.800,3.500,3.705,1.400,58.000
115.000,23.000,3.400,3.659,1.500,58.000
116.000,23.200,3.400,3.727,1.300,58.000
117.000,23.400,3.400,3.705,1.500,58.000
118.000,23.600,3.400,3.773,1.700,58.000
119.000,23.800,3.400,3.705,1.400,59.000
120.000,24.000,3.400,3.705,1.200,58.000
121.000,24.200,3.400,3.886,1.300,58.000
122.000,24.400,3.400,3.841,1.400,58.000
123.000,24.600,3.400,3.795,1.200,58.000
124.000,24.800,3.400,3.750,1.400,58.000
125.000,25.000,3.400,3.773,1.400,58.000
126.000,25.200,3.400,3.795,1.600,58.000
127.000,25.400,3.400,3.591,1.300,58.000
128.000,25.600,3.400,3.795,1.500,59.000
129.000,25.800,3.400,3.795,1.400,59.000
130.000,26.000,3.400,3.682,1.100,59.000
131.000,26.200,3.400,3.841,1.200,59.000
132.000,26.400,3.400,3.705,1.300,58.000
133.000,26.600,3.400,3.795,1.100,58.000
134.000,26.800,3.400,3.795,1.300,58.000
135.000,27.000,3.400,3.727,1.600,58.000
136.000,27.200,3.400,3.614,1.800,59.000
137.000,27.400,3.400,3.773,1.700,58.000
138.000,27.600,3.400,3.932,1.900,59.000
139.000,27.800,3.400,3.864,1.600,58.000
140.000,28.000,3.400,3.568,1.400,57.000
141.000,28.200,3.400,3.705,1.400,59.000
142.000,28.400,3.400,3.727,1.500,58.000
143.000,28.600,3.400,3.705,1.400,59.000
144.000,28.800,3.400,3.841,1.400,58.000
145.000,29.000,3.400,3.818,1.200,59.000
146.000,29.200,3.400,3.841,1.500,59.000
147.000,29.400,3.400,3.773,1.500,59.000
148.000,29.600,3.400,3.864,1.400,59.000
149.000,29.800,3.400,3.727,1.100,59.000
150.000,30.000,3.400,3.818,1.400,59.000
151.000,30.200,3.400,3.727,1.500,59.000
152.000,30.400,3.400,3.773,1.600,58.000
153.000,30.600,3.400,3.750,1.300,58.000
154.000,30.800,3.400,3.705,1.400,57.000
155.000,31.000,3.400,3.727,1.400,56.000
156.000,31.200,3.400,3.909,1.100,56.000
157.000,31.400,3.400,3.864,1.200,58.000
158.000,31.600,3.400,3.818,1.300,57.000
159.000,31.800,3.400,3.727,1.000,57.000
160.000,32.000,3.400,3.864,1.400,56.000
161.000,32.200,3.400,3.864,1.100,56.000
162.000,32.400,3.400,3.864,1.500,56.000
163.000,32.600,3.400,3.841,1.100,56.000
164.000,32.800,3.400,3.727,1.300,56.000
165.000,33.000,3.400,3.750,1.100,56.000
166.000,33.200,3.400,3.773,1.500,56.000
167.000,33.400,3.400,3.886,1.300,57.000
168.000,33.600,3.400,3.659,1.200,56.000
169.000,33.800,3.400,3.864,1.100,56.000
170.000,34.000,3.400,3.773,1.300,56.000
171.000,34.200,3.400,3.750,1.300,56.000
172.000,34.400,3.400,3.864,1.300,56.000
173.000,34.600,3.400,3.727,1.500,56.000
174.000,34.800,3.400,3.818,1.300,56.000
175.000,35.000,3.400,3.795,1.400,56.000
176.000,35.200,3.400,3.841,1.200,56.000
177.000,35.400,3.400,3.682,1.500,56.000
178.000,35.600,3.400,3.864,1.500,56.000
179.000,35.800,3.400,3.841,1.300,56.000
180.000,36.000,3.400,3.818,1.500,56.000
181.000,36.200,3.400,3.727,1.400,56.000
182.000,36.400,3.400,3.750,1.300,56.000
183.000,36.600,3.400,3.818,1.100,56.000
184.000,36.800,3.400,3.818,1.200,56.000
185.000,37.000,3.300,3.818,1.100,56.000
186.000,37.200,3.400,3.864,1.400,56.000
187.000,37.400,3.400,3.705,1.300,56.000
188.000,37.600,3.400,3.727,1.100,56.000
189.000,37.800,3.400,3.705,1.500,56.000
190.000,38.000,3.400,3.682,1.600,56.000
191.000,38.200,3.400,3.636,1.600,56.000
192.000,38.400,3.400,3.841,1.700,56.000
193.000,38.600,3.400,3.795,1.400,56.000
194.000,38.800,3.400,3.886,1.600,56.000
195.000,39.000,3.400,3.750,1.600,56.000
196.000,39.200,3.400,3.795,1.200,56.000
197.000,39.400,3.400,3.727,1.100,56.000
198.000,39.600,3.400,3.886,1.100,56.000
199.000,39.800,3.400,3.750,1.200,56.000
200.000,40.000,3.400,3.864,1.300,56.000
201.000,40.200,3.400,3.841,1.200,56.000
202.000,40.400,3.400,3.932,1.400,56.000
203.000,40.600,3.400,3.591,1.200,56.000
204.000,40.800,3.400,3.750,1.300,57.000
205.000,41.000,3.400,3.932,1.400,59.000
206.000,41.200,3.400,3.750,1.300,59.000
207.000,41.400,3.400,3.773,1.400,57.000
208.000,41.600,3.400,3.659,1.500,58.000
209.000,41.800,3.400,3.932,1.200,58.000
210.000,42.000,3.400,3.886,1.300,56.000
211.000,42.200,3.400,3.818,1.200,57.000
212.000,42.400,3.400,3.659,1.300,58.000
213.000,42.600,3.400,3.932,1.100,58.000
214.000,42.800,3.400,3.932,1.200,57.000
215.000,43.000,3.400,3.636,1.200,56.000
216.000,43.200,3.400,3.727,1.100,57.000
217.000,43.400,3.300,3.841,1.300,58.000
218.000,43.600,3.300,3.818,1.400,59.000
219.000,43.800,3.300,3.886,1.200,57.000
220.000,44.000,3.300,3.795,1.500,57.000
221.000,44.200,3.300,3.795,1.400,56.000
222.000,44.400,3.300,3.750,1.500,58.000
223.000,44.600,3.300,3.795,1.500,58.000
224.000,44.800,3.300,3.886,1.000,58.000
225.000,45.000,3.300,3.864,1.500,58.000
226.000,45.200,3.300,3.909,1.400,58.000
227.000,45.400,3.300,4.000,1.300,57.000
228.000,45.600,3.300,3.932,1.500,59.000
229.000,45.800,3.300,3.909,1.200,58.000
230.000,46.000,3.300,3.818,1.500,58.000
231.000,46.200,3.300,3.864,1.700,58.000
232.000,46.400,3.300,4.023,1.300,58.000
233.000,46.600,3.300,3.932,1.400,59.000
234.000,46.800,3.300,3.977,1.300,59.000
235.000,47.000,3.300,4.045,1.500,57.000
236.000,47.200,3.300,3.773,1.500,56.000
237.000,47.400,3.300,3.659,1.200,59.000
238.000,47.600,3.300,3.955,1.500,58.000
239.000,47.800,3.300,3.932,1.500,58.000
240.000,48.000,3.300,3.977,1.400,58.000
241.000,48.200,3.300,3.795,1.800,58.000
242.000,48.400,3.300,4.000,1.600,58.000
243.000,48.600,3.300,3.841,1.400,58.000
244.000,48.800,3.300,3.841,1.400,58.000
245.000,49.000,3.300,3.909,1.500,58.000
246.000,49.200,3.300,3.909,1.500,58.000
247.000,49.400,3.300,3.955,1.300,58.000
248.000,49.600,3.300,3.955,1.700,58.000
249.000,49.800,3.300,3.773,1.600,58.000
250.000,50.000,3.300,3.955,1.400,58.000
251.000,50.200,3.300,3.705,1.400,58.000
252.000,50.400,3.300,3.886,1.400,58.000
253.000,50.600,3.300,3.909,2.000,58.000
254.000,50.800,3.300,3.909,1.400,58.000
255.000,51.000,3.300,3.909,1.900,58.000
256.000,51.200,3.300,3.977,1.300,58.000
257.000,51.400,3.300,3.909,1.400,58.000
258.000,51.600,3.300,3.864,1.600,58.000
259.000,51.800,3.300,3.886,1.500,58.000
