t_ps,T_K,T_set_K,density_g_cm3,volume_A3,E_pot_eV,P_GPa,P_virial_GPa
0.000,1189.6,1200.0,1.2000,12311.46,-1572.1133,-0.5159,-1.0496
1.000,1267.2,1200.0,1.2044,12266.98,-1600.5550,-0.1407,-0.7112
2.000,1188.0,1200.0,1.2114,12195.42,-1595.7588,-0.1125,-0.6505
3.000,1244.0,1200.0,1.2166,12143.77,-1603.1556,0.0217,-0.5440
4.000,1304.2,1200.0,1.2200,12110.08,-1604.4084,0.1304,-0.4644
5.000,1228.7,1200.0,1.2261,12049.09,-1599.6114,0.1257,-0.4375
6.000,1221.5,1200.0,1.2329,11983.27,-1602.1737,-0.1007,-0.6636
7.000,1244.0,1200.0,1.2410,11905.05,-1600.2916,-0.1316,-0.7087
8.000,1258.2,1200.0,1.2451,11865.40,-1603.4776,0.0335,-0.5521
9.000,1195.5,1200.0,1.2538,11782.87,-1602.5695,-0.2896,-0.8499
10.000,1239.1,1200.0,1.2575,11748.93,-1602.7339,-0.1504,-0.7328
11.000,1201.4,1200.0,1.2624,11702.79,-1601.9120,0.1234,-0.4435
12.000,1183.7,1200.0,1.2644,11684.01,-1601.0173,-0.2745,-0.8340
13.000,1184.8,1200.0,1.2656,11673.10,-1601.0375,-0.2213,-0.7818
14.000,1204.7,1200.0,1.2651,11677.52,-1602.1978,-0.4211,-0.9909
15.000,1165.5,1200.0,1.2608,11717.61,-1600.3508,-0.1797,-0.7290
16.000,1203.7,1200.0,1.2506,11813.78,-1601.0574,0.3348,-0.2279
17.000,1211.5,1200.0,1.2540,11781.01,-1601.6235,0.1962,-0.3717
18.000,1226.6,1200.0,1.2544,11777.51,-1602.2856,-0.0051,-0.5802
19.000,1252.8,1200.0,1.2565,11757.53,-1603.6067,-0.1836,-0.7721
20.000,1193.4,1200.0,1.2622,11705.20,-1599.1153,0.2786,-0.2844
21.000,1181.3,1200.0,1.2699,11634.13,-1596.5933,-0.2983,-0.8590
22.000,1168.4,1200.0,1.2809,11534.11,-1600.0423,0.0679,-0.4915
23.000,1229.1,1200.0,1.2839,11507.00,-1600.9746,0.1911,-0.3988
24.000,1169.9,1200.0,1.2845,11501.33,-1602.5598,0.0191,-0.5427
25.000,1207.0,1200.0,1.2887,11463.68,-1602.6183,-0.2717,-0.8532
26.000,1245.1,1200.0,1.2925,11430.24,-1604.8744,-0.3108,-0.9124
27.000,1208.5,1200.0,1.2982,11379.84,-1601.7785,-0.3206,-0.9071
28.000,1202.4,1200.0,1.3003,11362.08,-1601.2128,0.1071,-0.4774
29.000,1261.3,1200.0,1.3037,11332.31,-1605.7300,-0.3134,-0.9281
30.000,1269.6,1200.0,1.3075,11299.12,-1604.1016,-0.1694,-0.7900
31.000,1238.5,1200.0,1.3072,11301.79,-1603.4979,-0.1266,-0.7318
32.000,1147.1,1200.0,1.3131,11250.87,-1599.2736,-0.4215,-0.9845
33.000,1177.0,1200.0,1.3145,11239.03,-1604.5716,-0.1985,-0.7769
34.000,1239.3,1200.0,1.3190,11200.75,-1603.9034,0.0479,-0.5631
35.000,1275.9,1200.0,1.3226,11170.02,-1605.2067,0.0039,-0.6269
36.000,1232.2,1200.0,1.3257,11144.27,-1604.0903,0.1170,-0.4936
37.000,1126.3,1200.0,1.3233,11164.72,-1600.0175,0.1756,-0.3815
38.000,1180.2,1200.0,1.3242,11156.56,-1600.3203,0.3762,-0.2080
39.000,1187.9,1200.0,1.3204,11188.61,-1601.5256,0.0256,-0.5608
