# LPSCl1.6 (= undoped Li5.4PS4.4Cl1.6) total DOS, VBM-aligned (E-VBM), states/eV, Gaussian sigma=0.15 eV
E_minus_VBM,total_DOS
-7.3300,0.0000
-7.3200,0.0000
-7.3100,0.0000
-7.3000,0.0000
-7.2900,0.0000
-7.2800,0.0000
-7.2700,0.0000
-7.2600,0.0000
-7.2500,0.0000
-7.2400,0.0000
-7.2300,0.0000
-7.2200,0.0000
-7.2100,0.0000
-7.2000,0.0000
-7.1900,0.0000
-7.1800,0.0000
-7.1700,0.0000
-7.1600,0.0000
-7.1500,0.0000
-7.1400,0.0000
-7.1300,0.0000
-7.1200,0.0000
-7.1100,0.0000
-7.1000,0.0000
-7.0900,0.0000
-7.0800,0.0000
-7.0700,0.0000
-7.0600,0.0000
-7.0500,0.0000
-7.0400,0.0000
-7.0300,0.0000
-7.0200,0.0000
-7.0100,0.0000
-7.0000,0.0000
-6.9900,0.0000
-6.9800,0.0000
-6.9700,0.0000
-6.9600,0.0000
-6.9500,0.0000
-6.9400,0.0000
-6.9300,0.0000
-6.9200,0.0000
-6.9100,0.0000
-6.9000,0.0000
-6.8900,0.0000
-6.8800,0.0000
-6.8700,0.0000
-6.8600,0.0000
-6.8500,0.0000
-6.8400,0.0000
-6.8300,0.0000
-6.8200,0.0000
-6.8100,0.0000
-6.8000,0.0000
-6.7900,0.0000
-6.7800,0.0000
-6.7700,0.0000
-6.7600,0.0000
-6.7500,0.0000
-6.7400,0.0000
-6.7300,0.0000
-6.7200,0.0000
-6.7100,0.0000
-6.7000,0.0000
-6.6900,0.0000
-6.6800,0.0000
-6.6700,0.0000
-6.6600,0.0000
-6.6500,0.0000
-6.6400,0.0000
-6.6300,0.0000
-6.6200,0.0000
-6.6100,0.0000
-6.6000,0.0000
-6.5900,0.0000
-6.5800,0.0000
-6.5700,0.0000
-6.5600,0.0000
-6.5500,0.0000
-6.5400,0.0000
-6.5300,0.0000
-6.5200,0.0000
-6.5100,0.0000
-6.5000,0.0000
-6.4900,0.0000
-6.4800,0.0000
-6.4700,0.0000
-6.4600,0.0000
-6.4500,0.0000
-6.4400,0.0000
-6.4300,0.0000
-6.4200,0.0000
-6.4100,0.0000
-6.4000,0.0000
-6.3900,0.0000
-6.3800,0.0000
-6.3700,0.0000
-6.3600,0.0000
-6.3500,0.0000
-6.3400,0.0000
-6.3300,0.0000
-6.3200,0.0000
-6.3100,0.0000
-6.3000,0.0000
-6.2900,0.0000
-6.2800,0.0000
-6.2700,0.0000
-6.2600,0.0000
-6.2500,0.0000
-6.2400,0.0000
-6.2300,0.0000
-6.2200,0.0000
-6.2100,0.0000
-6.2000,0.0000
-6.1900,0.0000
-6.1800,0.0000
-6.1700,0.0000
-6.1600,0.0000
-6.1500,0.0000
-6.1400,0.0000
-6.1300,0.0000
-6.1200,0.0000
-6.1100,0.0000
-6.1000,0.0000
-6.0900,0.0000
-6.0800,0.0000
-6.0700,0.0001
-6.0600,0.0002
-6.0500,0.0003
-6.0400,0.0005
-6.0300,0.0007
-6.0200,0.0010
-6.0100,0.0014
-6.0000,0.0020
-5.9900,0.0026
-5.9800,0.0035
-5.9700,0.0045
-5.9600,0.0059
-5.9500,0.0075
-5.9400,0.0095
-5.9300,0.0120
-5.9200,0.0151
-5.9100,0.0189
-5.9000,0.0236
-5.8900,0.0292
-5.8800,0.0359
-5.8700,0.0440
-5.8600,0.0538
-5.8500,0.0654
-5.8400,0.0791
-5.8300,0.0954
-5.8200,0.1146
-5.8100,0.1370
-5.8000,0.1632
-5.7900,0.1937
