# LPSOCl (Li27P5S21OCl8, 62at) V0 결합거리 — Origin-ready
# 생성: tools/comp1_v3/vasp_to_cif.py -> b2o3_all_bond_lengths.py (db/structures/lpsocl_v0.cif)
# 컷오프(1차 배위): P-S 1.8-2.5 / P-O 1.3-1.9 / Li-S 1.9-3.2 / Li-Cl 2.0-3.4 A
# 핵심: P 5개 중 PS4 4개 + PS3O 1개. P-O 1.559 A 단 1건 = O 치환이 한 PS4 에만 국소.
category,pair_or_site,mean_A,std_A,min_A,max_A,n,note
bonds_cation_anion,P-S,2.063,0.011,2.04,2.08,19,
bonds_cation_anion,P-O,1.559,0.0,1.559,1.559,1,
bonds_cation_anion,Li-S,2.486,0.105,2.337,2.84,69,
bonds_cation_anion,Li-Cl,2.54,0.17,2.3,3.219,40,
bonds_cation_anion,Li-O,1.964,0.01,1.954,1.973,2,
anion_anion,S-S(cage),3.416,0.111,3.288,3.695,35,
anion_anion,S-Cl,3.917,0.141,3.634,4.174,46,
anion_anion,Cl-Cl,4.143,0.164,3.925,4.427,5,
framework,Li-Li,2.947,0.193,2.683,3.176,9,
Cl_sites,Li-Cl_4a,2.584,0.163,2.344,3.219,32,
Cl_sites,Li-Cl_4d,2.366,0.04,2.3,2.436,8,
Cl_sites,Li-Cl_all,2.54,0.17,2.3,3.219,40,
P_environments,PS4,,,,,,count=4
P_environments,PS3O1,,,,,,count=1
S_classification,free-S,,,,,,count=2
S_classification,B-S,,,,,,count=
S_classification,P-S(bridge),,,,,,count=19
Cl_sites,Li-Cl_4a,,,,,,count=32
Cl_sites,Li-Cl_4d,,,,,,count=8
Cl_sites,Li-Cl_all,,,,,,count=40
